time,open,high,low,close,volume
2024-04-10,875.5687,889.0911,859.9486,885.6913,0.0
2024-04-11,883.3831,899.9503,870.5212,873.7571,0.0
2024-04-12,876.0911,882.9464,796.7671,803.2631,0.0
2024-04-13,804.4112,815.3955,708.6808,750.0474,0.0
2024-04-14,743.8522,783.9324,721.8573,782.0593,0.0
2024-04-15,781.3028,805.2505,638.4074,645.834,16026.9037
2024-04-16,645.725,686.6583,526.7513,557.3543,49667.8115
2024-04-17,556.425,568.0061,341.1369,486.5305,14177.0922
2024-04-18,486.2904,486.2904,363.8872,419.8073,15926.447
2024-04-19,420.7059,449.2675,397.7758,434.2173,9926.346
2024-04-20,435.6053,485.8293,434.1279,485.0155,15762.2199
2024-04-21,484.3556,514.7064,462.9,479.099,26617.2692
2024-04-22,479.8061,480.5658,427.0438,435.2369,49173.4074
2024-04-23,435.203,490.4877,396.714,483.6531,121638.8876
2024-04-24,484.0723,492.5962,394.038,394.5875,21421.85
2024-04-25,395.0263,445.5649,395.015,442.6932,41200.0937
2024-04-26,442.656,444.3201,415.861,428.841,19035.6482
2024-04-27,428.4732,436.4591,380.3033,426.2868,26026.6285
2024-04-28,425.9827,465.9589,425.6226,430.3584,32686.5246
2024-04-29,430.2278,432.5581,344.2321,344.2321,55156.0607
2024-04-30,343.5887,413.6234,316.7868,328.0489,49542.1816
2024-05-01,328.9932,367.6355,78.8201,296.5298,28979.5814
2024-05-02,296.7707,313.6709,283.6971,299.3311,21719.5067
2024-05-03,299.4766,324.0547,272.3693,282.5984,21589.1281
2024-05-04,282.4961,309.5456,245.738,306.7927,53230.5916
2024-05-05,306.8579,313.6478,282.0465,299.0785,27580.774
2024-05-06,298.8672,300.3903,269.6087,269.6087,24601.5893
2024-05-07,269.4817,290.9206,268.0703,283.0718,17384.8184
2024-05-08,282.6166,288.5477,265.8789,267.327,27644.3514
2024-05-09,267.6799,302.328,267.6761,274.8394,34521.2652
2024-05-10,275.1366,278.8606,251.2409,252.5827,17963.4515
2024-05-11,252.7364,254.3417,241.3596,244.6474,3443.3076
2024-05-12,244.6994,244.6994,228.7923,242.7297,16875.9616
2024-05-13,242.8854,262.506,239.426,260.7881,19779.197
2024-05-14,260.6706,263.4923,242.5898,242.5898,5055.831
2024-05-15,242.6118,258.9589,241.1096,258.955,69365.2138
2024-05-16,259.4139,259.4139,246.6931,248.5781,3180.144
2024-05-17,248.5222,259.5091,248.4178,259.3481,4632.7554
2024-05-18,259.2937,269.1327,256.0461,266.142,42839.3436
2024-05-19,266.6681,281.3296,255.5035,260.4606,57737.9206
2024-05-20,260.3833,331.2309,256.8043,330.5652,16603.7912
2024-05-21,329.5101,349.7597,310.8668,347.0258,50713.4646
2024-05-22,346.0074,347.2216,316.8854,327.2647,28781.0101
2024-05-23,327.3517,336.9114,298.4098,318.5154,110829.9053
2024-05-24,319.2559,323.7816,302.0484,320.3475,12213.7984
2024-05-25,320.2968,320.2968,280.6708,280.6708,7413.6445
2024-05-26,280.8812,293.4483,265.7379,288.3468,17469.8635
2024-05-27,288.5158,305.0619,277.7315,294.8399,97457.19
2024-05-28,294.8804,305.9407,288.5127,305.4997,14847.0338
2024-05-29,304.9715,306.1274,275.6623,277.8745,11548.2885
2024-05-30,277.354,298.3788,276.0455,292.2571,0.0
2024-05-31,291.5856,294.9704,284.7121,286.1982,6215.6175
2024-06-01,286.2205,289.7012,282.3085,283.9465,6511.5856
2024-06-02,283.9167,285.3301,276.539,276.8741,4992.925
2024-06-03,277.1531,279.0492,272.3877,273.1597,160079.0137
2024-06-04,272.7769,275.7991,239.5852,255.027,832624.8526
2024-06-05,255.1665,270.6328,255.1665,269.2796,13807.0262
2024-06-06,269.4118,272.9228,204.3793,220.5106,2387152.0191
2024-06-07,220.5494,220.5494,95.1722,203.9825,1883848.0416
2024-06-08,203.7567,203.7567,180.3014,180.3014,1761220.486
2024-06-09,180.577,200.4824,174.2583,199.912,384637.9064
2024-06-10,199.8342,199.8342,193.4318,193.5938,2136.2039
2024-06-11,193.2681,193.2681,177.7933,180.8082,104.9413
2024-06-12,180.7495,195.5822,179.3429,190.8528,216.8531
2024-06-13,190.2599,190.2599,184.2312,184.981,239.38
2024-06-14,185.1557,192.2044,181.9506,187.7907,7535.0183
2024-06-15,187.683,197.2308,187.6405,195.8267,4363.4424
2024-06-16,195.6756,204.3482,193.8,203.4834,42729.0888
2024-06-17,202.8783,210.0462,189.827,199.5895,8808.4851
2024-06-18,199.5859,199.8764,173.7351,177.8992,22757.3447
2024-06-19,177.896,186.7836,177.5452,185.4798,33.0342
2024-06-20,185.1826,186.4735,178.62,178.62,1218.7819
2024-06-21,178.4594,179.2567,175.7873,178.7289,350.7169
2024-06-22,178.5819,179.1439,166.4412,167.0305,318297.0632
2024-06-23,166.76,167.6395,159.711,159.9579,156911.4745
2024-06-24,159.8041,162.9663,157.4276,162.5075,61510.7348
2024-06-25,162.7447,172.5394,162.2099,172.0392,5841.3194
2024-06-26,171.7325,176.1723,140.1127,140.4028,214115.271
2024-06-27,139.866,139.866,108.7767,138.4803,4979442.4383
2024-06-28,138.4576,142.1814,120.869,121.2198,967267.3032
2024-06-29,121.4011,121.4011,114.3683,115.4915,94020.2814
2024-06-30,115.5572,117.0211,111.15,113.2484,192243.7501
2024-07-01,112.9275,114.739,106.688,107.3536,302168.1834
2024-07-02,107.469,107.8106,105.1218,105.2397,498201.5776
2024-07-03,105.2247,107.8006,98.6518,107.1186,66345.9433
2024-07-04,70.0382,95.6915,50.1454,85.075,3067907.0202
2024-07-05,84.3872,85.7267,31.2501,82.2742,1220990.8151
2024-07-06,82.0689,85.6791,78.8543,85.2146,22557.912
2024-07-07,85.2343,85.2343,81.3459,82.382,27006.0291
2024-07-08,82.429,86.9136,79.6811,84.0803,6390.2766
2024-07-09,83.9088,95.1921,83.8265,86.2706,385051.4172
2024-07-10,86.191,97.912,85.2135,94.1992,48646.5601
2024-07-11,94.1932,96.8706,92.5943,94.378,31974.2523
2024-07-12,94.3983,96.6355,93.8569,94.1046,214.9259
2024-07-13,94.3482,95.3046,91.8804,93.432,27193.5295
2024-07-14,93.0533,93.9032,87.8859,92.2589,0.0
2024-07-15,91.919,98.1945,91.4177,98.1843,150445.4193
2024-07-16,98.0828,98.0828,94.2427,96.0245,406.539
2024-07-17,95.9731,97.8704,94.1477,94.1477,0.0
2024-07-18,93.9947,95.7672,92.3414,93.7922,952233.1378
2024-07-19,93.6854,95.2285,91.6884,94.9134,2550638.7871
2024-07-20,94.8138,95.1841,93.9061,94.5794,623982.8843
2024-07-21,94.8551,94.9755,92.1076,94.8405,760202.669
2024-07-22,94.8789,113.2129,93.1653,100.9059,3141390.6209
2024-07-23,101.1901,102.331,92.5178,99.7622,113966.3012
2024-07-24,99.6306,99.6306,90.9052,91.0955,110882.4074
2024-07-25,91.3305,91.4899,82.9329,84.4145,212979.4158
2024-07-26,84.579,86.7895,84.5753,86.4545,563840.6485
2024-07-27,86.3716,96.7851,84.7843,95.9961,42612.9884
2024-07-28,95.8678,95.8678,88.5171,89.3548,11641.3854
2024-07-29,89.3437,93.194,88.8918,90.4602,105865.3749
2024-07-30,90.1088,98.1924,89.141,95.0116,50.3847
2024-07-31,95.0612,102.1753,94.3782,94.6946,311841.4282
2024-08-01,94.8521,94.8521,90.036,93.7059,1297.6438
2024-08-02,93.503,93.503,83.1888,85.2226,369578.0595
2024-08-03,84.9871,85.3661,78.5893,79.7923,1104.8909
2024-08-04,79.6893,80.5899,71.0563,71.0563,1006780.0798
2024-08-05,70.7773,71.0502,58.6409,67.4671,306847.8512
2024-08-06,67.1737,71.7392,67.1721,70.0228,687795.4769
2024-08-07,70.5095,73.6098,66.8118,67.547,68343.7867
2024-08-08,67.4275,78.0587,67.1143,77.1552,237.8215
2024-08-09,77.2034,77.4532,72.0737,73.2051,1173.9827
2024-08-10,73.5452,74.4337,73.0962,73.4115,113.0455
2024-08-11,73.3766,75.0701,64.9837,65.9471,461093.8882
2024-08-12,65.9072,69.7635,61.99,64.1717,52123.8385
2024-08-13,64.0522,64.2345,62.0959,62.1816,13126.6325
