time,open,high,low,close,volume
2024-01-09,2119.0317,2124.8557,2029.562,2101.9837,0.0
2024-01-10,2105.1752,2430.1088,2105.1752,2408.7453,388322.9202
2024-01-11,2404.6541,2496.9908,2390.1233,2407.7485,3192563.5262
2024-01-12,2409.953,2476.9174,2256.6431,2302.4672,5636103.3042
2024-01-13,2306.1487,2338.9989,2257.825,2312.2468,13697292.1996
2024-01-14,2312.2114,2318.3909,2258.255,2258.255,6785307.9608
2024-01-15,2257.3468,2310.5286,2255.5684,2281.2409,10986326.1271
2024-01-16,2281.3673,2348.2243,2258.3541,2334.2063,11647492.0233
2024-01-17,2331.5893,2338.0325,2269.7624,2271.8862,18658231.0852
2024-01-18,2274.2039,2294.8302,2192.0516,2226.8624,12919590.1792
2024-01-19,2227.0656,2255.671,2185.8304,2226.8946,19999153.0509
2024-01-20,2226.9506,2229.8674,2211.6424,2220.2903,18509141.4676
2024-01-21,2220.3527,2224.6391,2204.2716,2204.4504,11672414.2764
2024-01-22,2202.1955,2206.9632,2077.7494,2077.8002,15010293.8875
2024-01-23,2078.3868,2111.3611,1959.1232,2016.6834,14094875.2111
2024-01-24,2017.0053,2022.3965,1966.827,1995.8396,22212779.6078
2024-01-25,1994.8823,1999.5991,1946.5762,1988.9505,19035017.7074
2024-01-26,1988.7797,2043.892,1969.4028,2043.789,18344926.5259
2024-01-27,2043.7126,2054.3894,2031.5384,2036.6545,22966457.8238
2024-01-28,2037.4812,2063.4586,2009.2389,2016.0822,20047574.6839
2024-01-29,2016.065,2081.4924,2009.6248,2078.4398,22752352.542
2024-01-30,2078.4433,2143.0,2064.311,2106.883,22095054.6622
2024-01-31,2106.6887,2107.5514,2015.6108,2019.8333,35523999.3763
2024-02-01,2021.9363,2050.3126,1994.2473,2027.3774,66643116.9895
2024-02-02,2027.3665,2054.4874,2020.6271,2028.9114,55594541.6957
2024-02-03,2029.4596,2056.4438,2029.4055,2044.8266,30665423.8249
2024-02-04,2044.922,2062.771,2026.0513,2038.6403,27173226.1734
2024-02-05,2038.7189,2084.8061,2025.6695,2070.3718,53473972.7388
2024-02-06,2070.695,2165.4805,2070.695,2160.9135,55438796.0699
2024-02-07,2160.5715,2203.6142,2138.878,2202.9496,37341278.9727
2024-02-08,2201.7137,2234.1257,2191.4844,2208.6198,31777759.2377
2024-02-09,2208.4494,2286.1845,2205.8992,2260.1504,24837299.3191
2024-02-10,2259.4967,2279.5672,2250.3968,2266.5796,32629510.1852
2024-02-11,2266.5816,2302.007,2266.3642,2273.9029,30992469.7634
2024-02-12,2273.9452,2423.3027,2251.7807,2416.4093,19255988.7947
2024-02-13,2418.0212,2451.0669,2380.6845,2413.7847,36264226.1132
2024-02-14,2419.0705,2565.2926,2406.1963,2562.525,27549372.3854
2024-02-15,2561.9721,2633.1905,2551.1487,2601.3243,24513788.441
2024-02-16,2600.7219,2626.8123,2549.4056,2589.1807,17246038.6839
2024-02-17,2589.0493,2589.9272,2526.1221,2583.1565,12680449.4604
2024-02-18,2582.9785,2675.9024,2566.1224,2664.2806,6431355.945
2024-02-19,2665.1783,2754.7451,2655.6647,2722.4413,11506263.6853
2024-02-20,2721.3277,2803.548,2667.0119,2796.8008,23236712.9192
2024-02-21,2797.1548,2798.1095,2675.4252,2752.5466,18574337.5824
2024-02-22,2752.7268,2800.1692,2698.9731,2755.9354,15797748.0449
2024-02-23,2754.0896,2764.2482,2691.48,2698.5084,11842468.6219
2024-02-24,2698.3747,2767.1369,2692.2681,2760.7646,18680399.7282
2024-02-25,2760.5304,2868.806,2755.8116,2866.7068,11977897.9216
2024-02-26,2867.1282,2946.5254,2810.2448,2934.7704,17842459.5033
2024-02-27,2934.7269,3020.9842,2926.2775,3000.7124,9506171.8893
2024-02-28,2998.5966,3213.4589,2986.5059,3115.5465,19217613.9794
2024-02-29,3114.9553,3246.3983,3057.1928,3096.4878,15516815.0324
2024-03-01,3099.6027,3190.0614,3099.6027,3179.2384,8538225.9138
2024-03-02,3176.6774,3193.1577,3149.5004,3166.5475,10044444.8512
2024-03-03,3165.6004,3241.5624,3127.4301,3233.1167,10795473.2044
2024-03-04,3232.0899,3357.4519,3219.411,3357.4519,7985758.7855
2024-03-05,3357.4595,3543.4223,3162.5855,3304.7164,28913159.2715
2024-03-06,3304.7236,3628.3552,3280.9783,3606.1465,27615029.2025
2024-03-07,3606.154,3690.46,3522.7223,3636.4086,23019908.581
2024-03-08,3636.4157,3753.3388,3627.0567,3680.4029,10725202.9516
2024-03-09,3680.41,3720.3173,3661.7489,3680.7677,10743489.1478
2024-03-10,3680.7749,3723.307,3617.3094,3617.4159,13282323.5618
2024-03-11,3617.4227,3838.6393,3599.7078,3835.3642,10254564.5633
2024-03-12,3833.1687,3843.4497,3645.8388,3755.4665,29232299.9977
2024-03-13,3761.297,3858.0235,3746.3495,3784.5072,20083468.2694
2024-03-14,3785.7304,3799.6806,3533.8426,3671.3084,51754718.0021
2024-03-15,3666.3952,3699.9683,3393.2076,3531.8087,42819092.1069
2024-03-16,3534.3381,3565.9056,3279.5413,3319.2762,55096953.1523
2024-03-17,3320.8564,3421.979,3193.5531,3398.2456,72111932.641
2024-03-18,3403.7633,3403.7799,3247.2478,3303.2699,59341327.1068
2024-03-19,3302.4109,3316.5011,2930.7163,2966.3182,49386166.5732
2024-03-20,2956.872,3279.357,2865.9585,3270.1769,57798722.4725
2024-03-21,3274.5027,3308.0474,3146.7737,3218.7462,63064163.2754
2024-03-22,3220.447,3257.5999,3014.3581,3068.6775,28185356.7441
2024-03-23,3078.3474,3145.3112,3037.0817,3105.6624,136448749.2012
2024-03-24,3084.3786,3189.3416,3057.2843,3185.4884,46793728.8319
2024-03-25,3184.2267,3366.6632,3156.7747,3307.2197,38378263.6312
2024-03-26,3313.8175,3377.3716,3291.6783,3329.5657,50173967.9789
2024-03-27,3330.064,3361.9561,3193.1148,3214.0514,57274325.6047
2024-03-28,3215.4839,3311.6745,3194.2989,3289.4416,54137598.6128
2024-03-29,3286.5596,3302.0071,3189.6314,3227.8912,64085032.8813
2024-03-30,3224.09,3238.7488,3182.2977,3188.2834,55736221.5204
2024-03-31,3192.1283,3319.9651,3184.0931,3313.1991,30212439.0622
2024-04-01,3314.8564,3315.3066,3120.9789,3205.1367,71398636.9197
2024-04-02,3202.778,3205.0478,2973.9514,3031.0977,46990003.3515
2024-04-03,3026.2771,3104.6949,2978.7754,3059.4929,67932458.2361
2024-04-04,3056.3802,3161.0899,3002.6452,3066.4144,36906084.5526
2024-04-05,3066.8303,3077.3201,2970.9011,3065.661,36401453.734
2024-04-06,3066.6803,3121.8803,3054.4621,3108.5542,18592550.7384
2024-04-07,3092.8236,3171.9097,3092.8148,3171.8935,26996003.4863
2024-04-08,3172.3065,3428.0831,3142.8872,3412.3546,19847410.4681
2024-04-09,3402.8647,3424.5144,3221.018,3240.1017,40941649.5574
2024-04-10,3242.6471,3291.1531,3174.1512,3277.5734,24950238.8344
2024-04-11,3281.1261,3342.6411,3236.7702,3254.0133,28553103.59
2024-04-12,3252.7304,3295.7627,2992.5676,3020.3729,47872789.2184
2024-04-13,3024.7344,3075.7914,2683.4379,2840.4863,54096066.3663
2024-04-14,2817.0656,2957.6372,2733.7354,2952.6088,46258336.3744
2024-04-15,2949.7946,3055.7809,2836.6872,2901.1683,29493187.4542
2024-04-16,2900.7174,2934.1426,2827.1387,2908.0996,25312042.6695
2024-04-17,2903.2954,2930.9832,2761.2872,2811.6134,14404994.9824
2024-04-18,2810.2686,2910.4034,2791.8254,2887.7146,26958125.6906
2024-04-19,2893.9401,2931.3398,2710.6558,2874.7491,20098031.255
2024-04-20,2883.986,2984.6967,2852.003,2975.4015,19099720.3252
2024-04-21,2971.4003,3010.3936,2948.5034,2975.6144,11354141.832
2024-04-22,2980.052,3057.4769,2965.8839,3036.2023,18059146.8756
2024-04-23,3036.0115,3090.3488,2996.9019,3051.8965,21638577.4522
2024-04-24,3054.5901,3129.9683,2965.7456,2969.9363,43757719.0237
2024-04-25,2973.2869,3037.263,2926.6092,3009.9901,28930146.2507
2024-04-26,3009.7801,3022.4482,2969.2994,2987.7727,28313230.344
2024-04-27,2985.2569,3126.7455,2944.3843,3112.6477,33860256.2685
2024-04-28,3110.4765,3193.7606,3104.4635,3120.0968,26154068.7584
2024-04-29,3119.198,3141.8402,2993.9742,3113.8953,101343764.1578
2024-04-30,3108.1231,3122.8328,2830.4999,2895.1798,35952006.111
2024-05-01,2903.5589,2905.0443,2720.6554,2865.3603,25707472.1648
2024-05-02,2867.7381,2904.6638,2801.5436,2891.3548,17978832.1087
2024-05-03,2892.8127,3020.3288,2867.08,3009.4436,33845024.7862
2024-05-04,3008.4018,3055.6752,3000.8602,3011.4533,15089815.697
2024-05-05,3012.1398,3060.8405,2984.7769,3037.1164,10798739.1061
2024-05-06,3035.0191,3111.3046,2955.7523,2971.7748,12049887.2194
2024-05-07,2970.4209,3020.4757,2920.4303,2920.9028,26259795.5894
