time,open,high,low,close,volume
2024-01-09,236.528,236.5947,226.0486,233.9522,0.0
2024-01-10,234.3024,242.2116,33.6699,179.2662,14113.3756
2024-01-11,178.9579,208.5997,129.9127,208.5955,148747.0924
2024-01-12,208.782,231.3398,194.5008,214.8578,289608.2044
2024-01-13,215.1972,277.7793,210.0029,266.9157,866843.9358
2024-01-14,266.8039,266.94,214.2991,218.718,297735.2264
2024-01-15,218.6257,246.8315,208.9337,233.1122,660293.665
2024-01-16,233.1209,263.0624,219.7036,259.3851,769608.2704
2024-01-17,261.9395,261.9395,217.2025,247.4658,906787.3224
2024-01-18,247.8176,254.9976,235.8671,241.0775,723281.0621
2024-01-19,241.0951,261.7991,233.0755,261.7406,1311464.2722
2024-01-20,261.7405,262.8589,241.4446,245.1062,896587.9365
2024-01-21,245.5389,256.3841,245.537,252.9289,862759.1676
2024-01-22,252.6653,252.8633,227.0637,230.8485,715469.464
2024-01-23,230.9091,233.0725,212.7204,221.3909,728594.777
2024-01-24,221.422,241.5974,218.6224,236.0647,1796600.1809
2024-01-25,235.9473,235.9925,227.263,230.9194,1237081.5657
2024-01-26,230.8942,237.1216,224.3911,224.7488,1109250.8315
2024-01-27,224.6713,234.7503,223.2001,233.4205,1664404.7259
2024-01-28,233.5141,239.006,232.7305,235.9915,1502637.9495
2024-01-29,235.987,240.3986,230.3652,239.3773,1550380.5199
2024-01-30,239.3738,241.6816,236.0884,237.4739,1397201.2297
2024-01-31,237.6682,262.0796,236.4046,255.4306,3576117.1283
2024-02-01,255.7103,278.508,252.3686,270.0341,5519186.2596
2024-02-02,270.0366,275.0086,259.3889,272.3166,5099671.2333
2024-02-03,272.4265,273.694,252.273,254.3744,2057500.4574
2024-02-04,254.3794,255.2551,245.4368,249.5499,2046851.782
2024-02-05,249.5649,250.3457,223.0389,223.8145,3381484.3702
2024-02-06,223.8457,224.9754,204.3354,219.7543,2715627.998
2024-02-07,219.9092,233.4337,215.5624,227.7394,2633203.5018
2024-02-08,227.6069,230.1013,217.1664,218.2719,1447256.836
2024-02-09,218.2521,235.3736,218.1518,235.141,1837793.6701
2024-02-10,235.104,236.3695,230.2742,235.373,2223243.0932
2024-02-11,235.371,235.7338,228.0822,230.0823,2172468.6308
2024-02-12,230.0821,240.194,224.8714,238.3274,1179716.2066
2024-02-13,238.4799,240.8637,215.1624,219.9272,1796466.9108
2024-02-14,220.4062,224.3274,213.4173,217.8377,1729481.1967
2024-02-15,217.4037,225.451,215.6287,224.1928,1579790.9849
2024-02-16,224.138,227.3424,212.4474,216.1258,708150.3861
2024-02-17,216.1101,216.4152,203.7587,207.4117,648254.5868
2024-02-18,207.394,212.7443,205.6393,211.2499,399326.5375
2024-02-19,211.3151,222.3109,210.45,220.0114,552173.7695
2024-02-20,219.9152,225.9898,209.7617,218.8942,764738.1365
2024-02-21,218.752,219.8743,207.9073,219.844,486242.4135
2024-02-22,219.8521,224.3864,215.3579,221.0936,756591.2826
2024-02-23,220.9392,225.1924,219.464,222.448,648433.392
2024-02-24,222.436,234.3655,221.8255,234.3655,1118958.246
2024-02-25,234.3391,245.4046,234.2211,245.2678,800770.2156
2024-02-26,245.296,246.3358,231.6241,243.6129,786909.3478
2024-02-27,243.6084,252.5474,243.1165,249.3978,563803.3199
2024-02-28,249.2145,264.2305,245.017,260.6604,957215.3654
2024-02-29,260.608,270.5089,254.2159,255.0741,712822.9954
2024-03-01,255.3229,263.7041,255.3229,260.603,584671.3225
2024-03-02,260.385,261.5983,253.6769,253.6769,539014.0711
2024-03-03,253.3423,253.6259,244.0161,248.9133,768716.8504
2024-03-04,248.8302,259.1381,246.8557,259.1381,284217.1901
2024-03-05,259.1305,263.1302,232.414,241.8636,1342501.7984
2024-03-06,241.8564,260.346,237.6248,247.0335,1515747.8926
2024-03-07,247.026,248.8356,231.5638,232.3959,817859.5589
2024-03-08,232.3889,236.3817,230.8276,230.8871,608463.3319
2024-03-09,230.88,231.755,227.0681,231.4923,287872.0707
2024-03-10,231.4851,232.9297,219.3041,219.3041,409444.3182
2024-03-11,219.2973,228.3673,217.8726,221.8158,553655.8561
2024-03-12,221.6814,221.7181,201.3054,204.281,1317787.1305
2024-03-13,204.5708,209.9148,197.4179,200.5047,841857.033
2024-03-14,200.1109,203.1051,190.6351,196.1532,1418911.2981
2024-03-15,195.884,197.618,176.5816,182.3658,1739153.9151
2024-03-16,182.4901,186.4971,163.897,177.5836,2059481.5123
2024-03-17,177.6619,228.1983,177.6535,227.0255,3508586.1475
2024-03-18,227.386,227.386,196.1762,203.657,3342936.2063
2024-03-19,203.5317,203.7167,184.0033,186.3682,2219159.5481
2024-03-20,185.7731,219.5526,181.0354,219.4467,3336509.4584
2024-03-21,219.7302,251.3564,218.9309,246.3554,4199555.9294
2024-03-22,246.4851,250.4684,224.655,226.8149,1728428.6051
2024-03-23,227.5286,259.8771,212.3907,238.6384,10156675.9415
2024-03-24,236.7575,267.0108,231.166,260.5584,3431762.963
2024-03-25,260.4588,279.7144,258.4979,278.6626,2111381.8438
2024-03-26,279.2077,291.2633,259.939,262.7697,2542370.5158
2024-03-27,262.8049,283.255,261.7948,277.1187,4301295.1783
2024-03-28,277.2378,287.4762,267.9333,284.2148,3778099.3387
2024-03-29,283.9571,292.8495,276.3352,288.7888,4763088.1546
2024-03-30,288.4535,320.256,287.8469,317.5117,4198320.8441
2024-03-31,317.8915,328.512,317.1978,325.5576,2130894.8433
2024-04-01,325.7167,327.9458,287.3673,305.3002,4537356.4087
2024-04-02,305.0734,305.3992,244.9879,248.5564,2333902.0785
2024-04-03,248.1506,260.1338,234.0386,258.1389,4452753.7842
2024-04-04,257.874,267.7684,244.2476,258.462,2787720.1276
2024-04-05,258.4909,267.7158,245.771,257.7376,2124999.243
2024-04-06,257.8169,269.9408,256.4927,268.4831,1448867.7313
2024-04-07,267.1211,280.6463,266.7964,274.4159,1684117.1363
2024-04-08,274.4496,288.497,268.8113,287.034,1007068.0738
2024-04-09,286.2331,288.4389,247.3691,251.1669,1804236.467
2024-04-10,251.3558,255.647,242.4135,254.8582,1374617.855
2024-04-11,255.1306,258.7089,241.6821,242.4721,1414506.1215
2024-04-12,242.3658,249.6102,202.2881,204.8129,2826329.7651
2024-04-13,205.0989,212.1796,170.7117,181.1923,2793141.4988
2024-04-14,179.6897,211.1119,175.7969,208.7114,2905235.1517
2024-04-15,208.5048,208.5048,193.2337,195.8418,1646976.5237
2024-04-16,195.8079,196.2526,177.0164,177.1783,825191.9621
2024-04-17,176.8767,179.8996,166.5512,169.2771,649350.8766
2024-04-18,169.1899,176.4134,166.5196,175.5551,1416438.3021
2024-04-19,175.9259,182.0099,164.3746,175.6242,1030688.1183
2024-04-20,176.1789,178.7022,170.6091,177.2731,964221.6868
2024-04-21,177.0253,180.004,173.0744,173.3884,443714.0861
2024-04-22,173.6385,176.3992,166.0786,166.0786,877956.7577
2024-04-23,166.062,167.0934,158.4892,158.6251,725259.6838
2024-04-24,158.7562,161.4687,143.676,150.8623,1061484.2831
2024-04-25,151.0244,153.6968,145.457,147.7011,1077852.2722
2024-04-26,147.6873,147.6915,136.8284,138.0017,908588.4425
2024-04-27,137.8775,142.5384,129.529,140.5097,1468495.0643
2024-04-28,140.4034,147.7982,138.9398,138.9453,1067287.9173
2024-04-29,138.8985,139.7445,106.4471,110.5633,3593507.4264
2024-04-30,110.3527,119.0702,106.2475,108.6473,1279186.6524
2024-05-01,108.9563,108.9845,97.2576,99.3946,492202.6742
2024-05-02,99.4714,99.5542,93.7091,96.5266,339502.831
2024-05-03,96.5684,99.0541,92.0686,97.0204,638834.8745
2024-05-04,96.9805,99.3604,93.8189,94.8207,370182.4656
2024-05-05,94.8362,95.4043,92.8182,93.3907,211154.7982
2024-05-06,93.3205,99.5399,93.0913,94.8366,365153.516
2024-05-07,94.7871,95.2279,87.8456,90.6517,487064.5177
2024-05-08,90.501,91.1366,82.5264,83.0866,241827.8423
2024-05-09,83.1898,84.2551,80.4892,82.1706,627884.6286
2024-05-10,82.2547,82.794,76.9606,79.2091,694315.9374
2024-05-11,79.2525,79.2525,75.1573,75.4367,144962.4994
2024-05-12,75.4519,77.7289,75.3005,76.8176,218884.215
2024-05-13,76.8601,77.2698,73.393,73.703,216203.9828
2024-05-14,73.6651,73.9072,70.5928,70.7227,163172.0227
2024-05-15,70.7268,70.7268,63.633,68.032,358140.8851
2024-05-16,68.1484,68.1728,62.6937,62.9338,244800.1708
2024-05-17,62.9153,67.9837,62.3175,62.9066,459212.8023
2024-05-18,62.8942,68.0456,61.6093,65.7707,520212.4027
2024-05-19,65.899,65.899,57.4766,60.6037,262176.9997
2024-05-20,60.5811,73.4877,57.8691,73.323,274803.393
2024-05-21,73.0834,78.6821,70.8562,73.5282,301804.5528
2024-05-22,73.3068,73.5846,66.6285,66.7529,178174.4761
2024-05-23,66.7652,78.6951,66.7358,70.2137,1135127.5316
2024-05-24,70.3692,71.0791,62.5148,64.2938,423648.8685
2024-05-25,64.2773,65.5963,60.6457,61.3372,308077.4974
2024-05-26,61.3777,66.4547,61.1264,65.3516,327953.071
2024-05-27,65.3838,72.3754,65.3765,67.4545,1629185.238
2024-05-28,67.4589,68.2432,61.5514,63.9085,3985525.6771
2024-05-29,63.7938,63.7938,57.9374,58.034,609359.0947
2024-05-30,57.919,57.919,54.66,54.66,1974448.1885
2024-05-31,54.5269,54.5849,51.9339,53.8269,5035547.1172
2024-06-01,53.8129,53.8129,49.888,51.2389,5170377.6277
2024-06-02,51.2287,51.3293,49.4211,49.5451,3696618.0797
2024-06-03,49.5887,49.5887,38.4521,46.2759,20521385.4883
2024-06-04,46.2054,46.2259,36.0572,41.6193,22503861.2592
2024-06-05,41.6362,42.0697,39.3257,39.505,1554166.8263
2024-06-06,39.5185,39.7192,30.368,37.1993,5454881.0446
2024-06-07,37.6984,37.7585,31.8155,33.8182,29215020.0404
2024-06-08,33.7751,33.9838,30.5665,32.3691,9170558.2145
2024-06-09,32.4127,32.4656,30.6226,30.6226,83475.2952
2024-06-10,30.605,30.6686,22.7815,26.4359,11456171.6913
2024-06-11,26.3883,26.3883,21.7434,22.2019,3912225.3763
2024-06-12,22.1899,23.1901,21.8664,22.8877,650919.0901
2024-06-13,22.8114,22.825,20.1331,20.5956,1815653.912
2024-06-14,20.6186,20.9373,18.2863,18.331,74122.7562
2024-06-15,18.3155,19.2087,17.1256,18.7089,7701525.3435
2024-06-16,18.6889,19.7708,18.0806,19.0317,8484366.0149
2024-06-17,18.9689,18.9689,12.4551,15.6907,35791662.0676
2024-06-18,15.6847,15.6847,13.1911,13.1911,1227041.9939
