Date,TVL,,,
02/03/2023,1515827.0147487463,,,
03/03/2023,1938280.2285803657,,,
04/03/2023,2987845.909483193,,,
05/03/2023,3267001.9700262053,,,
06/03/2023,3440620.4671028736,,,
07/03/2023,3862338.528818055,,,
08/03/2023,4612192.267930183,,,
09/03/2023,4672667.7565887645,,,
10/03/2023,4836799.917648153,,,
11/03/2023,4931444.209968081,,,
12/03/2023,5093851.220915638,,,
13/03/2023,5621261.172735213,,,
14/03/2023,5855965.280762807,,,
15/03/2023,5918383.329932868,,,
16/03/2023,5617421.673804531,,,
17/03/2023,5697567.071136959,,,
18/03/2023,6349148.730247624,,,
19/03/2023,6631245.189666685,,,
20/03/2023,7924650.501437412,,,
21/03/2023,8171458.47415773,,,
22/03/2023,9105672.430999829,,,
23/03/2023,9494768.316058137,,,
24/03/2023,10255295.270981867,,,
25/03/2023,10825874.95415569,,,
26/03/2023,11253863.823313262,,,
27/03/2023,11884024.432295388,,,
28/03/2023,11754690.79543892,,,
29/03/2023,12860597.380011883,,,
30/03/2023,13639096.365209136,,,
31/03/2023,14696208.489629295,,,
01/04/2023,16291009.207113674,,,
02/04/2023,19395622.05449296,,,
03/04/2023,20715400.383323614,,,
04/04/2023,22000084.5335115,,,
05/04/2023,24403871.64202281,,,
06/04/2023,24842707.77377192,,,
07/04/2023,25419644.063277155,,,
08/04/2023,26074178.857081868,,,
09/04/2023,26381101.326870773,,,
10/04/2023,27242356.779878683,,,
11/04/2023,28327433.229081187,,,
12/04/2023,28235467.87972419,,,
13/04/2023,32908002.948954094,,,
14/04/2023,37471801.946664214,,,
15/04/2023,38229342.040731855,,,
16/04/2023,39266172.39933455,,,
17/04/2023,39777070.28424053,,,
18/04/2023,40279747.21581454,,,
19/04/2023,42428973.99766505,,,
20/04/2023,40327690.67692247,,,
21/04/2023,40821968.05196107,,,
22/04/2023,38862688.85225736,,,
23/04/2023,39090891.24398555,,,
24/04/2023,39356943.62994733,,,
25/04/2023,39161054.48497042,,,
26/04/2023,40306352.251973666,,,
27/04/2023,42456446.05578145,,,
28/04/2023,43055817.14161028,,,
29/04/2023,42915992.859595984,,,
30/04/2023,43274440.154081896,,,
01/05/2023,42937693.04279032,,,
02/05/2023,41507671.76407651,,,
03/05/2023,41944906.87296888,,,
04/05/2023,42351188.12039144,,,
05/05/2023,40281646.39262802,,,
06/05/2023,42625090.40369228,,,
07/05/2023,40011531.92160397,,,
08/05/2023,39338122.533688955,,,
09/05/2023,37863223.39699161,,,
10/05/2023,37863578.602080494,,,
11/05/2023,37381710.20919746,,,
12/05/2023,36293789.98767991,,,
13/05/2023,35722938.631657876,,,
14/05/2023,35381784.35616135,,,
15/05/2023,35084056.39237037,,,
16/05/2023,35679530.98632916,,,
17/05/2023,35849772.94651274,,,
18/05/2023,35145283.110685356,,,
19/05/2023,34604924.587047435,,,
20/05/2023,34304885.72274856,,,
21/05/2023,34849064.77851212,,,
22/05/2023,34276771.482379146,,,
23/05/2023,34396297.965927705,,,
24/05/2023,34327929.442535035,,,
25/05/2023,33133284.319163155,,,
26/05/2023,33189746.14818033,,,
27/05/2023,33506618.49576202,,,
28/05/2023,33476560.756058443,,,
29/05/2023,34801067.28454638,,,
30/05/2023,34268469.655862615,,,
31/05/2023,34481715.911831856,,,
01/06/2023,33227489.556640875,,,
02/06/2023,33005297.611597832,,,
03/06/2023,33598249.99779939,,,
04/06/2023,33351268.944358528,,,
05/06/2023,33201601.844410475,,,
06/06/2023,32028799.27071802,,,
07/06/2023,33184265.983743604,,,
08/06/2023,32295877.289165497,,,
09/06/2023,32399574.309724912,,,
10/06/2023,32277535.349848177,,,
11/06/2023,30775164.01491405,,,
12/06/2023,30795299.12044312,,,
13/06/2023,30327656.059732642,,,
14/06/2023,30470918.493889105,,,
15/06/2023,28646883.816231694,,,
16/06/2023,32444642.462879676,,,
26/06/2023,39069456.28233118,,,
27/06/2023,38455546.91764156,,,
28/06/2023,38681548.97687134,,,
29/06/2023,37774149.787344545,,,
30/06/2023,38259032.61529078,,,
01/07/2023,39927078.67099724,,,
02/07/2023,39512458.29505187,,,
03/07/2023,39812883.81308571,,,
04/07/2023,40184354.572984226,,,
05/07/2023,39759706.993579246,,,
06/07/2023,38990615.47879893,,,
07/07/2023,37764209.9382656,,,
08/07/2023,38252317.06067954,,,
09/07/2023,38176881.31312424,,,
10/07/2023,37852998.887885004,,,
11/07/2023,38106604.3334383,,,
12/07/2023,32286322.807363078,,,
13/07/2023,31667341.220591284,,,
14/07/2023,29473955.733981974,,,
15/07/2023,36085760.0969794,,,
16/07/2023,36130912.755955145,,,
17/07/2023,35837420.89472786,,,
18/07/2023,35419461.334595986,,,
19/07/2023,35099224.24523795,,,
20/07/2023,34530177.82550386,,,
21/07/2023,35165403.141408674,,,
22/07/2023,35266530.68285874,,,
23/07/2023,33075234.46220327,,,
24/07/2023,33299808.90706605,,,
25/07/2023,32376634.021654595,,,
26/07/2023,32263808.96542029,,,
27/07/2023,32650601.189988695,,,
28/07/2023,32747090.468133293,,,
29/07/2023,33054797.081086405,,,
30/07/2023,33044713.80107258,,,
31/07/2023,32585351.138981763,,,
01/08/2023,32255154.70954557,,,
02/08/2023,32313864.34997735,,,
03/08/2023,31684809.50263713,,,
04/08/2023,31518372.11692932,,,
05/08/2023,31068993.7607289,,,
06/08/2023,31258520.22675444,,,
07/08/2023,30772681.64443049,,,
08/08/2023,30693798.35042263,,,
09/08/2023,31044833.943513703,,,
10/08/2023,31051744.80505935,,,
11/08/2023,30884483.24494504,,,
12/08/2023,30638483.32913391,,,
13/08/2023,30617816.063304856,,,
14/08/2023,30493458.94382607,,,
15/08/2023,30491353.54490058,,,
16/08/2023,30040520.051056415,,,
17/08/2023,29380437.11847614,,,
18/08/2023,27752463.5857838,,,
19/08/2023,27150552.6174289,,,
20/08/2023,27133859.894481532,,,
21/08/2023,27262558.087126434,,,
22/08/2023,26806101.00336768,,,
23/08/2023,25720794.654135417,,,
24/08/2023,26466588.263596725,,,
25/08/2023,26020160.089491338,,,
26/08/2023,25886129.074758332,,,
27/08/2023,25691816.385235853,,,
28/08/2023,26122746.926603816,,,
29/08/2023,26068630.482477773,,,
30/08/2023,27158695.191175807,,,
31/08/2023,26917052.598542124,,,
01/09/2023,25851804.716203894,,,
02/09/2023,28098366.495466795,,,
03/09/2023,28117022.133265603,,,
04/09/2023,28076960.932991706,,,
05/09/2023,28035989.060815267,,,
06/09/2023,30694816.714212008,,,
07/09/2023,30141799.94031388,,,
08/09/2023,30141705.761037268,,,
09/09/2023,29891532.72391972,,,
10/09/2023,29569013.23795706,,,
11/09/2023,29126346.405094065,,,
12/09/2023,27725083.495700873,,,
13/09/2023,28425372.016049214,,,
14/09/2023,28575297.48479823,,,
15/09/2023,28887385.877186257,,,
16/09/2023,29203607.792956874,,,
17/09/2023,28842652.694246612,,,
18/09/2023,28618695.48444211,,,
19/09/2023,28873907.935565416,,,
20/09/2023,29001013.110171504,,,
21/09/2023,28645695.091962967,,,
22/09/2023,27999909.885312244,,,
23/09/2023,28214377.32134798,,,
24/09/2023,28149801.721794482,,,
25/09/2023,27791151.195207637,,,
26/09/2023,27965372.401390847,,,
27/09/2023,28043239.338156,,,
28/09/2023,28169240.173454136,,,
29/09/2023,29103675.266934376,,,
30/09/2023,29440425.26431084,,,
01/10/2023,29417027.937777832,,,
02/10/2023,30433636.93843005,,,
03/10/2023,29254808.25190772,,,
04/10/2023,28752945.31051186,,,
05/10/2023,30861516.13109043,,,
06/10/2023,29267197.634861305,,,
07/10/2023,30705733.55541722,,,
08/10/2023,30490986.70070198,,,
09/10/2023,30275548.12823383,,,
10/10/2023,29196180.423575364,,,
11/10/2023,28820415.69247298,,,
12/10/2023,28774966.456449457,,,
13/10/2023,28296006.086319856,,,
14/10/2023,28590014.294067442,,,
15/10/2023,28590868.600378055,,,
16/10/2023,28476017.346563615,,,
17/10/2023,28865546.024158116,,,
18/10/2023,28435447.523428496,,,
19/10/2023,28435938.915235363,,,
20/10/2023,28470546.945947293,,,
21/10/2023,29188363.656449694,,,
22/10/2023,29700108.724638052,,,
23/10/2023,30198577.299182035,,,
24/10/2023,31491416.105990756,,,
25/10/2023,31467540.172586843,,,
26/10/2023,31644052.781353552,,,
27/10/2023,31708919.667770345,,,
28/10/2023,31413274.03109357,,,
29/10/2023,31443018.345568515,,,
30/10/2023,32559163.985565312,,,
31/10/2023,32827503.843785044,,,
01/11/2023,31639902.18181316,,,
02/11/2023,32163009.790694103,,,
03/11/2023,30976422.592309166,,,
04/11/2023,31833607.98063516,,,
05/11/2023,32435314.04832687,,,
06/11/2023,32306356.928555723,,,
07/11/2023,32540860.040754877,,,
08/11/2023,29456404.302252475,,,
09/11/2023,32277809.152397066,,,
10/11/2023,36249543.218704544,,,
11/11/2023,31728976.51616219,,,
12/11/2023,34973277.99105227,,,
13/11/2023,34999641.16317858,,,
14/11/2023,34901299.603094935,,,
15/11/2023,33980351.26596663,,,
16/11/2023,34894958.2541589,,,
17/11/2023,34368749.29944702,,,
18/11/2023,34675978.08993598,,,
19/11/2023,35434408.47660527,,,
20/11/2023,36480024.08110636,,,
21/11/2023,37334498.61029675,,,
22/11/2023,39990155.42669021,,,
23/11/2023,42310828.767933376,,,
24/11/2023,42298525.94925379,,,
25/11/2023,42684629.40881472,,,
26/11/2023,42609172.120913275,,,
27/11/2023,42382185.11627496,,,
28/11/2023,45501002.38830434,,,
29/11/2023,48053929.4154326,,,
30/11/2023,48105479.05240613,,,
01/12/2023,51903816.10441172,,,
02/12/2023,45704717.00310378,,,
03/12/2023,52310484.58421341,,,
04/12/2023,52095451.50528611,,,
05/12/2023,52329052.737266466,,,
06/12/2023,53697513.977088474,,,
07/12/2023,54757765.72782171,,,
08/12/2023,59594055.494698994,,,
09/12/2023,62250853.18788693,,,
10/12/2023,63622419.30892078,,,
11/12/2023,64245703.43254622,,,
12/12/2023,61810725.71475537,,,
13/12/2023,61724150.22070631,,,
14/12/2023,64721172.767072745,,,
15/12/2023,67832001.51465136,,,
16/12/2023,67610572.61400226,,,
17/12/2023,68061744.93270753,,,
18/12/2023,71157900.77954696,,,
19/12/2023,75765756.27834436,,,
20/12/2023,75319309.9118446,,,
21/12/2023,77284455.94486037,,,
22/12/2023,81847507.26535118,,,
23/12/2023,88435486.5725276,,,
24/12/2023,90129562.77221292,,,
25/12/2023,91273330.76386729,,,
26/12/2023,94003583.16318694,,,
27/12/2023,93733956.92177333,,,
28/12/2023,102271717.1962965,,,
29/12/2023,102251631.08192681,,,
30/12/2023,101524658.62457232,,,
31/12/2023,102737380.77135426,,,
01/01/2024,103185171.36773242,,,
02/01/2024,108612761.67786303,,,
03/01/2024,108846435.97939044,,,
04/01/2024,109146091.65301819,,,
05/01/2024,108579438.5847781,,,
06/01/2024,121536999.87784351,,,
07/01/2024,122554752.3051479,,,
08/01/2024,122430129.29828507,,,
09/01/2024,128075798.63442981,,,
10/01/2024,136430144.49781775,,,
11/01/2024,153781018.5206776,,,
12/01/2024,163859267.5373786,,,
13/01/2024,164625520.11540085,,,
14/01/2024,177772286.40839723,,,
15/01/2024,180619371.54325053,,,
16/01/2024,201361925.87270805,,,
17/01/2024,224157896.01779312,,,
18/01/2024,239198082.02206016,,,
19/01/2024,250848576.1270516,,,
20/01/2024,282429523.5681918,,,
21/01/2024,301440643.81723714,,,
22/01/2024,336582443.7469497,,,
23/01/2024,334265830.363405,,,
24/01/2024,344698406.7658978,,,
25/01/2024,354307698.08489925,,,
26/01/2024,405024512.0776024,,,
27/01/2024,439285831.87394726,,,
28/01/2024,457849694.2203419,,,
29/01/2024,471861680.7113486,,,
30/01/2024,501684223.4210873,,,
31/01/2024,528742132.28643733,,,
01/02/2024,544600980.1291896,,,
02/02/2024,604460802.1123239,,,
03/02/2024,646445709.6976985,,,
04/02/2024,670878283.8496641,,,
05/02/2024,683178306.4537985,,,
06/02/2024,727479829.8602968,,,
07/02/2024,786816572.0238026,,,
08/02/2024,845953452.9313554,,,
09/02/2024,910440898.7360796,,,
10/02/2024,999091317.0726439,,,
11/02/2024,1022335462.37009,,,
12/02/2024,1034224108.3455819,,,
13/02/2024,1123825985.795938,,,
14/02/2024,1140247267.4905505,,,
15/02/2024,1204671710.5077043,,,
16/02/2024,1239493622.005287,,,
17/02/2024,1260811814.3485646,,,
18/02/2024,1261333233.2595701,,,
19/02/2024,1317219968.1624978,,,
20/02/2024,1378512210.7137425,,,
21/02/2024,1420033790.4191954,,,
22/02/2024,1414633581.9315937,,,
23/02/2024,1440199691.2589097,,,
24/02/2024,1422319828.469122,,,
25/02/2024,1454687793.2470212,,,
26/02/2024,1544512488.6887574,,,
27/02/2024,1602521861.652758,,,
28/02/2024,1658777863.6000583,,,
29/02/2024,1737904992.833533,,,
01/03/2024,1781234141.2089148,,,
02/03/2024,1823331852.0101144,,,
03/03/2024,1821122703.9386241,,,
04/03/2024,1875908453.131477,,,
05/03/2024,1945641612.2722237,,,
06/03/2024,1941017948.517373,,,
07/03/2024,2132366886.048027,,,
08/03/2024,2158752266.5559187,,,
09/03/2024,2197139643.87117,,,
10/03/2024,2217162075.2994094,,,
11/03/2024,2201917499.357046,,,
12/03/2024,2324808008.2346873,,,
13/03/2024,2462545325.5006695,,,
14/03/2024,2992906477.1843266,,,
15/03/2024,3138024683.4854665,,,
16/03/2024,3079943894.168095,,,
17/03/2024,2907922436.6544614,,,
18/03/2024,2953080158.295121,,,
19/03/2024,2889461835.56503,,,
20/03/2024,2611030342.2570004,,,
21/03/2024,2888493413.5259433,,,
22/03/2024,2858336900.292754,,,
23/03/2024,2714352972.9017286,,,
24/03/2024,2735641430.3267183,,,
25/03/2024,2837926634.7215962,,,
26/03/2024,3042534618.0488443,,,
