time,open,high,low,close,volume
2024-06-24,94.0354,94.0354,88.6091,90.6756,0.0
2024-06-25,90.8043,91.3993,65.9741,81.8939,35359.0811
2024-06-26,81.7445,82.2874,59.3682,66.1806,330867.5377
2024-06-27,65.9248,66.0128,39.1089,46.0654,6035240.8938
2024-06-28,46.0559,49.3948,44.4258,44.9428,5591975.095
2024-06-29,45.008,50.4182,43.4823,48.1465,493128.5994
2024-06-30,48.1717,48.1865,34.8513,39.0869,1972405.7836
2024-07-01,38.9742,43.1964,37.2945,41.0707,152180.4318
2024-07-02,39.5421,40.0045,36.4822,36.5092,682485.6773
2024-07-03,36.5022,38.8545,36.1699,37.9593,1825921.3202
2024-07-04,37.9168,39.1279,34.0496,38.0782,780639.4679
2024-07-05,37.8352,38.423,31.8084,32.1156,698935.368
2024-07-06,32.0338,32.3129,27.8479,28.3158,354844.0489
2024-07-07,28.3208,28.3306,25.0737,25.7616,334397.6982
2024-07-08,25.7749,25.9138,23.8248,24.4989,28311.4326
2024-07-09,24.4475,25.3808,24.3306,24.6624,22400.6025
2024-07-10,24.6382,25.46,24.3353,24.9138,44159.8324
2024-07-11,24.9127,26.0925,24.1349,24.1349,135911.8767
2024-07-12,24.1384,24.1761,23.533,23.92,233.7204
2024-07-13,23.9804,24.4204,23.4465,23.7295,119087.2275
2024-07-14,23.6317,24.1575,23.2816,24.1465,589.5814
2024-07-15,24.0558,24.9591,23.8658,24.9475,720480.9165
2024-07-16,24.9199,24.9199,23.785,23.9959,0.0
2024-07-17,23.9813,24.5322,21.6672,21.6672,3124550.6447
2024-07-18,21.6303,24.4846,21.6154,23.9211,999155.432
2024-07-19,23.8919,25.1837,23.5722,24.6304,1002.153
2024-07-20,24.6025,25.0098,24.4397,24.8349,4392.2971
2024-07-21,24.9229,26.1365,24.5079,25.7588,1046987.8063
2024-07-22,25.767,26.0365,24.2164,24.2192,603.1684
2024-07-23,24.2851,24.6848,22.3729,23.354,1773.8141
2024-07-24,23.3209,23.9125,22.7464,22.7464,841398.2623
2024-07-25,22.8028,22.8028,12.3087,15.6211,4172189.4114
2024-07-26,15.8791,17.6333,15.8751,17.5303,579306.5511
2024-07-27,17.5115,17.5115,14.9855,15.0986,2715732.9923
2024-07-28,15.0766,15.0766,13.7801,14.85,187836.5343
2024-07-29,14.8463,16.3623,14.7025,16.2689,520353.8296
2024-07-30,16.2036,16.2554,15.5579,15.6259,53943.7176
2024-07-31,15.6319,15.7207,14.766,14.7912,184.8743
2024-08-01,14.8136,14.8136,13.1972,13.1972,181599.5949
2024-08-02,13.1666,13.3105,12.2891,12.3634,65741.5237
2024-08-03,12.3273,12.4409,11.6233,11.7834,232412.1411
2024-08-04,11.7662,11.7891,10.3745,10.3745,319294.7433
2024-08-05,10.3319,10.3421,7.7389,8.3806,1351302.8416
2024-08-06,8.3425,8.7943,7.5233,7.5353,24492.7903
2024-08-07,7.5547,7.7049,6.5257,6.5565,535453.0454
2024-08-08,6.5434,7.3743,6.5014,6.6123,230198.4357
2024-08-09,6.6148,6.6891,5.6195,5.6195,238053.2097
2024-08-10,5.6441,5.6973,5.4937,5.5353,1588997.501
2024-08-11,5.5311,5.7257,4.7916,4.7916,263877.0935
2024-08-12,4.7872,4.8095,4.6324,4.7605,168.6325
2024-08-13,4.75,4.75,4.4747,4.5125,129135.8981
