time,open,high,low,close,volume
2024-03-26,3117.5088,3147.5773,3052.145,3086.1757,0.0
2024-03-27,3086.7674,3203.8833,3020.2313,3064.0128,2161264.9492
2024-03-28,3065.3898,3199.4967,3052.901,3137.3476,8904263.051
2024-03-29,3134.5931,3167.3959,3056.509,3128.1851,7162979.5986
2024-03-30,3124.5199,3151.9503,3071.3955,3100.0988,10727424.2452
2024-03-31,3103.8345,3244.9983,3087.3021,3244.9983,10998420.6371
2024-04-01,3246.6204,3246.6204,3053.6542,3124.5901,7120538.5276
2024-04-02,3122.2918,3123.2277,2916.4466,2948.7191,7800226.9856
2024-04-03,2944.0293,3019.2508,2897.9358,2974.3767,5475094.9427
2024-04-04,2971.362,3061.15,2914.4435,2970.4769,2247086.8284
2024-04-05,2970.8855,3014.4451,2891.2802,2982.775,7209898.1915
2024-04-06,2983.7709,3045.5804,2971.303,3032.389,1779230.281
2024-04-07,3017.0547,3085.68,3010.6343,3085.68,5215840.3525
2024-04-08,3086.0948,3334.0616,3064.2216,3318.5571,4810820.1657
2024-04-09,3309.3345,3333.3867,3120.4513,3136.7144,4127061.6363
2024-04-10,3139.186,3202.1738,3077.096,3186.3404,7294630.0916
2024-04-11,3189.7943,3258.3922,3150.1419,3182.5339,5913143.0625
2024-04-12,3181.2517,3248.3174,2916.3164,2936.73,10331199.7218
2024-04-13,2940.9729,2995.1539,2611.3295,2765.0625,4600035.5463
2024-04-14,2742.2671,2910.9241,2662.6579,2910.9241,3144785.655
2024-04-15,2908.1466,3001.2308,2809.1922,2863.1705,9076099.4245
2024-04-16,2862.7305,2901.8342,2799.6665,2866.9319,4058134.7858
2024-04-17,2862.1948,2889.4309,2722.1371,2768.5193,4939479.4857
2024-04-18,2767.1999,2852.4249,2735.1462,2841.93,19562253.9559
2024-04-19,2848.0606,2898.3963,2661.8903,2820.7928,10754987.247
2024-04-20,2829.8592,2951.0151,2800.7666,2932.6574,9111462.8847
2024-04-21,2928.7159,2973.7194,2909.0108,2928.7505,7021570.5817
2024-04-22,2933.1215,3026.8355,2929.1605,3008.0078,7443051.2729
2024-04-23,3007.823,3045.9541,2948.8207,3004.1414,9552232.8723
2024-04-24,3006.6948,3079.5077,2903.024,2910.8994,15717478.7366
2024-04-25,2914.1869,3003.4373,2894.5061,2966.1889,13002699.5569
2024-04-26,2965.989,2985.0652,2924.5085,2952.3355,10673461.0278
2024-04-27,2949.82,3075.5916,2905.5337,3059.5989,9588074.9492
2024-04-28,3057.4677,3163.336,3056.7181,3080.0817,13132200.4455
2024-04-29,3079.1963,3103.9178,2963.0429,3081.5878,18799801.635
2024-04-30,3075.8784,3098.4255,2801.5005,2868.3474,10687584.0671
2024-05-01,2876.6518,2887.0567,2703.7716,2846.9353,9812111.0544
2024-05-02,2849.2934,2888.1088,2784.6409,2872.9855,3501858.4919
2024-05-03,2874.4354,2998.6752,2848.3429,2989.3809,2036831.825
2024-05-04,2988.3473,3035.6961,2982.4626,2990.5203,414541.4977
2024-05-05,2991.2012,3039.3446,2964.669,3017.1019,1328733.3519
2024-05-06,3015.0244,3097.2037,2942.7469,2953.8439,4482887.139
2024-05-07,2952.4942,3005.306,2906.9745,2907.203,2722002.8713
2024-05-08,2902.5739,2918.9151,2841.4063,2855.2365,2853860.0755
2024-05-09,2859.0733,2949.6653,2849.2051,2928.9362,2062944.5995
2024-05-10,2932.153,2954.0258,2793.3178,2813.7002,3329548.2052
2024-05-11,2815.4621,2835.5524,2797.2025,2822.29,2270695.3227
2024-05-12,2822.9364,2857.2032,2816.1809,2838.7035,3774546.0383
2024-05-13,2840.1612,2896.5161,2777.4064,2857.8401,1910218.7905
2024-05-14,2856.6009,2868.3107,2789.5979,2799.4106,1383697.054
2024-05-15,2799.7099,2954.6817,2781.3165,2953.8973,3331909.6047
2024-05-16,2959.1822,2959.1884,2854.6234,2865.9639,2534489.3123
2024-05-17,2865.3662,3032.598,2863.6759,3014.3252,1332109.7913
2024-05-18,3013.7453,3056.0658,3009.7509,3039.881,769833.6632
2024-05-19,3045.9412,3057.6435,2987.8325,3006.5207,3678195.5218
2024-05-20,3005.5421,3593.613,2987.6956,3586.5751,1051368.2646
2024-05-21,3575.1952,3739.8014,3550.8503,3711.5106,1558654.6661
2024-05-22,3700.6803,3715.7198,3577.6087,3654.2348,1410318.5257
2024-05-23,3655.2787,3842.5818,3595.6365,3675.8393,803397.3895
2024-05-24,3684.4558,3739.6214,3565.8783,3655.1564,3962966.3044
2024-05-25,3654.602,3691.7564,3641.0173,3671.5401,4632352.9462
2024-05-26,3674.3652,3795.284,3665.4344,3747.8612,2574533.5194
2024-05-27,3750.1321,3880.9635,3748.5987,3806.7761,2553800.8493
2024-05-28,3807.3618,3845.0441,3707.3859,3782.0596,2325046.9237
2024-05-29,3775.586,3810.3896,3676.8137,3713.4519,3573336.0281
2024-05-30,3706.5624,3757.1038,3645.4005,3684.0527,3730701.1
2024-05-31,3675.5602,3781.4007,3668.1795,3693.8883,1438531.835
2024-06-01,3694.2433,3759.6569,3685.9045,3754.6803,1599850.1115
2024-06-02,3754.3577,3763.646,3702.529,3713.1531,629724.5346
2024-06-03,3716.9629,3785.2406,3708.7248,3718.9038,3369982.0384
2024-06-04,3712.8105,3776.8404,3692.8937,3770.2839,3682574.5548
2024-06-05,3772.4163,3826.7037,3735.7787,3810.7404,358259.5582
2024-06-06,3812.6808,3829.5289,3722.8515,3759.8862,1449168.5263
2024-06-07,3760.6179,3783.3234,3607.6771,3645.4958,876351.2905
2024-06-08,3641.5294,3664.1349,3634.2567,3638.8943,1463844.2662
2024-06-09,3644.5255,3683.2455,3630.5866,3670.9551,1206669.4961
2024-06-10,3669.5951,3674.801,3613.5962,3637.1935,1290383.146
2024-06-11,3631.144,3631.1647,3402.4262,3466.0944,4547642.47
2024-06-12,3465.036,3612.9148,3438.6998,3538.3692,5966997.4065
2024-06-13,3527.4433,3527.4872,3407.4845,3431.9075,2447150.7912
2024-06-14,3435.2152,3491.4454,3339.517,3455.1115,1850707.8855
2024-06-15,3453.1978,3562.5199,3453.0728,3540.9089,1950179.9332
2024-06-16,3538.2528,3617.8062,3520.9433,3603.6735,2198942.4122
2024-06-17,3593.0286,3593.037,3469.2666,3482.5242,8871019.5539
2024-06-18,3482.532,3482.5865,3372.9952,3458.0338,8614135.4323
2024-06-19,3458.0412,3564.8009,3452.2237,3543.707,9682182.0495
2024-06-20,3538.0994,3590.8725,3476.7267,3500.8343,2643111.2354
2024-06-21,3497.7515,3516.2203,3447.6384,3504.9808,10853436.7218
2024-06-22,3502.1636,3502.8471,3469.7246,3486.8241,4496056.6374
2024-06-23,3481.2433,3503.8796,3404.8667,3412.3251,6194083.5595
2024-06-24,3409.1123,3410.992,3248.1813,3340.3965,3703748.5613
2024-06-25,3345.3432,3411.4933,3323.6417,3395.9885,11309557.8911
2024-06-26,3390.0013,3405.4998,3330.2074,3375.5086,35823426.3498
2024-06-27,3362.6763,3454.1775,3361.7916,3441.1291,0.0
2024-06-28,3440.6311,3468.5724,3364.0005,3364.0005,0.0
2024-06-29,3368.9357,3395.1777,3366.7525,3366.7525,0.0
2024-06-30,3368.7322,3441.46,3350.2047,3441.46,0.0
2024-07-01,3431.7594,3503.8893,3431.7594,3450.1393,0.0
2024-07-02,3436.2704,3451.2222,3395.0224,3409.0599,0.0
2024-07-03,3416.9983,3416.9983,3260.5514,3290.0081,0.0
2024-07-04,3174.1845,3236.7423,3108.5592,3157.5019,0.0
2024-07-05,2892.7024,2993.765,2870.8158,2974.7962,0.0
2024-07-06,2978.8527,3053.5758,2978.8527,3053.5758,0.0
2024-07-07,3043.8918,3043.8918,2940.8742,2940.8742,0.0
2024-07-08,2942.9443,3051.7462,2862.2425,3036.1593,0.0
2024-07-09,3030.2945,3079.1747,3030.2945,3073.1424,0.0
