time,open,high,low,close,volume
2024-03-26,515.4911,520.1451,502.1657,506.0251,0.0
2024-03-27,506.1016,530.6319,368.3044,427.1573,270180.8427
2024-03-28,427.3319,445.6037,368.3477,436.3088,829162.8132
2024-03-29,435.9236,437.9134,382.3302,388.4948,841057.2759
2024-03-30,388.0235,464.8707,385.7494,405.6963,1104252.1982
2024-03-31,406.1852,428.649,374.9919,393.7585,968931.0926
2024-04-01,393.9526,398.6665,369.2144,385.8467,575639.2088
2024-04-02,385.5596,387.1967,285.3888,330.935,431902.4801
2024-04-03,330.3984,357.3014,322.716,343.2551,560556.4254
2024-04-04,342.8922,367.6805,342.8863,354.3994,222556.1577
2024-04-05,354.4356,354.4356,315.2719,340.6235,401834.9823
2024-04-06,340.7263,346.3339,338.0621,344.6483,337869.4439
2024-04-07,342.89,375.1742,340.879,360.6294,471415.7235
2024-04-08,360.6614,387.9843,346.6253,380.8315,237943.7558
2024-04-09,379.7633,382.0779,343.7714,354.5542,224644.9101
2024-04-10,354.817,361.1876,327.6817,346.0913,436931.6346
2024-04-11,346.4625,353.1124,313.9219,313.9514,318874.6627
2024-04-12,313.8444,325.9392,281.0591,288.4559,914231.1623
2024-04-13,288.8603,288.8603,242.8169,256.6162,372209.3488
2024-04-14,254.4882,258.4734,245.8183,250.3961,184962.5612
2024-04-15,250.1527,260.8405,218.8264,233.8397,532963.7914
2024-04-16,233.7948,233.8368,206.013,218.346,199142.868
2024-04-17,217.9772,222.8716,202.6565,212.3712,334228.3185
2024-04-18,212.2586,254.1081,206.2229,221.3396,1404039.4597
2024-04-19,221.8055,235.3803,201.64,229.5805,840737.1485
2024-04-20,230.3057,230.3529,189.2498,220.0173,432783.1925
2024-04-21,219.7098,223.9654,203.7014,220.2524,425439.0896
2024-04-22,220.569,220.569,190.2358,194.2731,278337.8696
2024-04-23,194.2505,212.9854,194.2505,206.3802,492991.531
2024-04-24,206.6515,222.7512,184.2413,209.8993,504184.7299
2024-04-25,210.1243,211.1245,172.599,191.5024,468257.7715
2024-04-26,191.4784,192.3683,168.0466,173.4388,365797.8698
2024-04-27,173.3144,198.3488,164.4982,193.5586,452165.9132
2024-04-28,193.4122,200.6071,173.6569,178.9604,619436.3035
2024-04-29,178.9003,179.7473,119.4395,142.8709,809712.6172
2024-04-30,142.5974,145.3259,128.2487,135.4797,393213.9294
2024-05-01,135.8634,135.8919,114.1034,117.8197,414575.3157
2024-05-02,117.9161,118.1621,107.6205,114.8959,165655.0907
2024-05-03,114.9456,117.6352,108.6147,117.0831,181368.6947
2024-05-04,117.0349,117.7483,115.0973,115.7537,163238.3177
2024-05-05,115.7748,117.2317,111.7839,113.4051,338915.512
2024-05-06,113.3152,114.8529,103.1154,112.7675,194330.7993
2024-05-07,112.7138,113.8302,103.4821,104.3515,91300.5433
2024-05-08,104.1804,112.6349,102.316,106.105,73927.9294
2024-05-09,106.2368,108.0261,96.747,96.85,53161.5769
2024-05-10,96.9492,99.6466,86.4697,92.7827,64946.8894
2024-05-11,92.8335,100.0861,89.9429,90.0359,44817.3772
2024-05-12,90.0507,90.4435,80.7507,87.1848,75371.8222
2024-05-13,87.6454,88.6377,83.0035,84.0072,64191.7914
2024-05-14,83.9641,84.2239,78.7128,78.8506,30712.6097
2024-05-15,78.8528,80.1935,73.1565,75.5397,61236.3336
2024-05-16,75.6686,77.765,69.853,73.5856,52208.1128
2024-05-17,73.566,76.5657,72.4707,76.1134,74965.7527
2024-05-18,76.0921,77.6657,74.7347,74.8805,70139.5397
2024-05-19,75.0233,75.5405,62.3284,66.7747,70884.8903
2024-05-20,66.8875,81.1885,65.5543,81.0066,43509.4222
2024-05-21,80.7419,87.4927,80.3443,85.0125,15079.3742
2024-05-22,84.7565,86.1156,79.0584,80.0961,15812.9831
2024-05-23,80.1116,83.9625,77.7547,79.6053,3962.5592
2024-05-24,79.784,80.6145,70.2697,73.5018,40922.0809
2024-05-25,73.4867,85.6525,73.3268,77.1858,66148.4468
2024-05-26,77.2367,77.509,70.0488,75.0131,57088.8637
2024-05-27,75.0501,82.8976,74.5501,75.4467,274168.5111
2024-05-28,75.4476,75.7045,65.8794,70.14,4922771.336
2024-05-29,70.0118,71.086,59.8715,62.0743,6734079.0823
2024-05-30,61.9514,71.0045,59.7702,61.4849,925399.9173
2024-05-31,61.3352,62.2908,57.9412,58.1181,1867207.7737
2024-06-01,58.1159,61.868,57.8975,59.1264,1077569.6934
2024-06-02,59.1127,59.1206,55.5287,55.5316,129635.7908
2024-06-03,55.5805,57.1616,45.3908,49.4459,8846395.155
2024-06-04,50.3142,52.5501,45.1854,48.596,1211301.3134
2024-06-05,48.6158,48.6158,46.4278,46.4771,3387.0564
2024-06-06,46.493,47.0355,43.5936,43.8522,1461195.2847
2024-06-07,43.853,43.9382,40.1116,40.1336,147151.206
2024-06-08,40.0825,40.0825,34.9005,34.975,1390985.2665
2024-06-09,35.0224,36.7261,33.9446,34.1278,1204026.1411
2024-06-10,34.1081,34.1081,31.3296,32.0684,2185591.1989
2024-06-11,32.0081,34.0259,27.189,31.5557,2296454.903
2024-06-12,31.5387,33.3728,24.6478,29.5535,1572667.19
2024-06-13,29.4552,30.3989,26.7638,26.7638,1733967.6554
2024-06-14,26.7824,27.0284,23.6468,23.7801,516582.0683
2024-06-15,23.7601,25.1572,23.368,23.9699,292431.8217
2024-06-16,23.9437,24.3827,22.7058,24.2221,2931054.545
2024-06-17,24.1422,24.1422,11.5925,20.2598,3872744.9687
2024-06-18,20.252,20.5675,10.1755,17.0261,3706900.3616
2024-06-19,17.0187,17.194,7.1823,13.7751,3439449.7639
2024-06-20,13.7465,14.3471,11.6658,12.1844,2570205.1996
2024-06-21,12.1672,13.2723,5.3372,10.7306,3518901.5783
2024-06-22,10.7152,10.9255,8.7108,8.7108,4875033.3247
2024-06-23,8.6899,9.1008,6.8651,6.8651,5188204.9757
2024-06-24,6.8535,7.0077,4.5865,4.6364,28296.7684
2024-06-25,4.6353,5.0363,2.3088,2.3088,9119621.5553
2024-06-26,2.2993,2.2993,0.0106,0.0106,12382812.8436
2024-06-27,0.0,0.0,0.0,0.0,0.0
2024-06-28,0.0,0.0,0.0,0.0,0.0
2024-06-29,0.0,0.0,0.0,0.0,0.0
2024-06-30,0.0,0.0,0.0,0.0,0.0
2024-07-01,0.0,0.0,0.0,0.0,0.0
2024-07-02,0.0,0.0,0.0,0.0,0.0
2024-07-03,0.0,0.0,0.0,0.0,0.0
2024-07-04,0.0,0.0,0.0,0.0,0.0
2024-07-05,0.0,0.0,0.0,0.0,0.0
2024-07-06,0.0,0.0,0.0,0.0,0.0
2024-07-07,0.0,0.0,0.0,0.0,0.0
2024-07-08,0.0,0.0,0.0,0.0,0.0
2024-07-09,0.0,0.0,0.0,0.0,0.0
2024-07-10,0.0,0.0,0.0,0.0,0.0
2024-07-11,0.0,0.0,0.0,0.0,0.0
