timestamp,underlyingApy,impliedApy
2024-04-21,0.002400,0.399400
2024-04-22,0.005100,0.286300
2024-04-23,0.007100,0.300800
2024-04-24,0.007900,0.247900
2024-04-25,0.008400,0.244700
2024-04-26,0.008900,0.203200
2024-04-27,0.009400,0.193100
2024-04-28,0.008900,0.202700
2024-04-29,0.007000,0.189000
2024-04-30,0.005900,0.196300
2024-05-01,0.006000,0.190000
2024-05-02,0.006000,0.186900
2024-05-03,0.006400,0.181200
2024-05-04,0.007600,0.179800
2024-05-05,0.009800,0.174400
2024-05-06,0.012200,0.157400
2024-05-07,0.014500,0.161500
2024-05-08,0.017200,0.155900
2024-05-09,0.020700,0.151900
2024-05-10,0.024500,0.152300
2024-05-11,0.027200,0.154300
2024-05-12,0.028500,0.157600
2024-05-13,0.029900,0.153800
2024-05-14,0.031600,0.154600
2024-05-15,0.032700,0.155400
2024-05-16,0.032300,0.151100
2024-05-17,0.031300,0.150900
2024-05-18,0.030900,0.155600
2024-05-19,0.030700,0.151600
2024-05-20,0.029500,0.151100
2024-05-21,0.028500,0.170200
2024-05-22,0.029200,0.172900
2024-05-23,0.030800,0.165200
2024-05-24,0.032300,0.154300
2024-05-25,0.033300,0.151000
2024-05-26,0.034700,0.150000
2024-05-27,0.036600,0.131600
2024-05-28,0.037600,0.130500
2024-05-29,0.036100,0.134400
2024-05-30,0.033800,0.134100
2024-05-31,0.032000,0.137100
2024-06-01,0.030500,0.135800
2024-06-02,0.029600,0.137200
2024-06-03,0.029400,0.132700
2024-06-04,0.029700,0.131400
2024-06-05,0.030800,0.129800
2024-06-06,0.032200,0.113300
2024-06-07,0.032200,0.113900
2024-06-08,0.031200,0.116000
2024-06-09,0.028100,0.117000
2024-06-10,0.024000,0.116500
2024-06-11,0.019900,0.118100
2024-06-12,0.019100,0.118400
2024-06-13,0.019600,0.127200
2024-06-14,0.021300,0.135000
2024-06-15,0.023700,0.133500
2024-06-16,0.022100,0.136200
2024-06-17,0.021000,0.146800
2024-06-18,0.033400,0.135200
2024-06-19,0.029200,0.129600
2024-06-20,0.028900,0.125600
2024-06-21,0.025800,0.125600
2024-06-22,0.024400,0.116500
2024-06-23,0.028500,0.114900
2024-06-24,0.032900,0.110400
2024-06-25,0.024100,0.107400
2024-06-26,0.030100,0.102100
2024-06-27,0.031900,0.075400
2024-06-28,0.037200,0.079600
2024-06-29,0.039300,0.090700
2024-06-30,0.041300,0.079000
2024-07-01,0.042500,0.068000
2024-07-02,0.042700,0.088300
2024-07-03,0.041000,0.080800
2024-07-04,0.037700,0.066700
2024-07-05,0.034200,0.097500
2024-07-06,0.033000,0.080000
2024-07-07,0.031900,0.081200
2024-07-08,0.031300,0.080600
2024-07-09,0.031200,0.084600
2024-07-10,0.031500,0.084800
2024-07-11,0.031200,0.082300
2024-07-12,0.029300,0.096000
2024-07-13,0.025500,0.095800
2024-07-14,0.021900,0.092900
2024-07-15,0.020500,0.083400
2024-07-16,0.019300,0.082300
2024-07-17,0.018600,0.081200
2024-07-18,0.019000,0.089500
2024-07-19,0.020500,0.089500
2024-07-20,0.022700,0.085000
2024-07-21,0.023900,0.073300
2024-07-22,0.022300,0.100300
2024-07-23,0.022600,0.099000
2024-07-24,0.023000,0.103400
2024-07-25,0.023500,0.084200
2024-07-26,0.024300,0.080500
2024-07-27,0.025300,0.091300
2024-07-28,0.027200,0.088300
2024-07-29,0.028600,0.075100
2024-07-30,0.025900,0.077500
2024-07-31,0.023500,0.089700
2024-08-01,0.022300,0.091000
2024-08-02,0.021300,0.091100
2024-08-03,0.020300,0.088300
2024-08-04,0.019100,0.087900
2024-08-05,0.019100,0.086200
2024-08-06,0.021200,0.085500
2024-08-07,0.022100,0.072000
2024-08-08,0.021100,0.075600
2024-08-09,0.019700,0.075300
2024-08-10,0.019800,0.078400
2024-08-11,0.021800,0.070600
2024-08-12,0.024000,0.070000
2024-08-13,0.024000,0.071200
