time,open,high,low,close,volume
2024-04-21,2516.4956,2517.3743,2479.4754,2509.8348,0.0
2024-04-22,2503.004,2732.9088,2497.3353,2699.6841,603453.2556
2024-04-23,2697.8601,2761.4008,2593.1785,2680.3907,2356415.7466
2024-04-24,2674.0665,2734.5193,2372.455,2615.1272,1146829.9161
2024-04-25,2619.1637,2774.4247,2547.5163,2640.963,12852752.5003
2024-04-26,2639.7172,2719.2834,2611.7685,2689.0417,4505349.8224
2024-04-27,2691.4188,2829.4178,2644.0323,2809.1257,2090985.4071
2024-04-28,2822.4065,2928.478,2813.7107,2828.7311,1035367.4328
2024-04-29,2833.7945,2854.0516,2703.9401,2808.3632,1970740.9448
2024-04-30,2795.8116,2817.6241,2539.5324,2589.8212,1547900.3525
2024-05-01,2601.6288,2607.9592,2437.887,2577.7945,572748.5583
2024-05-02,2582.5325,2642.0903,2514.2997,2612.9629,543333.5304
2024-05-03,2617.0502,2734.5717,2597.4001,2731.0448,1264033.7819
2024-05-04,2723.7485,2761.6887,2701.9088,2727.0403,809702.9235
2024-05-05,2736.0402,2788.6323,2701.2258,2764.1804,630156.7878
2024-05-06,2770.7262,2851.2103,2733.1514,2734.6777,1329806.8665
2024-05-07,2734.3053,2765.3652,2677.3696,2677.3833,286440.3959
2024-05-08,2667.7105,2686.6653,2615.7276,2637.5037,775826.7222
2024-05-09,2644.5022,2720.3719,2633.4548,2706.3272,321978.968
2024-05-10,2704.0894,2720.121,2574.6975,2590.8789,137845.181
2024-05-11,2596.7381,2620.6761,2575.8596,2593.3109,123949.0733
2024-05-12,2587.2581,2630.4081,2587.2581,2604.4561,510452.5868
2024-05-13,2603.3633,2663.0897,2551.9496,2624.0752,321029.9855
2024-05-14,2630.2506,2636.6577,2564.2627,2575.8664,310033.219
2024-05-15,2568.8752,2707.8734,2556.0579,2707.8734,193273.928
2024-05-16,2701.0077,2710.5324,2612.4149,2625.1372,249501.5901
2024-05-17,2631.9851,2783.2023,2621.1697,2764.3428,208748.6635
2024-05-18,2765.2823,2810.9803,2765.0116,2782.0228,320025.7325
2024-05-19,2786.2441,2801.4566,2731.4171,2762.4967,934588.2917
2024-05-20,2759.3059,3293.6033,2738.1132,3293.6033,473111.0882
2024-05-21,3268.9382,3386.3188,3238.8156,3373.6249,4559883.9921
2024-05-22,3356.3933,3363.3792,3229.461,3314.3481,672435.1878
2024-05-23,3311.3395,3500.5427,3269.7774,3351.4668,666648.4964
2024-05-24,3348.6519,3395.2464,3242.6537,3333.7691,882945.164
2024-05-25,3328.214,3376.4505,3315.1429,3343.769,205327.7991
2024-05-26,3355.3391,3479.4397,3344.7268,3432.3507,497293.5322
2024-05-27,3438.9723,3625.9246,3438.9723,3547.2237,3132608.948
2024-05-28,3556.3407,3588.1363,3442.0574,3523.8334,108444.7577
2024-05-29,3506.4634,3531.6163,3411.8667,3438.3097,898650.6576
2024-05-30,3427.5727,3468.5576,3373.4992,3407.8953,394499.5072
2024-05-31,3410.2001,3483.5604,3382.3618,3402.5943,227772.2889
2024-06-01,3415.1653,3465.2037,3412.4089,3465.2011,314548.3807
2024-06-02,3458.7697,3475.9569,3404.0466,3429.0733,222494.8088
2024-06-03,3433.6197,3480.7056,3415.7041,3434.149,298857.8321
2024-06-04,3428.1647,3488.0768,3410.5244,3477.1054,389548.238
2024-06-05,3471.7982,3532.125,3452.6582,3510.4983,191676.1801
2024-06-06,3527.8725,3534.073,3458.7275,3518.3164,1154842.1183
2024-06-07,3524.1323,3538.335,3355.4673,3404.0178,47308.7411
2024-06-08,3392.7831,3423.2539,3387.2012,3403.2349,143254.5485
2024-06-09,3408.4959,3451.0492,3405.6993,3440.2824,75650.3499
2024-06-10,3439.5458,3450.3159,3383.4289,3421.4362,34704.6765
