time,open,high,low,close,volume
2024-06-24,3313.6684,3313.6684,3159.3287,3249.5499,0.0
2024-06-25,3254.218,3329.9906,3229.6862,3311.4308,197988.9062
2024-06-26,3303.1384,3319.1611,3253.6889,3294.6517,140172.1782
2024-06-27,3282.1201,3392.3292,3281.0314,3384.9428,2565517.1052
2024-06-28,3382.8645,3412.8418,3306.0671,3308.0748,1250109.597
2024-06-29,3313.0877,3340.5219,3309.1202,3309.7402,917239.9168
2024-06-30,3311.6883,3385.9735,3294.5114,3385.2907,1903237.8102
2024-07-01,3376.9812,3452.4255,3376.9673,3387.3193,1695058.479
2024-07-02,3391.0307,3401.0568,3349.4045,3362.0063,1341134.5975
2024-07-03,3361.5438,3367.0509,3209.1996,3244.9247,332523.0312
2024-07-04,3241.5157,3249.8728,3030.7276,3030.7276,450875.499
2024-07-05,3006.2871,3054.5317,2781.0092,2949.4843,169680.2576
2024-07-06,2942.1853,3047.3295,2926.443,3033.3036,560224.5773
2024-07-07,3034.0645,3034.0778,2888.4591,2888.4613,378262.1014
2024-07-08,2890.1678,3049.5684,2797.5611,2988.8819,191304.9566
2024-07-09,2982.8458,3067.1418,2979.6732,3037.4118,250125.7658
2024-07-10,3034.6677,3111.0308,3001.3443,3070.2931,93509.952
2024-07-11,3070.3732,3162.0635,3025.884,3068.2544,188836.7621
2024-07-12,3068.9816,3118.9349,3019.293,3093.9497,182375.4189
2024-07-13,3102.0278,3154.5305,3083.4843,3154.5305,164972.3978
2024-07-14,3141.8024,3232.1317,3136.6721,3232.1317,1160.7897
2024-07-15,3220.2951,3459.2795,3203.0699,3459.2795,356337.6713
2024-07-16,3455.7844,3455.8009,3329.0461,3416.3208,25446.4306
2024-07-17,3414.5659,3479.0615,3359.3174,3362.2405,7579.7877
2024-07-18,3356.8533,3458.4124,3356.8533,3399.3204,25329.2017
2024-07-19,3395.5246,3493.162,3355.7508,3477.7523,15329.8176
2024-07-20,3474.1751,3511.085,3452.6381,3487.2179,638875.7314
2024-07-21,3497.461,3512.3035,3401.7971,3509.0182,473002.4137
2024-07-22,3510.5142,3527.7788,3409.4387,3409.4433,253620.3636
2024-07-23,3419.1297,3501.0355,3384.4037,3461.0455,350893.4038
2024-07-24,3456.5557,3456.582,3294.3826,3302.9903,262105.4786
2024-07-25,3311.5881,3311.6064,3069.6835,3142.2502,175954.3472
2024-07-26,3148.4534,3261.9542,3147.8068,3261.9542,706585.5048
2024-07-27,3258.9028,3306.508,3199.7683,3240.687,44160.9667
2024-07-28,3236.4116,3257.8711,3193.9269,3254.4907,61680.1756
2024-07-29,3254.1621,3367.9729,3247.8213,3312.5165,24667.6644
2024-07-30,3299.7301,3335.3288,3220.9992,3258.3596,23261.1188
2024-07-31,3260.1381,3315.7203,3195.931,3208.4706,64914.8203
2024-08-01,3213.8633,3213.8909,3071.4285,3194.6473,30921.0365
2024-08-02,3187.8056,3187.8251,2942.2037,2966.522,7899200.6482
2024-08-03,2959.2876,2988.5824,2843.3647,2888.8538,1224415.9107
2024-08-04,2885.1977,2900.1747,2666.8989,2674.4529,427381.6997
2024-08-05,2663.8148,2668.6474,2156.6201,2414.6169,1174981.6322
2024-08-06,2403.829,2532.2593,2403.829,2432.1,77490.692
2024-08-07,2438.932,2526.47,2297.7417,2324.4437,6398.9379
2024-08-08,2320.3877,2690.828,2308.9605,2662.2487,78550.5902
2024-08-09,2663.9775,2677.9058,2549.8536,2570.1146,214633.177
2024-08-10,2583.0255,2624.7665,2571.5468,2594.6364,150465.4809
2024-08-11,2595.2339,2689.8987,2530.6976,2544.5298,8170.1781
2024-08-12,2543.0561,2732.7258,2509.8899,2717.2535,33787.0242
2024-08-13,2712.2637,2721.4178,2614.8109,2649.089,2731.5618
