Date,Open,High,Low,Close,Adj Close,Volume
2024-02-09,2338.574951,2471.930664,2256.904785,2406.005127,2406.005127,154717
2024-02-10,2406.005127,2414.920654,2282.050293,2395.319092,2395.319092,181741
2024-02-11,2395.319092,2420.115723,2353.714355,2353.714355,2353.714355,88855
2024-02-12,2353.714355,2543.089600,2305.584717,2543.089600,2543.089600,1186330
2024-02-13,2543.089600,2628.577637,2516.729980,2540.124756,2540.124756,454961
2024-02-14,2540.124756,2706.336426,2529.347168,2676.845947,2676.845947,833514
2024-02-15,2676.845947,2748.842285,2676.845947,2698.400635,2698.400635,500078
2024-02-16,2698.400635,2745.320801,2680.929443,2715.185791,2715.185791,858160
2024-02-17,2715.185791,2715.185791,2623.646729,2672.572510,2672.572510,1083048
2024-02-18,2672.572510,2728.217041,2545.010742,2714.169922,2714.169922,566234
2024-02-19,2714.169922,2870.351807,2700.833252,2798.359375,2798.359375,2836223
2024-02-20,2798.359375,2874.234619,2759.507568,2873.534424,2873.534424,2493519
2024-02-21,2873.534424,2876.536133,2760.029785,2833.149902,2833.149902,2407865
2024-02-22,2833.149902,2877.357666,2743.611816,2822.406494,2822.406494,3854471
2024-02-23,2822.406494,2859.906250,2798.319092,2809.285156,2809.285156,1315513
2024-02-24,2809.285156,2875.700439,2794.482178,2871.779053,2871.779053,1231258
2024-02-25,2871.779053,2969.292969,2867.486328,2968.292725,2968.292725,2556292
2024-02-26,2968.292725,3096.190674,2945.202393,3070.312744,3070.312744,14182472
2024-02-27,3070.312744,3416.761719,3062.820557,3180.602783,3180.602783,13595748
2024-02-28,3180.602783,3350.416504,3146.561523,3244.135010,3244.135010,5100685
2024-02-29,3244.135010,3397.278076,3223.607422,3233.390625,3233.390625,5936177
2024-03-01,3233.390625,3312.686768,3230.014648,3273.675293,3273.675293,2098916
2024-03-02,3273.675293,3316.666016,3256.846680,3286.711670,3286.711670,3860317
2024-03-03,3286.711670,3342.970215,3270.551758,3339.577393,3339.577393,2016645
2024-03-04,3339.577393,3473.522461,3339.577393,3472.445313,3472.445313,2336274
