time,open,high,low,close,volume
2024-02-26,235.3931,235.3931,235.3931,235.3931,0.0
2024-02-27,241.8439,311.7007,199.753,264.7557,59315.9459
2024-02-28,264.16,272.8704,197.0604,241.1792,106284.4563
2024-02-29,241.4628,270.3196,228.437,230.9888,176094.9224
2024-03-01,231.1348,232.976,213.4015,213.8806,40702.7152
2024-03-02,213.8856,231.3359,208.4903,221.4859,46391.4576
2024-03-03,222.2652,223.7744,209.9893,214.7693,23806.2723
2024-03-04,215.9151,218.2041,207.8349,215.216,3804.1493
2024-03-05,215.5215,216.3383,188.8083,200.9179,50128.6666
2024-03-06,200.3455,224.8757,198.6338,219.2468,6269.4665
2024-03-07,219.5779,220.946,204.7496,208.8285,5578.3729
2024-03-08,209.3435,213.1297,202.7133,204.3498,14585.9511
2024-03-09,203.9206,203.9206,186.0128,186.7074,30308.0483
2024-03-10,187.0402,188.6787,168.3124,169.8554,12992.3615
2024-03-11,170.5698,178.7307,166.7618,177.9839,8732.181
2024-03-12,177.9783,183.7474,161.0798,182.0094,34927.4615
2024-03-13,182.2597,193.1203,173.8144,176.4268,26133.1287
2024-03-14,176.7027,182.0187,171.4795,175.2484,12135.0737
2024-03-15,175.5037,177.0737,157.7563,162.3059,24540.1414
2024-03-16,162.4993,196.7464,161.5902,190.0734,132068.793
2024-03-17,190.2118,223.4302,190.087,221.3563,132554.6533
2024-03-18,222.1163,249.5938,217.302,248.7422,248474.992
2024-03-19,248.0252,249.6762,207.1789,216.6221,151539.8692
2024-03-20,215.7723,283.9296,215.6588,283.8425,236980.4734
2024-03-21,280.9522,305.8029,276.1849,278.5043,229558.8247
2024-03-22,278.3196,280.4137,259.0835,262.881,179281.9196
2024-03-23,263.4813,284.9391,260.6011,272.9007,161572.5061
2024-03-24,272.7945,282.4692,259.3197,261.9387,168358.2814
2024-03-25,261.7984,311.7418,260.4256,306.7086,375255.7283
2024-03-26,306.5352,309.5096,270.0695,278.0038,104064.2643
2024-03-27,277.4803,291.9334,271.2336,290.4771,272955.2448
2024-03-28,291.8441,328.7626,290.8996,328.6551,185866.837
2024-03-29,328.0959,347.3379,310.5058,340.1225,379051.8535
2024-03-30,339.5848,341.6843,319.6364,324.2254,313075.7714
2024-03-31,324.5481,331.0751,280.2614,312.6318,281853.4962
2024-04-01,312.431,312.4662,267.9513,283.6879,129547.3762
2024-04-02,283.7739,284.6724,255.2087,263.968,132717.9408
2024-04-03,263.1688,296.6835,246.2425,262.0884,570275.6341
2024-04-04,261.9376,279.1519,254.5029,263.7533,566393.9917
2024-04-05,263.6265,292.5094,253.026,292.3993,613315.2655
2024-04-06,292.4332,294.6678,287.1011,291.3817,140390.8398
2024-04-07,289.6935,310.387,289.6399,310.367,214322.0866
2024-04-08,311.2226,336.9721,286.3093,335.0579,325032.707
2024-04-09,334.1888,347.1383,283.5296,307.7396,567315.4407
2024-04-10,308.2682,321.4611,293.8863,319.28,254793.2352
2024-04-11,319.1119,341.2115,318.9321,329.0773,260975.8494
2024-04-12,329.1313,333.36,294.0241,299.3244,119244.4038
2024-04-13,300.1571,304.9934,249.6407,263.7144,126462.0273
2024-04-14,262.2785,267.1987,237.2947,253.2357,448446.9407
