time,open,high,low,close,volume
2024-05-20,303.8714,359.4343,301.9038,359.4065,0.0
2024-05-21,356.6256,369.2073,353.0751,368.5811,0.0
2024-05-22,366.6652,366.9278,349.011,356.9995,0.0
2024-05-23,356.6649,374.5256,256.8284,256.8284,456.4449
2024-05-24,256.6091,261.0482,192.2523,215.4873,4575.7113
2024-05-25,215.1223,235.2706,213.379,213.5509,3607.1275
2024-05-26,214.2838,238.8436,197.3551,226.8618,11560.5009
2024-05-27,227.2928,236.8256,223.0567,231.2512,2568.892
2024-05-28,231.9441,236.5444,213.3474,213.3474,17537.5045
2024-05-29,212.228,236.7601,209.9394,235.8706,53376.9627
2024-05-30,235.1286,248.5775,233.8922,238.3549,1782.1137
2024-05-31,238.5083,250.8428,232.515,232.515,70704.5164
2024-06-01,233.3575,265.2217,198.2678,219.7811,83896.7811
2024-06-02,219.3753,247.4076,182.133,193.8334,186728.8593
2024-06-03,197.2841,219.2147,193.8888,213.468,93481.3808
2024-06-04,213.095,215.756,203.2951,209.9257,17799.179
2024-06-05,209.5988,214.6427,208.5369,210.6983,4454.699
2024-06-06,211.7345,211.7345,195.8617,196.6493,974400.8929
2024-06-07,196.9681,202.2413,191.4003,193.7903,5014.2643
2024-06-08,193.1444,195.5043,180.9949,181.2183,37522.2053
2024-06-09,181.4928,182.6984,176.4123,180.063,9235.5312
2024-06-10,180.0186,185.5165,166.4914,170.0294,120116.8563
2024-06-11,169.7412,170.6371,138.7952,152.0667,50972.1546
2024-06-12,152.015,153.1188,138.9167,144.0265,86372.3586
2024-06-13,143.5769,165.4866,131.5463,135.7929,163077.995
2024-06-14,135.9179,140.8334,132.0268,136.2054,3072.8879
2024-06-15,136.1252,149.9201,136.0382,149.9051,9829.9524
2024-06-16,149.787,150.6002,126.8892,138.2629,47553.7113
2024-06-17,137.8489,141.729,134.4018,138.8954,6629.7631
2024-06-18,138.8906,141.8427,131.1838,136.8638,69860.1921
2024-06-19,136.8602,141.6231,122.7114,128.3302,141093.7964
2024-06-20,128.1227,132.4006,125.9021,131.4807,7894.1968
2024-06-21,117.782,123.1489,104.7774,122.4439,57361.1355
2024-06-22,122.283,127.9803,115.3627,127.9713,14342.1271
2024-06-23,127.762,128.1292,107.5284,107.7162,6434.6209
2024-06-24,107.6115,107.9282,94.4004,96.792,818363.3207
2024-06-25,97.0944,97.0944,86.7585,92.8396,136661.5487
2024-06-26,92.6723,96.9979,86.7386,87.7815,146753.0104
2024-06-27,87.4442,87.4442,37.6206,74.2192,5579499.8234
2024-06-28,74.1728,77.5049,67.2259,67.419,6763666.8856
2024-06-29,67.5197,71.8445,55.7853,60.5029,1853884.0071
2024-06-30,60.5376,61.3994,55.35,59.1489,282810.7378
2024-07-01,58.9307,59.9247,51.5054,52.2783,903862.6047
2024-07-02,52.3344,64.6831,52.026,62.5247,1001643.6652
2024-07-03,62.5144,64.1211,61.5227,63.0215,2078942.1164
2024-07-04,62.9534,63.0467,57.2067,57.3953,1359527.0136
2024-07-05,56.9301,60.7031,53.7878,54.3537,810664.1435
2024-07-06,54.2061,55.8744,52.464,55.1324,20625.873
2024-07-07,55.144,55.2438,51.6984,52.0673,471989.7536
2024-07-08,52.0958,58.8054,52.0958,53.9572,1067409.6841
2024-07-09,53.8459,55.1672,53.3284,54.726,71306.7951
2024-07-10,54.6568,57.7177,54.1745,54.8573,320867.6623
2024-07-11,54.8524,57.3703,54.0688,55.3699,84624.699
2024-07-12,55.3803,55.5468,53.1843,53.9616,813718.7316
2024-07-13,54.1,55.1133,53.2177,54.0706,355804.391
2024-07-14,53.8502,54.9051,53.6543,54.89,3036.7291
2024-07-15,54.6863,56.7415,53.9695,56.5833,43999.9007
2024-07-16,56.5232,56.5919,54.6755,55.1299,39919.7419
2024-07-17,55.0989,56.1662,53.8548,56.0641,746138.2363
2024-07-18,55.9715,58.6834,54.4219,56.4203,407212.3256
2024-07-19,56.3545,57.4325,55.5737,56.6754,2068.2369
2024-07-20,56.6144,58.5967,56.2982,56.9546,159487.7426
2024-07-21,57.126,58.0906,55.3358,55.819,488070.1704
2024-07-22,55.8404,56.3664,50.3165,50.3543,719735.668
2024-07-23,50.4946,53.1698,49.4869,49.7775,441542.2089
2024-07-24,49.7108,53.7258,49.2739,49.3613,337394.5439
2024-07-25,49.4866,53.4326,47.3492,51.1806,242463.107
2024-07-26,51.2785,52.6754,43.8908,44.7025,539257.0586
2024-07-27,44.8326,47.1764,42.1446,45.0394,734141.5929
2024-07-28,44.9787,44.9787,36.8897,42.1088,1058733.1908
2024-07-29,42.1002,43.7172,40.8066,41.284,373396.4063
2024-07-30,41.1222,41.764,39.7014,40.5201,30744.0349
2024-07-31,40.5666,42.1558,37.3811,38.4952,2947771.964
2024-08-01,38.5575,38.7023,36.6249,36.8337,506.7693
2024-08-02,36.7294,38.0937,35.7054,35.8997,15040.5947
2024-08-03,35.7991,37.389,34.0459,34.4839,389971.8744
2024-08-04,34.4346,39.1215,32.5258,36.7502,1840834.7235
2024-08-05,36.6038,41.8415,27.2363,31.3571,723153.5336
2024-08-06,31.2194,32.7351,31.1791,31.5853,145512.9117
2024-08-07,31.6718,32.5482,26.9618,27.1261,668247.0881
2024-08-08,27.0767,38.9214,26.9313,38.2636,657807.1362
2024-08-09,38.2857,38.2961,31.7162,31.855,1787126.9548
2024-08-10,32.0016,32.2101,28.9926,29.6813,1567391.3317
2024-08-11,29.6709,30.7961,27.0561,29.023,1578136.1532
2024-08-12,29.004,30.3587,27.9834,30.1852,52759.9918
2024-08-13,30.1383,30.2047,27.4629,27.6783,14213759.1439
