Date,TVL,,,
01/02/2024,90616574.19139038,,,
02/02/2024,146537779.29929984,,,
03/02/2024,286325842.87847203,,,
04/02/2024,323467555.6438629,,,
05/02/2024,366429039.3111611,,,
06/02/2024,448677999.93938667,,,
07/02/2024,514655142.3372873,,,
08/02/2024,578399828.3739941,,,
09/02/2024,780897659.3930523,,,
10/02/2024,853256000.9405155,,,
11/02/2024,858043724.3107963,,,
12/02/2024,862565512.0389378,,,
13/02/2024,914800799.8281947,,,
14/02/2024,911111512.8409078,,,
15/02/2024,959627611.2576565,,,
16/02/2024,976726945.715051,,,
17/02/2024,970669587.7502348,,,
18/02/2024,966819840.6711761,,,
19/02/2024,999227808.1477623,,,
20/02/2024,1029776579.8647985,,,
21/02/2024,1055150147.3870846,,,
22/02/2024,1039820087.46216,,,
23/02/2024,1054481187.6567799,,,
24/02/2024,1037494567.2720616,,,
25/02/2024,1060718416.8007153,,,
26/02/2024,1108727983.3647428,,,
27/02/2024,1132594704.3682933,,,
28/02/2024,1162699093.428346,,,
29/02/2024,1225439484.646065,,,
01/03/2024,1209498718.2857645,,,
02/03/2024,1241449765.799974,,,
03/03/2024,1231841860.5103757,,,
04/03/2024,1287847528.4347754,,,
05/03/2024,1322246741.5880015,,,
06/03/2024,1312952777.9968133,,,
07/03/2024,1398213328.2406282,,,
08/03/2024,1420087019.9910865,,,
09/03/2024,1429260631.5629065,,,
10/03/2024,1437172322.1267016,,,
11/03/2024,1426224591.5552528,,,
12/03/2024,1493395047.984264,,,
13/03/2024,1460926271.826594,,,
14/03/2024,1470369985.4166648,,,
15/03/2024,1441929975.485606,,,
16/03/2024,1384136301.7219687,,,
17/03/2024,1305891861.6064696,,,
18/03/2024,1333054112.3356302,,,
19/03/2024,1302066314.0185697,,,
20/03/2024,1179683146.233773,,,
21/03/2024,1299984383.2778778,,,
22/03/2024,1299821954.4232724,,,
23/03/2024,1234923492.0572317,,,
24/03/2024,1246484054.8164163,,,
25/03/2024,1278305235.3172224,,,
26/03/2024,1343745442.8698885,,,
27/03/2024,1341732197.7605703,,,
28/03/2024,1305259538.4107642,,,
29/03/2024,1331516570.8138711,,,
30/03/2024,1312980770.0234342,,,
31/03/2024,1311054384.7377234,,,
01/04/2024,1357731119.8879354,,,
02/04/2024,1311225061.1323206,,,
03/04/2024,1227028480.7229478,,,
04/04/2024,1245504155.2585793,,,
05/04/2024,1246955370.0778046,,,
06/04/2024,1250273105.055961,,,
07/04/2024,1267942307.9163427,,,
08/04/2024,1289947530.7349737,,,
09/04/2024,1395092186.7627685,,,
10/04/2024,1326938833.8403053,,,
11/04/2024,1344444104.3934364,,,
12/04/2024,1330826924.8979602,,,
13/04/2024,1221704948.3785262,,,
14/04/2024,1112813484.3481243,,,
15/04/2024,1197608934.5328333,,,
16/04/2024,1190730195.9638662,,,
17/04/2024,1188795804.370022,,,
18/04/2024,1173950223.7015839,,,
19/04/2024,1218436624.15714,,,
20/04/2024,1246943282.531211,,,
21/04/2024,1291641535.6198146,,,
22/04/2024,1301719956.004727,,,
23/04/2024,1326181885.0674598,,,
24/04/2024,1336591500.5680141,,,
25/04/2024,1313379610.557272,,,
26/04/2024,1329276237.1621716,,,
27/04/2024,1328505411.9672678,,,
28/04/2024,1374763865.7597136,,,
29/04/2024,1415900081.0080535,,,
30/04/2024,1400952945.9237263,,,
01/05/2024,1323100900.4790044,,,
02/05/2024,1303498416.9092152,,,
03/05/2024,1323501094.360772,,,
04/05/2024,1376884686.719703,,,
05/05/2024,1385051782.6671445,,,
06/05/2024,1396499935.3116362,,,
07/05/2024,1395391748.6440017,,,
08/05/2024,1388617518.7193985,,,
09/05/2024,1358647836.146028,,,
10/05/2024,1383727732.3707702,,,
11/05/2024,1330570520.1463897,,,
12/05/2024,1341849819.7591722,,,
13/05/2024,1347394974.4252,,,
14/05/2024,1358865190.7710671,,,
15/05/2024,1333956641.31602,,,
16/05/2024,1393341523.6826239,,,
17/05/2024,1358362052.8345008,,,
18/05/2024,1434618843.0910833,,,
19/05/2024,1448697128.378186,,,
20/05/2024,1431062213.3656049,,,
21/05/2024,1699074835.1590216,,,
22/05/2024,1763291658.2562065,,,
23/05/2024,1768884397.8439827,,,
24/05/2024,1792449326.56325,,,
25/05/2024,1760620062.082039,,,
26/05/2024,1762912573.4118197,,,
27/05/2024,1817299768.3079183,,,
28/05/2024,1840089686.3002932,,,
29/05/2024,1816150946.6171453,,,
30/05/2024,1785845115.0743887,,,
31/05/2024,1774459041.428834,,,
01/06/2024,1798922428.052932,,,
02/06/2024,1821633203.4939582,,,
03/06/2024,1809817218.0412838,,,
04/06/2024,1800892408.3074498,,,
05/06/2024,1826924875.4392664,,,
06/06/2024,1842387433.1151092,,,
07/06/2024,1821772018.8448932,,,
08/06/2024,1767988798.0284448,,,
09/06/2024,1756991241.6295912,,,
10/06/2024,1780950453.3917606,,,
11/06/2024,1765918532.9682035,,,
12/06/2024,1683201346.981039,,,
13/06/2024,1717995688.177195,,,
14/06/2024,1676399585.1887653,,,
15/06/2024,1677335838.3816347,,,
16/06/2024,1733956859.854574,,,
17/06/2024,1753255091.9514709,,,
18/06/2024,1718977973.311635,,,
19/06/2024,1696353458.098294,,,
20/06/2024,1735996927.438917,,,
21/06/2024,1720681136.0768332,,,
22/06/2024,1722428610.8189948,,,
23/06/2024,1715034344.031521,,,
24/06/2024,1676692359.1187842,,,
25/06/2024,1640776219.16412,,,
26/06/2024,1673051176.9724195,,,
