Date,Open,High,Low,Close,Adj Close,Volume
2024-01-31,2314.803955,2348.567627,2274.938232,2286.626953,2286.626953,1399686
2024-02-01,2286.626953,2306.854492,2260.874268,2291.320313,2291.320313,1081042
2024-02-02,2291.320313,2318.059326,2286.110596,2311.811768,2311.811768,2241643
2024-02-03,2311.811768,2327.905762,2303.826660,2303.843262,2303.843262,792702
2024-02-04,2302.111572,2310.691895,2280.915039,2289.945068,2289.945068,1250510
2024-02-05,2289.945068,2339.018555,2282.281006,2302.218262,2302.218262,3212987
2024-02-06,2302.218262,2396.427002,2302.037598,2388.111084,2388.111084,898238
2024-02-07,2388.111084,2437.707764,2369.265137,2437.134766,2437.134766,762280
2024-02-08,2437.134766,2452.998047,2420.085449,2423.272217,2423.272217,2905959
2024-02-09,2423.272217,2520.161621,2417.868652,2498.166504,2498.166504,2172154
2024-02-10,2498.166504,2514.625732,2489.369385,2500.860107,2500.860107,903270
2024-02-11,2500.860107,2529.849121,2500.579102,2512.781006,2512.781006,1562958
2024-02-12,2512.781006,2661.262695,2488.272949,2656.735352,2656.735352,1063984
2024-02-13,2656.735352,2681.273193,2631.781738,2646.005371,2646.005371,601403
2024-02-14,2646.005371,2785.188965,2637.027344,2785.188965,2785.188965,3151682
2024-02-15,2785.188965,2866.503662,2783.712158,2839.907959,2839.907959,10820189
2024-02-16,2839.907959,2873.342041,2780.864746,2807.747070,2807.747070,6717240
2024-02-17,2807.747070,2823.256348,2762.313721,2780.012207,2780.012207,5265837
2024-02-18,2780.012207,2890.395996,2780.010010,2885.971924,2885.971924,383223
2024-02-19,2885.971924,2982.235840,2871.544189,2974.498291,2974.498291,1406088
2024-02-20,2974.498291,3010.538818,2920.745850,3009.239502,3009.239502,961856
2024-02-21,3009.239502,3017.347412,2907.608154,2944.981934,2944.981934,3663143
2024-02-22,2944.981934,3017.730713,2940.098877,2993.215820,2993.215820,3293086
2024-02-23,2993.215820,3001.899414,2914.998291,2941.986572,2941.986572,3666001
