Date,TVL,,,
21/12/2023,100023246.6197406,,,
22/12/2023,103654760.69790961,,,
23/12/2023,115767481.01802163,,,
24/12/2023,123095989.14035492,,,
25/12/2023,123620456.61680976,,,
26/12/2023,125195712.1843507,,,
27/12/2023,125213014.29375896,,,
28/12/2023,138952727.4389952,,,
29/12/2023,135496698.9268999,,,
30/12/2023,136771851.66241044,,,
31/12/2023,138721778.4380099,,,
01/01/2024,140026102.39731362,,,
02/01/2024,147724461.06324446,,,
03/01/2024,148097617.5889525,,,
04/01/2024,139362899.63405323,,,
05/01/2024,143327790.04819876,,,
06/01/2024,142814705.80600512,,,
07/01/2024,142077131.80604973,,,
08/01/2024,141789944.4226559,,,
09/01/2024,149265788.0839637,,,
10/01/2024,154030475.53299925,,,
11/01/2024,167525563.23261172,,,
12/01/2024,169809285.2837376,,,
13/01/2024,165441424.59997737,,,
14/01/2024,169109161.60463667,,,
15/01/2024,167912497.47671992,,,
16/01/2024,166536211.42957845,,,
17/01/2024,172102392.52079535,,,
18/01/2024,169370083.58558443,,,
19/01/2024,166307433.86980817,,,
20/01/2024,177887854.5654186,,,
21/01/2024,182155431.8595475,,,
22/01/2024,184704837.69691408,,,
23/01/2024,179117528.10351366,,,
24/01/2024,178080929.4841435,,,
25/01/2024,182790486.12336835,,,
26/01/2024,202291814.90592736,,,
27/01/2024,216748730.32554054,,,
28/01/2024,233180505.49399528,,,
29/01/2024,239375280.56396228,,,
30/01/2024,255241655.55161712,,,
31/01/2024,264303223.3330989,,,
01/02/2024,265118878.65318695,,,
02/02/2024,276561246.29744864,,,
03/02/2024,285855719.97398806,,,
04/02/2024,291063684.5742784,,,
05/02/2024,296489806.20970625,,,
06/02/2024,306202317.03601646,,,
07/02/2024,329660191.7834713,,,
08/02/2024,343468928.1071904,,,
09/02/2024,364092106.22783065,,,
10/02/2024,391049253.60436594,,,
11/02/2024,392678627.6696217,,,
12/02/2024,399036774.0908134,,,
13/02/2024,424958080.4815557,,,
14/02/2024,428160084.50844884,,,
15/02/2024,452941287.4841399,,,
16/02/2024,467077422.0731361,,,
17/02/2024,467286878.92110175,,,
18/02/2024,469495799.7682961,,,
19/02/2024,484957817.7982575,,,
20/02/2024,503542496.7429589,,,
21/02/2024,517529997.94214225,,,
22/02/2024,520792599.13774735,,,
23/02/2024,524683945.9882575,,,
24/02/2024,521894190.1280093,,,
25/02/2024,538448439.3223845,,,
26/02/2024,566448680.7648335,,,
27/02/2024,578890614.2718632,,,
28/02/2024,600760845.3490851,,,
29/02/2024,633805193.3301837,,,
01/03/2024,627462531.9177138,,,
02/03/2024,641251218.0547636,,,
03/03/2024,639582840.7792398,,,
04/03/2024,659548445.4481629,,,
05/03/2024,677869677.3900023,,,
06/03/2024,669931443.2586236,,,
07/03/2024,713323120.5801743,,,
08/03/2024,723891412.8318758,,,
09/03/2024,733220750.5762416,,,
10/03/2024,735884130.2332702,,,
11/03/2024,732179181.2534883,,,
12/03/2024,765501666.3166305,,,
13/03/2024,751816659.2740933,,,
14/03/2024,756262228.3955114,,,
15/03/2024,744015841.7782564,,,
16/03/2024,715402037.4839298,,,
17/03/2024,671432910.0655398,,,
18/03/2024,685147468.177812,,,
19/03/2024,670341471.2159828,,,
20/03/2024,606560375.6723101,,,
21/03/2024,667860590.0516936,,,
22/03/2024,668973288.4559865,,,
23/03/2024,644492998.935268,,,
24/03/2024,653200291.5134064,,,
25/03/2024,668445984.8120356,,,
26/03/2024,708534480.9977801,,,
27/03/2024,706243464.819786,,,
28/03/2024,690635569.593456,,,
29/03/2024,709598869.7739779,,,
30/03/2024,723788301.0538712,,,
31/03/2024,744112662.452454,,,
01/04/2024,772716706.4216093,,,
02/04/2024,751879372.093327,,,
03/04/2024,710805355.8559328,,,
04/04/2024,721823284.2668976,,,
05/04/2024,731624293.8543762,,,
06/04/2024,738403939.3298061,,,
07/04/2024,755341481.4656502,,,
08/04/2024,774973918.1119044,,,
09/04/2024,847312682.744369,,,
10/04/2024,815980258.1892586,,,
11/04/2024,830392474.2769566,,,
12/04/2024,825238929.5490552,,,
13/04/2024,763760615.1570976,,,
14/04/2024,709827317.6769161,,,
15/04/2024,753220543.937943,,,
16/04/2024,745799448.1645597,,,
17/04/2024,747659944.2952232,,,
18/04/2024,730505044.6759992,,,
19/04/2024,749848290.621532,,,
20/04/2024,767447736.9898566,,,
21/04/2024,780807230.8894448,,,
22/04/2024,789921916.7186553,,,
23/04/2024,804385515.0321395,,,
24/04/2024,810798675.2519772,,,
25/04/2024,795241608.6390615,,,
26/04/2024,802840852.1703576,,,
27/04/2024,818718347.699616,,,
28/04/2024,845651840.7090099,,,
29/04/2024,862332666.6157334,,,
30/04/2024,829917880.8257058,,,
01/05/2024,785531221.7603784,,,
02/05/2024,781770160.7027771,,,
03/05/2024,789949812.0876818,,,
04/05/2024,821796019.697603,,,
05/05/2024,822290401.7091365,,,
06/05/2024,828283533.8174728,,,
07/05/2024,817080903.4721518,,,
08/05/2024,811187219.0377314,,,
09/05/2024,794787263.0854788,,,
10/05/2024,809107306.8719046,,,
11/05/2024,780244097.3112562,,,
12/05/2024,784288833.5497754,,,
13/05/2024,788851161.0865399,,,
14/05/2024,759060651.7334611,,,
15/05/2024,745593886.0706205,,,
16/05/2024,779209892.6548145,,,
17/05/2024,753548865.9561752,,,
18/05/2024,792943599.2928555,,,
19/05/2024,791439824.2719074,,,
20/05/2024,783148953.4992018,,,
21/05/2024,928505484.4824268,,,
22/05/2024,970206877.7475681,,,
23/05/2024,952250295.2570161,,,
24/05/2024,970631079.1062233,,,
25/05/2024,945730853.3754144,,,
26/05/2024,948475371.7381886,,,
27/05/2024,971121965.5877676,,,
28/05/2024,982887925.8613155,,,
29/05/2024,1174373334.9202995,,,
30/05/2024,1151905834.9271896,,,
31/05/2024,1143709890.4473014,,,
01/06/2024,1159848618.2621403,,,
02/06/2024,1145434779.4062543,,,
03/06/2024,1135404881.5699139,,,
04/06/2024,1131575355.6848469,,,
05/06/2024,1148887773.00127,,,
06/06/2024,1156950879.180922,,,
07/06/2024,1143203743.3901725,,,
08/06/2024,1112325611.0915775,,,
