time,open,high,low,close,volume
2024-01-22,2243.0207,2243.0207,2243.0207,2243.0207,0.0
2024-01-23,2143.2884,2154.1996,1989.9692,2056.6862,0.0
2024-01-24,2058.3938,2074.9263,1962.5599,1985.1736,339368.773
2024-01-25,1988.4018,2001.9785,1941.4977,1983.8059,8746445.2043
2024-01-26,1983.8099,2049.4107,1955.8342,2027.5146,14707545.1312
2024-01-27,2028.392,2041.9353,2020.0882,2028.4903,9395104.6048
2024-01-28,2028.8635,2056.4624,2005.4375,2016.0423,9286990.7027
2024-01-29,2014.7504,2071.9953,2000.7639,2071.9411,8992189.6686
2024-01-30,2071.942,2148.1103,2063.5024,2102.2608,11480053.1465
2024-01-31,2102.2608,2102.2982,2021.7633,2035.2301,15381127.3848
2024-02-01,2033.6071,2057.7454,2000.9859,2047.7396,12853955.7354
2024-02-02,2056.355,2066.9462,2028.1139,2037.6618,13455102.662
2024-02-03,2038.116,2055.983,2038.0573,2044.1969,6268122.0171
2024-02-04,2041.8523,2056.6843,2030.0225,2037.9464,6036700.1477
2024-02-05,2039.5097,2087.1514,2032.929,2063.5436,11871617.8662
2024-02-06,2070.0941,2159.8288,2070.0941,2151.8714,9888710.3832
2024-02-07,2144.2585,2210.2347,2133.0376,2198.7159,5416458.3636
2024-02-08,2198.1268,2225.5258,2193.4925,2196.6833,10192106.919
2024-02-09,2191.8471,2285.9045,2191.8471,2263.472,4098255.5722
2024-02-10,2257.0297,2280.5513,2246.752,2265.9429,3632529.0389
2024-02-11,2265.9461,2293.1986,2262.0464,2271.6321,3363245.8275
2024-02-12,2271.6378,2418.4382,2244.4747,2412.8877,2456343.7318
2024-02-13,2414.2821,2437.0584,2363.5228,2407.2927,7113393.9977
2024-02-14,2413.8785,2544.6658,2395.0944,2534.3868,9589209.0762
2024-02-15,2538.966,2602.967,2528.7946,2580.3357,8726133.6197
2024-02-16,2579.4989,2611.4664,2523.4864,2573.0043,5816295.7082
2024-02-17,2573.225,2573.2653,2507.6756,2563.6524,3855950.2882
2024-02-18,2563.6581,2653.4485,2546.7008,2639.8157,1154838.71
2024-02-19,2646.5688,2744.7521,2640.3509,2721.8689,1512919.5494
2024-02-20,2710.5786,2804.3045,2657.0786,2790.3747,9249305.2926
2024-02-21,2788.3971,2799.4019,2668.0805,2755.72,15004825.1552
2024-02-22,2752.016,2803.6685,2692.4255,2753.8419,4953513.1405
2024-02-23,2749.045,2769.1431,2684.123,2698.068,7291200.9632
2024-02-24,2701.3291,2752.2652,2685.2379,2739.668,9602388.0881
2024-02-25,2740.994,2858.4265,2740.9744,2855.25,1541880.8814
2024-02-26,2855.253,2931.99,2788.3698,2923.0327,1424725.2136
2024-02-27,2915.6331,3014.0057,2906.584,2981.6691,6138428.6827
2024-02-28,2975.1289,3190.6088,2966.5842,3106.6098,12184399.4819
2024-02-29,3110.2247,3219.4857,3036.5947,3070.7878,9847131.8328
2024-03-01,3072.8238,3165.3773,3072.8238,3160.5906,4915086.6542
2024-03-02,3160.8089,3179.5336,3134.7386,3163.5517,10553742.5434
2024-03-03,3174.7828,3232.7855,3137.9791,3221.9028,1488452.7465
2024-03-04,3239.1929,3354.3945,3200.4097,3348.3169,2142288.5586
2024-03-05,3356.5475,3485.4838,3136.9729,3296.5433,7907046.7733
2024-03-06,3272.2691,3576.3593,3235.7399,3503.4597,5201387.3561
2024-03-07,3507.4778,3581.1414,3469.5744,3527.7997,3735980.4804
2024-03-08,3526.9423,3675.295,3526.4202,3584.4189,1359012.6817
2024-03-09,3590.3561,3624.6013,3571.6397,3586.0479,985791.2181
2024-03-10,3587.8783,3652.3572,3527.7064,3553.6365,5680633.0352
2024-03-11,3572.8666,3766.5807,3513.1665,3755.3307,3991096.2839
2024-03-12,3755.1036,3768.9207,3590.5169,3659.8941,5007027.4532
2024-03-13,3660.0508,3773.7086,3645.3864,3681.9356,4897613.0681
2024-03-14,3669.6876,3701.1347,3448.6657,3568.0288,2505287.293
2024-03-15,3565.1153,3609.3786,3336.5844,3430.9889,3126720.175
2024-03-16,3448.2151,3459.2814,3235.6469,3238.2319,4330314.1074
2024-03-17,3238.6399,3383.0514,3173.7513,3376.1973,4543002.2112
2024-03-18,3369.7641,3426.217,3182.8211,3252.625,6117222.6678
2024-03-19,3252.4609,3269.0782,2909.4859,2927.6586,8629884.8278
2024-03-20,2916.6404,3269.4541,2834.8302,3269.0359,3734501.3536
2024-03-21,3255.7953,3324.0252,3172.9998,3234.2522,6843189.6241
2024-03-22,3232.2342,3269.2145,3034.5237,3079.4305,6858251.7029
2024-03-23,3079.4433,3173.8207,3041.6965,3121.8199,2656642.2125
2024-03-24,3104.3551,3171.4554,3058.505,3169.1044,4985714.6359
2024-03-25,3169.2722,3344.007,3145.9974,3295.3218,7295933.6937
2024-03-26,3295.2351,3381.3211,3278.7378,3321.4432,5974872.4627
2024-03-27,3315.322,3383.1275,3208.8105,3227.613,8444392.2201
2024-03-28,3241.4055,3326.0856,3209.2621,3287.0645,6796359.2972
2024-03-29,3281.5112,3296.6003,3145.1273,3177.3765,12856520.6703
2024-03-30,3172.3773,3224.7641,3154.81,3176.4892,3959194.1732
2024-03-31,3179.7847,3293.9471,3179.2123,3292.3244,3428152.8532
2024-04-01,3293.0997,3293.1254,3119.9673,3208.1313,10093721.5634
2024-04-02,3208.4264,3208.9336,2955.2835,3014.4759,3782142.8913
2024-04-03,3005.4747,3093.4768,2970.3831,3041.7349,4959358.1111
2024-04-04,3039.8386,3163.7712,2996.2284,3068.8366,9900609.0544
2024-04-05,3067.3892,3077.7311,2974.9867,3057.0274,4651349.641
2024-04-06,3057.406,3110.3251,3049.1051,3093.8982,5179937.7649
2024-04-07,3076.1083,3140.9,3074.9773,3140.8723,2782073.7314
2024-04-08,3149.368,3431.2519,3123.5282,3412.7142,5577919.0753
2024-04-09,3404.2283,3429.1376,3186.9611,3233.5403,4004090.1018
2024-04-10,3239.112,3289.6154,3168.5049,3279.483,3369530.7946
2024-04-11,3277.4493,3337.5195,3208.5684,3231.575,4093887.5894
2024-04-12,3232.5893,3275.4861,2968.7695,2997.303,4681648.1356
2024-04-13,3005.4771,3052.7967,2673.5111,2812.7712,2612029.5952
2024-04-14,2797.5638,2940.5883,2703.4693,2932.0561,1790978.7298
2024-04-15,2924.8491,3032.754,2836.5128,2892.4952,2355534.72
2024-04-16,2889.546,2922.6809,2807.6961,2900.5023,4433062.65
2024-04-17,2890.617,2927.3237,2756.7551,2806.3996,4244159.9422
2024-04-18,2801.0143,2904.9141,2782.6364,2883.4412,1767645.9669
2024-04-19,2881.0616,2924.6493,2703.0095,2867.5136,5456869.2256
2024-04-20,2879.4662,2971.8523,2851.3895,2971.469,1572233.8656
2024-04-21,2961.6424,3002.2502,2931.3745,2966.4084,1289643.0794
2024-04-22,2958.2549,3035.757,2952.833,3019.3467,2223898.3957
2024-04-23,3017.3085,3076.0955,2979.3722,3030.9218,2301705.1507
2024-04-24,3036.4722,3075.0981,2897.3428,2925.3979,2153355.0413
2024-04-25,2936.703,2966.8203,2861.4001,2935.6478,6156258.256
2024-04-26,2931.1571,2944.6727,2896.7491,2915.0696,5159142.1516
2024-04-27,2917.1528,3054.9024,2867.6227,3027.5763,1374504.0346
2024-04-28,3041.928,3142.4362,3036.3341,3062.9595,2218469.2982
2024-04-29,3068.2464,3096.3446,2942.9396,3056.1923,16906084.8835
2024-04-30,3038.7974,3069.3154,2771.4751,2831.4108,16492681.6597
2024-05-01,2844.7178,2844.7497,2659.7073,2807.3038,2855682.201
2024-05-02,2812.4786,2866.7459,2737.3761,2837.5354,2514585.0608
2024-05-03,2842.0219,2967.8007,2822.424,2964.2938,903652.8583
2024-05-04,2956.3769,3018.0369,2948.6952,2976.4681,1504314.3519
2024-05-05,2986.123,3028.3451,2946.5212,3002.4959,1899147.3212
2024-05-06,3009.5557,3074.6041,2933.9627,2946.1649,1884310.0985
2024-05-07,2945.7607,2998.2165,2906.7323,2906.7805,464948.7894
2024-05-08,2896.2817,2915.1114,2831.0183,2848.2728,983494.7377
2024-05-09,2858.0178,2939.2463,2842.0646,2926.9286,1102097.8491
2024-05-10,2924.5089,2934.6985,2780.6386,2796.8382,633883.4778
2024-05-11,2803.1652,2829.8991,2782.4078,2808.972,645520.6854
2024-05-12,2802.4064,2846.6549,2801.7488,2827.6897,1422329.4245
2024-05-13,2826.4898,2885.617,2765.4059,2848.095,1746307.493
2024-05-14,2854.8012,2857.8441,2784.0153,2799.5419,2036911.2824
2024-05-15,2791.9488,2941.2131,2775.9317,2941.2131,2393077.4327
2024-05-16,2949.8364,2949.9119,2843.3845,2856.1758,1738370.7682
2024-05-17,2863.5524,3028.6989,2852.4247,3011.4377,1959315.2307
2024-05-18,3012.463,3061.2418,3012.463,3037.5987,115384.925
2024-05-19,3042.2197,3053.9584,2979.2289,3009.377,4836769.3189
2024-05-20,3005.8874,3596.7671,2983.7401,3594.8458,853995.3722
2024-05-21,3567.1347,3729.1439,3553.9852,3720.2602,1906871.705
2024-05-22,3701.0634,3712.7025,3568.7545,3655.3457,1834661.9147
2024-05-23,3652.0273,3849.756,3594.2218,3686.3664,2199724.9521
2024-05-24,3683.2701,3734.4499,3557.341,3644.812,611761.7864
2024-05-25,3638.7681,3684.5541,3627.4931,3651.7257,422834.4732
2024-05-26,3664.3647,3781.3288,3650.2331,3732.0139,264768.3459
2024-05-27,3739.212,3878.2381,3739.212,3798.1126,687905.4677
2024-05-28,3809.6053,3837.8968,3699.8959,3779.4681,1729298.9581
2024-05-29,3759.8397,3789.9925,3671.5215,3696.035,725377.4596
2024-05-30,3675.9609,3733.3477,3636.8308,3668.9339,338740.5942
2024-05-31,3671.4173,3756.6731,3645.2683,3671.5977,1312662.9515
2024-06-01,3685.1636,3750.568,3682.2122,3750.568,2553169.5624
2024-06-02,3743.609,3760.6591,3688.8458,3714.1002,781450.7116
2024-06-03,3719.0286,3770.115,3699.6161,3727.2587,16552431.8423
2024-06-04,3720.759,3774.7676,3699.5686,3774.6295,7088876.9137
2024-06-05,3768.8691,3828.7483,3742.9268,3805.2535,349301.8529
2024-06-06,3824.0878,3824.0935,3731.7107,3766.3212,6952212.3987
2024-06-07,3772.5472,3794.9293,3647.7596,3652.0787,630249.4564
2024-06-08,3640.0132,3667.8318,3635.4378,3638.3317,264336.3301
2024-06-09,3643.9606,3681.8721,3630.408,3669.4974,986088.8734
2024-06-10,3668.5584,3672.5372,3611.2237,3634.6883,1303254.4924
2024-06-11,3628.6412,3628.6999,3398.1689,3460.3757,869469.7888
2024-06-12,3459.3164,3610.6412,3433.4045,3533.6679,1740393.3461
2024-06-13,3522.7498,3522.8137,3406.2196,3428.7252,1120493.3098
2024-06-14,3432.0232,3488.7826,3336.0573,3450.739,843695.4144
2024-06-15,3448.8257,3553.8246,3448.7867,3531.548,6626135.4482
2024-06-16,3528.897,3610.4584,3512.4071,3596.4506,434151.3181
2024-06-17,3585.8223,3586.0214,3461.8763,3475.5779,463308.5244
2024-06-18,3475.5839,3475.7172,3361.5318,3445.9104,2068790.7682
2024-06-19,3445.9163,3549.2223,3440.0252,3525.7125,7716894.807
2024-06-20,3520.1343,3573.4651,3459.5387,3483.9428,1140015.9216
2024-06-21,3480.8754,3503.0437,3431.347,3493.6979,1938049.2692
2024-06-22,3489.2106,3489.4713,3458.2121,3474.5371,494006.0951
2024-06-23,3468.9762,3490.2399,3389.5915,3394.8625,1992732.2379
2024-06-24,3391.6688,3394.7722,3235.7967,3325.476,1761688.1142
2024-06-25,3330.3926,3399.4412,3314.1503,3382.9332,426250.3524
2024-06-26,3376.9526,3392.8507,3313.273,3358.2,3561580.1471
2024-06-27,3345.428,3382.5299,3333.265,3369.383,0.0
