time,open,high,low,close,volume
2024-01-22,203.8493,203.8493,203.8493,203.8493,0.0
2024-01-23,193.4151,194.3259,179.0156,184.5273,0.0
2024-01-24,184.6762,247.9482,178.9188,247.0664,30900.8397
2024-01-25,247.4625,256.2227,229.6379,234.4141,503106.7499
2024-01-26,234.4101,242.2612,228.6835,240.522,874549.9216
2024-01-27,240.6181,242.3976,227.6626,238.6067,564535.8967
2024-01-28,238.5658,245.7912,236.9249,242.7077,578804.2603
2024-01-29,242.5453,250.1268,236.9216,243.2057,545294.1483
2024-01-30,243.2048,244.812,226.4748,243.3292,659296.4747
2024-01-31,243.3292,256.7278,240.1084,249.7132,1416353.4631
2024-02-01,249.5342,258.3143,245.4209,245.5333,847355.4111
2024-02-02,246.5601,269.4068,246.5458,269.1672,1285624.4408
2024-02-03,269.2204,271.4067,253.6578,253.6662,315958.5869
2024-02-04,253.371,256.1993,247.9163,249.0022,394531.5716
2024-02-05,249.1878,249.1998,227.5711,228.0961,677653.7753
2024-02-06,228.8142,231.6375,224.6813,229.2286,459045.326
2024-02-07,228.4196,229.9851,221.2916,226.3041,319245.7433
2024-02-08,226.2376,231.3233,220.5398,229.1667,653829.093
2024-02-09,228.2552,234.5049,227.7897,230.5314,175597.9237
2024-02-10,229.9303,236.0402,229.8693,234.9933,259147.6671
2024-02-11,234.9902,237.7581,233.3946,235.6719,184387.974
2024-02-12,235.6662,246.8691,231.4313,245.1123,167163.9799
2024-02-13,245.2473,246.6206,227.5064,229.0259,52628.1377
2024-02-14,229.767,243.7686,226.8023,238.5668,483229.131
2024-02-15,238.9913,251.6211,237.2306,244.0171,130494.3569
2024-02-16,243.9312,246.9732,229.333,230.5557,133555.039
2024-02-17,230.5691,230.8838,220.1613,224.0676,113022.7947
2024-02-18,224.0619,228.8005,221.7691,227.6047,65007.8846
2024-02-19,228.1805,234.0899,227.4608,232.0103,100848.6931
2024-02-20,231.0414,233.6417,215.0362,226.2647,261628.8657
2024-02-21,226.0979,226.1141,202.8976,222.88,790280.3983
2024-02-22,222.574,227.8795,217.4668,220.6181,291486.4139
2024-02-23,220.2275,227.1675,217.6149,224.7258,477452.7722
2024-02-24,224.9909,249.9044,224.9114,249.0908,718687.0196
2024-02-25,249.204,257.4975,249.1703,256.7248,89731.5882
2024-02-26,256.7218,264.6523,251.0039,263.7252,41277.4258
2024-02-27,263.0497,274.8325,262.0708,269.1337,397686.5149
2024-02-28,268.5352,292.7221,262.9157,270.4725,581016.8513
2024-02-29,270.779,296.7363,270.7562,277.2614,494422.6713
2024-03-01,277.4367,283.6393,271.9653,275.6011,318952.2877
2024-03-02,275.5612,277.1202,245.072,245.5483,770467.4869
2024-03-03,246.4123,250.033,242.4063,248.6096,94422.299
2024-03-04,249.9359,257.1701,246.6445,256.6398,117695.401
2024-03-05,257.2625,262.5214,219.4707,229.6249,286252.2379
2024-03-06,227.9268,250.0733,224.9765,232.3764,331402.9513
2024-03-07,232.6354,243.9551,229.44,237.581,250508.3585
2024-03-08,237.5156,248.7337,237.4224,242.0218,15751.5421
2024-03-09,242.4148,243.6974,239.1296,239.1296,50269.5132
2024-03-10,239.2438,243.1319,218.9985,220.5348,353094.2425
2024-03-11,221.7208,233.5585,218.0397,222.5162,199314.4987
2024-03-12,222.4953,225.45,216.0734,219.8937,292674.5675
2024-03-13,219.8957,233.4649,219.8887,230.3144,257885.6798
2024-03-14,229.5404,231.4506,214.5018,223.8592,130318.0351
2024-03-15,223.6687,224.3726,203.3836,208.4176,176895.4691
2024-03-16,209.4567,210.457,202.1984,202.3451,214978.4681
2024-03-17,202.3635,205.3668,191.1898,205.013,265238.8654
2024-03-18,204.6151,208.798,195.8762,207.5342,323324.3897
2024-03-19,207.52,209.8528,185.0775,198.9478,425697.8677
2024-03-20,198.1919,230.7098,194.1465,230.6222,231129.042
2024-03-21,229.6797,244.7826,228.5679,242.338,437000.419
2024-03-22,242.141,252.6483,231.0147,236.0278,376196.3657
2024-03-23,236.0199,246.0162,232.8329,242.0443,169967.9857
2024-03-24,240.681,259.6056,239.4278,259.2198,326960.4489
2024-03-25,259.0521,287.1882,257.0163,276.5028,402798.6667
2024-03-26,276.5894,278.0173,261.1047,267.4017,415902.572
2024-03-27,266.8985,268.5397,255.7823,258.5417,652448.5412
2024-03-28,259.6362,275.2223,258.5305,275.206,415553.92
2024-03-29,274.8284,319.366,274.8174,315.1935,804563.4416
2024-03-30,314.6883,318.719,307.7293,317.9397,349735.1377
2024-03-31,318.2559,339.5657,318.2444,339.0475,293517.7917
2024-04-01,339.1131,339.8006,270.0985,283.4828,365809.5788
2024-04-02,283.4993,283.4993,255.1901,257.9307,246205.1138
2024-04-03,257.1496,264.3131,254.029,264.1967,365021.927
2024-04-04,264.0206,268.1604,250.4104,254.704,525372.8671
2024-04-05,254.5746,261.0146,245.8058,258.1167,399585.223
2024-04-06,258.1373,279.5806,258.0894,278.105,406768.6306
2024-04-07,276.496,295.7139,276.2377,295.6703,287308.6581
2024-04-08,296.4598,297.8143,275.6729,289.4733,336957.5859
2024-04-09,288.7403,289.8943,256.1455,256.1455,475447.0775
2024-04-10,256.584,259.3257,245.8139,256.4692,236768.6836
2024-04-11,256.2981,267.6709,255.4618,267.5098,237051.0679
2024-04-12,267.5811,268.4002,227.213,230.6258,125708.0477
