time,open,high,low,close,volume
2024-05-20,306.9113,362.2723,304.0876,362.0496,0.0
2024-05-21,359.2488,373.4088,357.2184,371.6069,0.0
2024-05-22,369.6795,370.4737,278.3271,278.3271,0.0
2024-05-23,278.0666,279.8335,237.5291,243.3267,0.0
2024-05-24,243.1157,245.9556,177.5852,180.4304,0.0
2024-05-25,180.1263,182.0502,179.2206,179.2206,0.0
2024-05-26,179.8356,245.5535,178.9507,241.7312,118.551
2024-05-27,242.1903,249.7372,242.1436,243.8798,0.0
2024-05-28,244.6106,245.6168,236.0678,240.7288,0.0
2024-05-29,239.4718,239.7268,223.217,224.5091,0.0
2024-05-30,223.2833,224.0991,180.7544,183.6712,380.2816
2024-05-31,183.79,187.2699,181.5006,182.0917,0.0
2024-06-01,182.7582,183.9518,182.4606,183.8922,0.0
2024-06-02,183.5453,184.2972,180.7231,181.9333,516.9463
2024-06-03,182.1691,184.368,180.7198,182.0748,188.4261
2024-06-04,181.752,182.1671,158.0302,160.4212,276.4641
2024-06-05,160.1713,160.604,145.763,147.2751,0.0
2024-06-06,147.9993,147.9993,141.3151,142.4421,313.0802
2024-06-07,142.673,147.5548,139.6251,141.3438,803.5763
2024-06-08,140.8728,141.137,137.7763,137.7853,0.0
2024-06-09,137.9939,138.4265,137.1801,137.8573,37.0018
2024-06-10,137.8233,138.0582,135.2323,136.2336,166.6931
2024-06-11,136.0024,136.0024,125.6741,127.6668,0.0
2024-06-12,127.6234,129.1718,101.6098,106.9239,856.385
2024-06-13,106.59,106.59,102.3881,102.5824,0.0
2024-06-14,102.6775,104.2839,98.8222,101.9928,75.8721
2024-06-15,101.9327,104.9663,101.6791,102.4346,78.7336
2024-06-16,102.3538,112.6475,102.0975,112.1355,1621.4303
2024-06-17,111.8001,111.8001,103.3924,103.3924,48.9631
2024-06-18,103.3889,106.606,99.7236,106.5984,1224.9801
2024-06-19,106.5948,109.5805,106.3691,108.028,0.0
2024-06-20,107.8531,109.7249,82.3058,82.3058,117.3268
2024-06-21,82.2305,82.2887,60.3866,68.7585,1121.8037
2024-06-22,68.6678,71.0674,65.6677,68.1859,714.6286
2024-06-23,68.0744,68.3405,64.1731,64.2167,0.0
2024-06-24,64.1538,76.9873,63.1037,76.9845,2842.621
2024-06-25,77.0953,77.0953,74.868,74.9068,13513.0631
2024-06-26,74.7715,75.0504,67.2873,71.5944,845.4176
2024-06-27,71.3193,71.3193,36.7767,56.0077,3755297.3899
