Date,TVL,,,
15/02/2023,103545.02026660608,,,
16/02/2023,111358.53927745997,,,
17/02/2023,109785.77955221036,,,
18/02/2023,112950.27519974939,,,
19/02/2023,112485.67516849516,,,
20/02/2023,111668.41740769404,,,
21/02/2023,113070.1016365009,,,
22/02/2023,110238.48366044008,,,
23/02/2023,109214.72851192734,,,
24/02/2023,109897.35791722118,,,
25/02/2023,107006.46056022054,,,
26/02/2023,106048.79921350237,,,
27/02/2023,109163.55241311419,,,
28/02/2023,108691.281035843,,,
01/03/2023,106776.83714574281,,,
02/03/2023,110781.28506809325,,,
03/03/2023,320726.9875324854,,,
04/03/2023,305550.83606725006,,,
05/03/2023,305124.7386020033,,,
06/03/2023,304528.62180966756,,,
07/03/2023,305025.24644062755,,,
08/03/2023,304165.4295844541,,,
09/03/2023,298670.5989057444,,,
10/03/2023,281638.9714633614,,,
11/03/2023,279310.72833466786,,,
12/03/2023,288423.86659406725,,,
13/03/2023,311290.2175956251,,,
14/03/2023,328960.43019210355,,,
15/03/2023,334540.825907998,,,
16/03/2023,325316.9208767906,,,
17/03/2023,329838.90519785206,,,
18/03/2023,352028.4507767514,,,
19/03/2023,347573.50668552844,,,
20/03/2023,352402.6093633552,,,
21/03/2023,1479449.353020441,,,
22/03/2023,1536895.7390667663,,,
23/03/2023,1480076.0437656147,,,
24/03/2023,1546332.2414945022,,,
25/03/2023,1492748.4258225912,,,
26/03/2023,1487567.768030352,,,
27/03/2023,1506810.554542255,,,
28/03/2023,1456277.1882512502,,,
29/03/2023,1505813.9522914914,,,
30/03/2023,1521948.523347354,,,
31/03/2023,1523162.4495604953,,,
01/04/2023,1547625.7791280558,,,
02/04/2023,1547865.9139062383,,,
03/04/2023,1525751.55884356,,,
04/04/2023,1536753.6973113818,,,
05/04/2023,1590703.0719290362,,,
06/04/2023,1622042.6812919672,,,
07/04/2023,1589706.9740345855,,,
08/04/2023,1584681.5639028454,,,
09/04/2023,1572436.8458979256,,,
10/04/2023,1580388.868691592,,,
11/04/2023,1623088.8258673311,,,
12/04/2023,1607712.1066563802,,,
13/04/2023,1661529.1086949236,,,
14/04/2023,1745725.5737958446,,,
15/04/2023,1834532.523524422,,,
16/04/2023,1759704.6464120313,,,
17/04/2023,1751142.7756440074,,,
18/04/2023,1743242.5432440925,,,
19/04/2023,1763123.599479765,,,
20/04/2023,1635046.5491667623,,,
21/04/2023,1640580.0558181768,,,
22/04/2023,1553661.0725269804,,,
23/04/2023,1561426.029719487,,,
24/04/2023,1568697.0607616373,,,
25/04/2023,1547800.680797686,,,
26/04/2023,1570901.823733575,,,
27/04/2023,1613298.4561845383,,,
28/04/2023,1603371.6967183682,,,
29/04/2023,1589316.4336843616,,,
30/04/2023,1599569.571332867,,,
01/05/2023,2940748.1842158223,,,
02/05/2023,2865853.3415440544,,,
03/05/2023,2910908.3388203736,,,
04/05/2023,2973577.483550745,,,
05/05/2023,2936933.72391001,,,
06/05/2023,3162450.478009116,,,
07/05/2023,3009401.319852423,,,
08/05/2023,2979260.7357439073,,,
09/05/2023,2977625.5178693575,,,
10/05/2023,2400396.8637357056,,,
11/05/2023,3645596.474228821,,,
12/05/2023,3577163.356871284,,,
13/05/2023,3592896.207560581,,,
14/05/2023,3574356.047600989,,,
15/05/2023,3553212.714056502,,,
16/05/2023,3607561.4144739565,,,
17/05/2023,3630534.961733555,,,
18/05/2023,3617280.112386897,,,
19/05/2023,3585137.699238624,,,
20/05/2023,3734723.187190257,,,
21/05/2023,3773579.8432598556,,,
22/05/2023,3718637.1480268044,,,
23/05/2023,3815525.430193522,,,
24/05/2023,3879467.273696985,,,
25/05/2023,3766616.5210122694,,,
26/05/2023,3790073.9515090333,,,
27/05/2023,3834170.049115913,,,
28/05/2023,3872000.762063704,,,
29/05/2023,4025632.924856121,,,
30/05/2023,3966829.469269682,,,
31/05/2023,4138320.631171472,,,
01/06/2023,4064770.9745147303,,,
02/06/2023,4050920.4472911065,,,
03/06/2023,4140503.1351424875,,,
04/06/2023,4111801.9000058216,,,
05/06/2023,4099605.1370044774,,,
06/06/2023,3942391.453135147,,,
07/06/2023,4110564.0510342964,,,
08/06/2023,3995256.3134080973,,,
09/06/2023,4013229.048435955,,,
10/06/2023,3997758.5707061645,,,
11/06/2023,3805205.8766909624,,,
12/06/2023,3805602.07672043,,,
13/06/2023,3766462.6469317675,,,
14/06/2023,3793585.967018905,,,
15/06/2023,3602362.80484026,,,
16/06/2023,3618936.3393791346,,,
17/06/2023,3737643.183037288,,,
18/06/2023,3754738.188040343,,,
19/06/2023,3750842.6558657335,,,
20/06/2023,3789923.5347343306,,,
21/06/2023,3917672.0494495607,,,
22/06/2023,4168327.759240982,,,
23/06/2023,4088903.759102471,,,
24/06/2023,4107161.2434583004,,,
25/06/2023,4084084.0227925926,,,
26/06/2023,4140823.472576787,,,
27/06/2023,4061656.4129468063,,,
28/06/2023,4079901.374388185,,,
29/06/2023,3990379.8408832876,,,
30/06/2023,4313454.8098622495,,,
01/07/2023,4450968.848394965,,,
02/07/2023,4419124.684929799,,,
03/07/2023,4452695.050035331,,,
04/07/2023,4494669.646151346,,,
05/07/2023,4454909.681872122,,,
06/07/2023,4378580.390642702,,,
07/07/2023,4242479.990752857,,,
08/07/2023,4303231.26929489,,,
09/07/2023,4292601.137678145,,,
10/07/2023,4289702.363696596,,,
11/07/2023,4321724.907062553,,,
12/07/2023,4326563.24992357,,,
13/07/2023,4306618.186560096,,,
14/07/2023,4631925.679357428,,,
15/07/2023,4447219.5286211,,,
16/07/2023,4451139.268782181,,,
17/07/2023,4488536.657533052,,,
18/07/2023,4468258.325208981,,,
19/07/2023,4463085.042498785,,,
20/07/2023,4420225.337276525,,,
21/07/2023,4415217.703799826,,,
22/07/2023,4428470.473392898,,,
23/07/2023,4348459.320780809,,,
24/07/2023,4412789.439496501,,,
25/07/2023,4320629.313272532,,,
26/07/2023,4338233.50036602,,,
27/07/2023,4366690.867750234,,,
28/07/2023,4353043.764841721,,,
29/07/2023,4383994.17133234,,,
30/07/2023,4394186.299149492,,,
31/07/2023,4379272.130462924,,,
01/08/2023,4351056.767446175,,,
02/08/2023,4368909.911272508,,,
03/08/2023,4303900.314144311,,,
04/08/2023,4295688.378378094,,,
05/08/2023,4399252.103048714,,,
06/08/2023,4411247.287981812,,,
07/08/2023,4390580.29719287,,,
08/08/2023,4399222.034823273,,,
09/08/2023,4459355.286454375,,,
10/08/2023,4458612.150792096,,,
11/08/2023,4455341.1517927125,,,
12/08/2023,4570809.598888867,,,
13/08/2023,4568414.526955483,,,
14/08/2023,4544131.752509636,,,
15/08/2023,4558678.819168877,,,
16/08/2023,4518254.8777634865,,,
17/08/2023,4415395.152290233,,,
18/08/2023,4173989.120766286,,,
19/08/2023,4120258.2222887278,,,
20/08/2023,4133351.268814294,,,
21/08/2023,4156695.9587945505,,,
22/08/2023,4121487.594327852,,,
23/08/2023,4035939.1154403244,,,
24/08/2023,4166163.019354699,,,
25/08/2023,4102572.866161048,,,
26/08/2023,4083035.156141714,,,
27/08/2023,4072493.608818414,,,
28/08/2023,4103091.685118174,,,
29/08/2023,4094666.3992231702,,,
30/08/2023,4282766.2118731,,,
31/08/2023,4227011.853512319,,,
01/09/2023,4086994.9162707324,,,
02/09/2023,4043710.2417147337,,,
03/09/2023,4064298.2221554676,,,
04/09/2023,4062586.22993444,,,
05/09/2023,4043146.7779293275,,,
06/09/2023,4065593.220354436,,,
07/09/2023,4067658.6912206043,,,
08/09/2023,4101054.617755522,,,
09/09/2023,4067328.6014311253,,,
10/09/2023,4062408.237758645,,,
11/09/2023,4027435.8126754584,,,
12/09/2023,3859740.962914534,,,
13/09/2023,3969335.0856554005,,,
14/09/2023,3998135.4125233805,,,
15/09/2023,4044324.7266224665,,,
16/09/2023,4104101.523488876,,,
17/09/2023,4054297.2983817947,,,
18/09/2023,4027408.774932679,,,
19/09/2023,4062286.0955620483,,,
20/09/2023,4084956.353971138,,,
21/09/2023,4036501.790668193,,,
22/09/2023,3947210.2306599366,,,
23/09/2023,3978959.7544657034,,,
24/09/2023,3969824.614738992,,,
25/09/2023,4927562.439011259,,,
26/09/2023,4969912.887923859,,,
27/09/2023,4984045.983722504,,,
28/09/2023,5016279.330362839,,,
29/09/2023,5561483.946090836,,,
30/09/2023,5599482.26504355,,,
01/10/2023,5622219.442935753,,,
02/10/2023,5809288.98389319,,,
03/10/2023,5583781.7341363,,,
04/10/2023,5525360.464695134,,,
05/10/2023,5527067.469645389,,,
06/10/2023,5426392.198582808,,,
07/10/2023,5528595.624094143,,,
08/10/2023,5489750.992685614,,,
09/10/2023,5472985.887835457,,,
10/10/2023,5317098.196049336,,,
11/10/2023,5262797.8612089,,,
12/10/2023,5753612.214903296,,,
13/10/2023,5672793.886724311,,,
14/10/2023,5707880.379816027,,,
15/10/2023,5721975.214600851,,,
16/10/2023,5730492.651387486,,,
17/10/2023,5879716.954289354,,,
18/10/2023,9361499.277107593,,,
19/10/2023,9461013.554742392,,,
20/10/2023,9470189.854550416,,,
21/10/2023,9711399.239550963,,,
22/10/2023,9889000.410003116,,,
23/10/2023,10051527.110823054,,,
24/10/2023,10776472.11183036,,,
25/10/2023,10784802.130948551,,,
26/10/2023,10840730.745273938,,,
27/10/2023,10888109.018137015,,,
28/10/2023,10957841.681183098,,,
29/10/2023,10930781.733460816,,,
30/10/2023,11050286.504445298,,,
31/10/2023,11262115.108847126,,,
01/11/2023,11190900.566835584,,,
02/11/2023,11373151.163061192,,,
03/11/2023,11069937.713604363,,,
04/11/2023,16825151.86332394,,,
05/11/2023,17246976.304561917,,,
06/11/2023,17597698.951361675,,,
07/11/2023,17665498.98388845,,,
08/11/2023,17586729.31667971,,,
09/11/2023,17795571.338044904,,,
10/11/2023,19885240.048244137,,,
11/11/2023,21652596.56472472,,,
12/11/2023,21310504.57410173,,,
13/11/2023,21445150.174833663,,,
