time,open,high,low,close,volume
2024-02-21,194.4545,194.4545,194.4545,194.4545,0.0
2024-02-22,194.4545,194.4545,194.4545,194.4545,0.0
2024-02-23,194.4545,195.7559,191.9229,192.8917,0.0
2024-02-24,193.1192,196.5027,191.8933,195.7077,0.0
2024-02-25,195.7966,202.664,195.7378,201.5264,0.0
2024-02-26,202.1688,206.2136,196.6427,205.3929,0.0
2024-02-27,205.3872,210.0876,204.0992,207.8446,0.0
2024-02-28,207.3824,220.0456,205.1721,213.2552,0.0
2024-02-29,213.2085,236.2864,211.353,232.0032,10182.6306
2024-03-01,232.2295,249.9435,232.2295,248.2162,6205.6337
2024-03-02,247.9546,249.1558,244.7345,245.172,344.3622
2024-03-03,245.2647,277.9954,245.1103,276.9641,16061.3386
2024-03-04,277.0526,287.9621,275.7716,287.9537,522.8051
2024-03-05,287.5578,300.1603,263.5697,280.423,0.0
2024-03-06,280.2748,297.9075,269.9944,277.9876,10582.3553
2024-03-07,278.0403,306.2266,272.0877,301.1126,40342.9483
2024-03-08,301.0876,307.425,290.5103,290.7155,249.4425
2024-03-09,290.6244,294.7562,287.6548,288.8719,1009.5201
2024-03-10,288.0326,294.2189,275.8846,278.6523,4537.7943
2024-03-11,278.8582,286.9638,271.6569,285.7401,0.0
2024-03-12,285.7875,286.3184,269.2794,275.6302,0.0
2024-03-13,276.0475,281.7287,273.5707,275.6255,1327.0
2024-03-14,275.7655,276.3084,257.7136,267.5445,7661.3821
2024-03-15,267.1774,269.4138,245.4271,254.6667,1797.6216
2024-03-16,254.8403,257.0626,235.2481,238.3589,797.035
2024-03-17,238.3219,248.6861,231.3172,246.5437,9856.6372
2024-03-18,246.9353,247.3366,236.1294,241.2524,12874.2868
2024-03-19,240.6242,241.4098,216.703,218.8925,28643.1234
2024-03-20,218.188,256.3192,213.0825,255.7748,43022.9654
2024-03-21,255.9857,260.738,250.1089,257.5155,28278.9868
2024-03-22,257.9356,264.8064,253.7456,264.8064,65752.158
2024-03-23,265.6316,283.9519,260.2743,279.193,44101.2193
2024-03-24,277.2495,291.8408,277.0231,291.3325,29439.3988
2024-03-25,290.5055,367.8954,288.4063,364.7701,165142.877
2024-03-26,364.7649,386.2609,339.1563,384.9632,115461.634
2024-03-27,385.021,388.5871,368.8748,370.8422,12853.5124
2024-03-28,370.9937,379.7427,360.0689,375.3204,19989.759
2024-03-29,375.081,779.1648,301.959,344.393,76271.6471
2024-03-30,359.8152,459.4718,341.2106,356.4734,93653.9735
2024-03-31,395.801,445.7419,355.9733,445.6042,54690.1799
2024-04-01,445.9305,445.9305,244.9896,315.6312,211920.7439
2024-04-02,315.3865,339.4238,290.9362,338.2947,58666.643
2024-04-03,337.7425,339.6437,289.8251,326.2622,63017.6975
2024-04-04,325.9182,329.2898,293.5421,296.508,35657.3314
2024-04-05,296.5947,296.5947,282.4204,291.4231,39226.742
2024-04-06,291.5094,318.6431,291.308,313.6999,16441.7181
2024-04-07,312.0994,320.8826,299.9338,318.3873,37208.2058
2024-04-08,318.4161,343.2099,241.28,316.5577,76179.4859
2024-04-09,315.6114,317.3789,258.9818,286.1299,17403.6103
2024-04-10,286.3418,288.1101,233.2906,259.0342,38613.0505
