time,underlyingApy1DMA,underlyingApy7DMA,impliedApy,volume
Sun Feb 25 2024 00:00:00 GMT+0000 (Greenwich Mean Time),0.0418,0.0378,0.4061,361530.785545052
Sun Feb 25 2024 01:00:00 GMT+0000 (Greenwich Mean Time),0.0418,0.0378,0.4064,338858.3447341928
Sun Feb 25 2024 02:00:00 GMT+0000 (Greenwich Mean Time),0.0418,0.0378,0.4061,395828.6444446794
Sun Feb 25 2024 03:00:00 GMT+0000 (Greenwich Mean Time),0.0418,0.0378,0.4054,199760.8324070149
Sun Feb 25 2024 04:00:00 GMT+0000 (Greenwich Mean Time),0.0418,0.0378,0.3999,841551.3480155852
Sun Feb 25 2024 05:00:00 GMT+0000 (Greenwich Mean Time),0.0418,0.0307,0.4012,786822.6639386767
Sun Feb 25 2024 06:00:00 GMT+0000 (Greenwich Mean Time),0.0418,0.0307,0.4011,495481.0788897176
Sun Feb 25 2024 07:00:00 GMT+0000 (Greenwich Mean Time),0.0418,0.0307,0.403,381800.17885567324
Sun Feb 25 2024 08:00:00 GMT+0000 (Greenwich Mean Time),0.0418,0.0307,0.4027,319642.76983120374
Sun Feb 25 2024 09:00:00 GMT+0000 (Greenwich Mean Time),0.0418,0.0307,0.3989,1523876.86525688
Sun Feb 25 2024 10:00:00 GMT+0000 (Greenwich Mean Time),0.0418,0.0307,0.3979,454130.50742381875
Sun Feb 25 2024 11:00:00 GMT+0000 (Greenwich Mean Time),0.0418,0.0307,0.3943,608415.298863078
Sun Feb 25 2024 12:00:00 GMT+0000 (Greenwich Mean Time),0.0223,0.0317,0.3951,415138.99157391593
Sun Feb 25 2024 13:00:00 GMT+0000 (Greenwich Mean Time),0.0223,0.0317,0.3932,946106.584193816
Sun Feb 25 2024 14:00:00 GMT+0000 (Greenwich Mean Time),0.0223,0.0317,0.3945,296826.83167186746
Sun Feb 25 2024 15:00:00 GMT+0000 (Greenwich Mean Time),0.0223,0.0317,0.3933,1001496.2916383519
Sun Feb 25 2024 16:00:00 GMT+0000 (Greenwich Mean Time),0.0223,0.0317,0.3934,650452.2031325457
Sun Feb 25 2024 17:00:00 GMT+0000 (Greenwich Mean Time),0.0223,0.0317,0.3944,607912.2926349989
Sun Feb 25 2024 18:00:00 GMT+0000 (Greenwich Mean Time),0.0223,0.0317,0.3958,364608.58229242015
Sun Feb 25 2024 19:00:00 GMT+0000 (Greenwich Mean Time),0.0223,0.0317,0.4089,2332852.650587161
Sun Feb 25 2024 20:00:00 GMT+0000 (Greenwich Mean Time),0.0223,0.0317,0.4079,564332.7246592711
