time,underlyingApy1DMA,underlyingApy7DMA,impliedApy,volume
Sun Apr 28 2024 01:00:00 GMT+0100 (British Summer Time),0.006,0.0094,0.3181,125614.29893909747
Sun Apr 28 2024 02:00:00 GMT+0100 (British Summer Time),0.006,0.0094,0.3187,133056.97119321904
Sun Apr 28 2024 03:00:00 GMT+0100 (British Summer Time),0.006,0.0094,0.319,119972.62099496211
Sun Apr 28 2024 04:00:00 GMT+0100 (British Summer Time),0.006,0.0081,0.3184,172712.52264689183
Sun Apr 28 2024 05:00:00 GMT+0100 (British Summer Time),0.0057,0.0089,0.3201,707859.1456954593
Sun Apr 28 2024 06:00:00 GMT+0100 (British Summer Time),0.0057,0.0089,0.3217,168442.5193945567
Sun Apr 28 2024 07:00:00 GMT+0100 (British Summer Time),0.0057,0.0089,0.3217,463353.21883394895
Sun Apr 28 2024 08:00:00 GMT+0100 (British Summer Time),0.0057,0.0089,0.3216,289175.4500833901
Sun Apr 28 2024 09:00:00 GMT+0100 (British Summer Time),0.0057,0.0089,0.3196,638888.085786252
Sun Apr 28 2024 10:00:00 GMT+0100 (British Summer Time),0.0057,0.0089,0.3222,1131398.7299427567
Sun Apr 28 2024 11:00:00 GMT+0100 (British Summer Time),0.0057,0.0089,0.3216,678502.6547651213
Sun Apr 28 2024 12:00:00 GMT+0100 (British Summer Time),0.0057,0.0089,0.3223,476946.88149143965
Sun Apr 28 2024 13:00:00 GMT+0100 (British Summer Time),0.0057,0.0089,0.3261,819084.5339726805
Sun Apr 28 2024 14:00:00 GMT+0100 (British Summer Time),0.0057,0.0089,0.3245,452627.89041438507
Sun Apr 28 2024 15:00:00 GMT+0100 (British Summer Time),0.0057,0.0089,0.3228,342204.9410960338
Sun Apr 28 2024 16:00:00 GMT+0100 (British Summer Time),0.0057,0.0089,0.3222,418726.07818005804
Sun Apr 28 2024 17:00:00 GMT+0100 (British Summer Time),0.0057,0.0089,0.3244,531138.4709953755
