time,underlyingApy1DMA,underlyingApy7DMA,impliedApy,volume
Sun May 26 2024 01:00:00 GMT+0100 (British Summer Time),0.0307,0.0315,0.2181,3359.2606798654583
Sun May 26 2024 02:00:00 GMT+0100 (British Summer Time),0.0306,0.0315,0.2181,0
Sun May 26 2024 03:00:00 GMT+0100 (British Summer Time),0.0306,0.0315,0.2181,0
Sun May 26 2024 04:00:00 GMT+0100 (British Summer Time),0.0306,0.0315,0.2181,0
Sun May 26 2024 05:00:00 GMT+0100 (British Summer Time),0.0307,0.0315,0.2183,3668.9788898939087
Sun May 26 2024 06:00:00 GMT+0100 (British Summer Time),0.0306,0.0315,0.2186,7061.078590329747
Sun May 26 2024 07:00:00 GMT+0100 (British Summer Time),0.0306,0.0315,0.2187,1123.1001972925424
Sun May 26 2024 08:00:00 GMT+0100 (British Summer Time),0.0306,0.0315,0.2199,17620.8662749849
Sun May 26 2024 09:00:00 GMT+0100 (British Summer Time),0.0307,0.0318,0.2214,41349.55820638639
Sun May 26 2024 10:00:00 GMT+0100 (British Summer Time),0.0307,0.0318,0.2208,34127.024566675056
Sun May 26 2024 11:00:00 GMT+0100 (British Summer Time),0.0306,0.0318,0.2208,0
Sun May 26 2024 12:00:00 GMT+0100 (British Summer Time),0.0306,0.0318,0.222,19188.36405214029
Sun May 26 2024 13:00:00 GMT+0100 (British Summer Time),0.0306,0.0318,0.2216,5828.9643297999555
Sun May 26 2024 14:00:00 GMT+0100 (British Summer Time),0.0307,0.0318,0.2216,11479.544700896458
Sun May 26 2024 15:00:00 GMT+0100 (British Summer Time),0.0306,0.0318,0.2223,0
Sun May 26 2024 16:00:00 GMT+0100 (British Summer Time),0.0306,0.0318,0.2223,0
Sun May 26 2024 17:00:00 GMT+0100 (British Summer Time),0.0306,0.0318,0.2231,11272.869220484417
Sun May 26 2024 18:00:00 GMT+0100 (British Summer Time),0.0307,0.0318,0.2239,13730.37351320599
Sun May 26 2024 19:00:00 GMT+0100 (British Summer Time),0.0307,0.0318,0.2239,0
Sun May 26 2024 20:00:00 GMT+0100 (British Summer Time),0.0306,0.0318,0.2239,0
Sun May 26 2024 21:00:00 GMT+0100 (British Summer Time),0.0306,0.0318,0.2239,0
Sun May 26 2024 22:00:00 GMT+0100 (British Summer Time),0.0306,0.0318,0.2239,0
Sun May 26 2024 23:00:00 GMT+0100 (British Summer Time),0.0307,0.0318,0.2234,7917.061357579968
Mon May 27 2024 00:00:00 GMT+0100 (British Summer Time),0.0306,0.0318,0.2236,2945.8801987856486
Mon May 27 2024 01:00:00 GMT+0100 (British Summer Time),0,0.0318,0.2255,33217.54834045339
Mon May 27 2024 02:00:00 GMT+0100 (British Summer Time),0,0.0318,0.2246,13531.678256969004
Mon May 27 2024 03:00:00 GMT+0100 (British Summer Time),0,0.0318,0.2246,0
Mon May 27 2024 04:00:00 GMT+0100 (British Summer Time),0,0.0318,0.2246,5748.691144011377
Mon May 27 2024 05:00:00 GMT+0100 (British Summer Time),0,0.0318,0.225,0
Mon May 27 2024 06:00:00 GMT+0100 (British Summer Time),0,0.0318,0.225,0
Mon May 27 2024 07:00:00 GMT+0100 (British Summer Time),0,0.0318,0.2249,2004.0853178849934
Mon May 27 2024 08:00:00 GMT+0100 (British Summer Time),0,0.0318,0.2249,0
Mon May 27 2024 09:00:00 GMT+0100 (British Summer Time),0,0.0318,0.2246,4162.021030926598
Mon May 27 2024 10:00:00 GMT+0100 (British Summer Time),0,0.0318,0.2246,0
Mon May 27 2024 11:00:00 GMT+0100 (British Summer Time),0,0.0318,0.2246,0
Mon May 27 2024 12:00:00 GMT+0100 (British Summer Time),0.0288,0.0313,0.2235,19286.668549790324
Mon May 27 2024 13:00:00 GMT+0100 (British Summer Time),0.0288,0.0312,0.2235,792.1001036457659
Mon May 27 2024 14:00:00 GMT+0100 (British Summer Time),0.0288,0.0312,0.2233,1829.800302819544
Mon May 27 2024 15:00:00 GMT+0100 (British Summer Time),0.0288,0.0313,0.2234,802.6168587491703
Mon May 27 2024 16:00:00 GMT+0100 (British Summer Time),0.0288,0.0313,0.2234,0
Mon May 27 2024 17:00:00 GMT+0100 (British Summer Time),0.0288,0.0312,0.2267,58182.39446335784
Mon May 27 2024 18:00:00 GMT+0100 (British Summer Time),0.0288,0.0312,0.2267,0
Mon May 27 2024 19:00:00 GMT+0100 (British Summer Time),0.0288,0.0312,0.2267,0
Mon May 27 2024 20:00:00 GMT+0100 (British Summer Time),0.0288,0.0313,0.2267,0
Mon May 27 2024 21:00:00 GMT+0100 (British Summer Time),0.0288,0.0313,0.2267,0
Mon May 27 2024 22:00:00 GMT+0100 (British Summer Time),0.0288,0.0312,0.2267,0
Mon May 27 2024 23:00:00 GMT+0100 (British Summer Time),0.0288,0.0312,0.2267,0
Tue May 28 2024 00:00:00 GMT+0100 (British Summer Time),0.0288,0.0313,0.2267,3001.0220729173125
Tue May 28 2024 01:00:00 GMT+0100 (British Summer Time),0.0288,0.0313,0.2267,0
Tue May 28 2024 02:00:00 GMT+0100 (British Summer Time),0.0288,0.0312,0.2267,0
Tue May 28 2024 03:00:00 GMT+0100 (British Summer Time),0.0288,0.0312,0.2267,0
Tue May 28 2024 04:00:00 GMT+0100 (British Summer Time),0.0288,0.032,0.2267,0
Tue May 28 2024 05:00:00 GMT+0100 (British Summer Time),0.0288,0.032,0.2269,3077.774557573321
Tue May 28 2024 06:00:00 GMT+0100 (British Summer Time),0.0288,0.032,0.2273,20040.485395411983
Tue May 28 2024 07:00:00 GMT+0100 (British Summer Time),0.0288,0.032,0.2263,16341.805004190825
Tue May 28 2024 08:00:00 GMT+0100 (British Summer Time),0.0288,0.032,0.2263,0
Tue May 28 2024 09:00:00 GMT+0100 (British Summer Time),0.0288,0.032,0.2257,11473.884717397785
Tue May 28 2024 10:00:00 GMT+0100 (British Summer Time),0.0288,0.032,0.2263,11467.49618875227
Tue May 28 2024 11:00:00 GMT+0100 (British Summer Time),0.0288,0.032,0.2263,0
Tue May 28 2024 12:00:00 GMT+0100 (British Summer Time),0,0.032,0.2267,6654.591007933686
Tue May 28 2024 13:00:00 GMT+0100 (British Summer Time),0,0.032,0.2333,114273.6697525135
Tue May 28 2024 14:00:00 GMT+0100 (British Summer Time),0,0.032,0.2333,0
Tue May 28 2024 15:00:00 GMT+0100 (British Summer Time),0,0.032,0.2333,0
Tue May 28 2024 16:00:00 GMT+0100 (British Summer Time),0,0.032,0.2333,0
Tue May 28 2024 17:00:00 GMT+0100 (British Summer Time),0,0.032,0.2333,0
Tue May 28 2024 18:00:00 GMT+0100 (British Summer Time),0,0.032,0.2333,0
Tue May 28 2024 19:00:00 GMT+0100 (British Summer Time),0,0.032,0.2299,81451.97771602786
Tue May 28 2024 20:00:00 GMT+0100 (British Summer Time),0,0.032,0.2299,0
Tue May 28 2024 21:00:00 GMT+0100 (British Summer Time),0,0.032,0.2234,109928.70656346627
Tue May 28 2024 22:00:00 GMT+0100 (British Summer Time),0,0.032,0.2302,115464.43672942667
Tue May 28 2024 23:00:00 GMT+0100 (British Summer Time),0,0.032,0.2302,0
Wed May 29 2024 00:00:00 GMT+0100 (British Summer Time),0.0305,0.0317,0.2301,2052.9229122187007
Wed May 29 2024 01:00:00 GMT+0100 (British Summer Time),0.0305,0.0317,0.2301,0
Wed May 29 2024 02:00:00 GMT+0100 (British Summer Time),0.0305,0.0317,0.2281,102380.94107346298
Wed May 29 2024 03:00:00 GMT+0100 (British Summer Time),0.0305,0.0317,0.2288,11487.245166025757
Wed May 29 2024 04:00:00 GMT+0100 (British Summer Time),0.0305,0.0317,0.2288,0
Wed May 29 2024 05:00:00 GMT+0100 (British Summer Time),0.0305,0.0317,0.2279,15452.93439980716
Wed May 29 2024 06:00:00 GMT+0100 (British Summer Time),0.0305,0.0317,0.2232,242886.90139836294
Wed May 29 2024 07:00:00 GMT+0100 (British Summer Time),0.0305,0.0317,0.2232,550.1575014580582
Wed May 29 2024 08:00:00 GMT+0100 (British Summer Time),0.0305,0.0317,0.2321,360887.5828781417
Wed May 29 2024 09:00:00 GMT+0100 (British Summer Time),0.0305,0.0317,0.2426,22172.33383296667
Wed May 29 2024 10:00:00 GMT+0100 (British Summer Time),0.0305,0.0317,0.2408,33069.21937268036
Wed May 29 2024 11:00:00 GMT+0100 (British Summer Time),0.0305,0.0317,0.2408,0
Wed May 29 2024 12:00:00 GMT+0100 (British Summer Time),0.0305,0.0317,0.2353,96922.27904797049
Wed May 29 2024 13:00:00 GMT+0100 (British Summer Time),0.0305,0.0317,0.2353,0
Wed May 29 2024 14:00:00 GMT+0100 (British Summer Time),0.0305,0.0317,0.2353,0
Wed May 29 2024 15:00:00 GMT+0100 (British Summer Time),0.0305,0.0317,0.2353,64.8282391355758
Wed May 29 2024 16:00:00 GMT+0100 (British Summer Time),0.0305,0.0317,0.2353,0
Wed May 29 2024 17:00:00 GMT+0100 (British Summer Time),0.0305,0.0317,0.2353,0
Wed May 29 2024 18:00:00 GMT+0100 (British Summer Time),0.0305,0.0317,0.2353,0
Wed May 29 2024 19:00:00 GMT+0100 (British Summer Time),0.0305,0.0317,0.2354,1995.1818709608006
Wed May 29 2024 20:00:00 GMT+0100 (British Summer Time),0.0305,0.0317,0.2354,0
Wed May 29 2024 21:00:00 GMT+0100 (British Summer Time),0.0305,0.0317,0.2356,3324.2220240426927
Wed May 29 2024 22:00:00 GMT+0100 (British Summer Time),0.0305,0.0317,0.2356,0
Wed May 29 2024 23:00:00 GMT+0100 (British Summer Time),0.0305,0.0317,0.2356,0
Thu May 30 2024 00:00:00 GMT+0100 (British Summer Time),0,0.0317,0.2357,1950.2710335610607
Thu May 30 2024 01:00:00 GMT+0100 (British Summer Time),0,0.0317,0.2357,0
Thu May 30 2024 02:00:00 GMT+0100 (British Summer Time),0,0.032,0.2357,0
Thu May 30 2024 03:00:00 GMT+0100 (British Summer Time),0,0.032,0.2357,0
Thu May 30 2024 04:00:00 GMT+0100 (British Summer Time),0,0.032,0.2357,0
Thu May 30 2024 05:00:00 GMT+0100 (British Summer Time),0,0.032,0.2358,556.7292730892048
Thu May 30 2024 06:00:00 GMT+0100 (British Summer Time),0,0.032,0.2362,6832.180957062686
Thu May 30 2024 07:00:00 GMT+0100 (British Summer Time),0,0.032,0.2359,5201.135375861258
Thu May 30 2024 08:00:00 GMT+0100 (British Summer Time),0,0.032,0.2363,7452.374492106728
Thu May 30 2024 09:00:00 GMT+0100 (British Summer Time),0,0.032,0.2342,35980.133444372594
Thu May 30 2024 10:00:00 GMT+0100 (British Summer Time),0,0.032,0.2342,0
Thu May 30 2024 11:00:00 GMT+0100 (British Summer Time),0,0.032,0.2342,0
Thu May 30 2024 12:00:00 GMT+0100 (British Summer Time),0,0.032,0.2342,0
Thu May 30 2024 13:00:00 GMT+0100 (British Summer Time),0,0.032,0.2337,76684.03066173104
Thu May 30 2024 14:00:00 GMT+0100 (British Summer Time),0,0.032,0.2337,0
Thu May 30 2024 15:00:00 GMT+0100 (British Summer Time),0.0323,0.0321,0.2337,1040.8949040646073
Thu May 30 2024 16:00:00 GMT+0100 (British Summer Time),0.0323,0.0321,0.2337,0
Thu May 30 2024 17:00:00 GMT+0100 (British Summer Time),0.0323,0.0321,0.2337,0
Thu May 30 2024 18:00:00 GMT+0100 (British Summer Time),0.0323,0.0321,0.2337,0
Thu May 30 2024 19:00:00 GMT+0100 (British Summer Time),0.0323,0.0321,0.2337,0
Thu May 30 2024 20:00:00 GMT+0100 (British Summer Time),0.0323,0.0321,0.2342,8065.516331565124
Thu May 30 2024 21:00:00 GMT+0100 (British Summer Time),0.0323,0.0321,0.2342,0
Thu May 30 2024 22:00:00 GMT+0100 (British Summer Time),0.0323,0.0321,0.2348,11377.392846337969
Thu May 30 2024 23:00:00 GMT+0100 (British Summer Time),0.0323,0.0321,0.2348,0
Fri May 31 2024 00:00:00 GMT+0100 (British Summer Time),0.0323,0.0321,0.2348,0
Fri May 31 2024 01:00:00 GMT+0100 (British Summer Time),0.0323,0.0321,0.23,83808.383737735
Fri May 31 2024 02:00:00 GMT+0100 (British Summer Time),0.0323,0.0321,0.2305,9307.725603187777
Fri May 31 2024 03:00:00 GMT+0100 (British Summer Time),0.0323,0.0321,0.231,7918.151270099886
Fri May 31 2024 04:00:00 GMT+0100 (British Summer Time),0.0323,0.0321,0.2314,7448.972384965119
Fri May 31 2024 05:00:00 GMT+0100 (British Summer Time),0.0323,0.0306,0.2323,22539.147212643747
Fri May 31 2024 06:00:00 GMT+0100 (British Summer Time),0.0323,0.0306,0.2317,25685.783727887625
Fri May 31 2024 07:00:00 GMT+0100 (British Summer Time),0.0323,0.0306,0.2317,0
Fri May 31 2024 08:00:00 GMT+0100 (British Summer Time),0.0401,0.0333,0.2298,49081.45035358182
Fri May 31 2024 09:00:00 GMT+0100 (British Summer Time),0.0401,0.0333,0.2298,32.07935124953113
Fri May 31 2024 10:00:00 GMT+0100 (British Summer Time),0.0402,0.0333,0.2298,7920.7666189107795
Fri May 31 2024 11:00:00 GMT+0100 (British Summer Time),0.0401,0.0333,0.2298,0
Fri May 31 2024 12:00:00 GMT+0100 (British Summer Time),0.0401,0.0333,0.2298,0
Fri May 31 2024 13:00:00 GMT+0100 (British Summer Time),0.0401,0.0333,0.2298,0
Fri May 31 2024 14:00:00 GMT+0100 (British Summer Time),0.0401,0.0333,0.2298,0
Fri May 31 2024 15:00:00 GMT+0100 (British Summer Time),0.0577,0.0333,0.2256,72144.95632796694
Fri May 31 2024 16:00:00 GMT+0100 (British Summer Time),0.0574,0.0333,0.2256,0
Fri May 31 2024 17:00:00 GMT+0100 (British Summer Time),0.0574,0.0333,0.2256,0
Fri May 31 2024 18:00:00 GMT+0100 (British Summer Time),0.0574,0.0333,0.2407,350543.83095235896
Fri May 31 2024 19:00:00 GMT+0100 (British Summer Time),0.0577,0.0333,0.2407,0
Fri May 31 2024 20:00:00 GMT+0100 (British Summer Time),0.0577,0.0333,0.2407,0
Fri May 31 2024 21:00:00 GMT+0100 (British Summer Time),0.0574,0.0333,0.2407,0
Fri May 31 2024 22:00:00 GMT+0100 (British Summer Time),0.0574,0.0333,0.2407,0
Fri May 31 2024 23:00:00 GMT+0100 (British Summer Time),0.0574,0.0333,0.2413,17465.270594525013
Sat Jun 01 2024 00:00:00 GMT+0100 (British Summer Time),0.0577,0.0333,0.2415,0
Sat Jun 01 2024 01:00:00 GMT+0100 (British Summer Time),0.0574,0.0333,0.2415,0
Sat Jun 01 2024 02:00:00 GMT+0100 (British Summer Time),0.0574,0.0333,0.243,40873.452570446774
Sat Jun 01 2024 03:00:00 GMT+0100 (British Summer Time),0.0574,0.0333,0.2432,3621.3268354337342
Sat Jun 01 2024 04:00:00 GMT+0100 (British Summer Time),0.0577,0.0333,0.2442,22235.578485457732
Sat Jun 01 2024 05:00:00 GMT+0100 (British Summer Time),0.0577,0.0333,0.2434,9631.02480510063
Sat Jun 01 2024 06:00:00 GMT+0100 (British Summer Time),0.0574,0.0333,0.2434,0
Sat Jun 01 2024 07:00:00 GMT+0100 (British Summer Time),0.0574,0.0333,0.2436,3624.9015334034407
Sat Jun 01 2024 08:00:00 GMT+0100 (British Summer Time),0,0.0333,0.2436,0
Sat Jun 01 2024 09:00:00 GMT+0100 (British Summer Time),0,0.0333,0.2439,6913.550311765302
Sat Jun 01 2024 10:00:00 GMT+0100 (British Summer Time),0,0.0333,0.243,150140.00423561933
Sat Jun 01 2024 11:00:00 GMT+0100 (British Summer Time),0,0.0333,0.243,0
Sat Jun 01 2024 12:00:00 GMT+0100 (British Summer Time),0,0.0333,0.2432,4317.6161411412995
Sat Jun 01 2024 13:00:00 GMT+0100 (British Summer Time),0,0.0333,0.2425,12300.816360161458
Sat Jun 01 2024 14:00:00 GMT+0100 (British Summer Time),0.0334,0.0333,0.2417,19055.1597946619
Sat Jun 01 2024 15:00:00 GMT+0100 (British Summer Time),0.0334,0.0333,0.2415,0
Sat Jun 01 2024 16:00:00 GMT+0100 (British Summer Time),0.0334,0.0333,0.2413,2158.9278545247607
Sat Jun 01 2024 17:00:00 GMT+0100 (British Summer Time),0.0334,0.0333,0.2423,17438.51895319059
Sat Jun 01 2024 18:00:00 GMT+0100 (British Summer Time),0.0334,0.0333,0.2422,1514.9710226173759
Sat Jun 01 2024 19:00:00 GMT+0100 (British Summer Time),0.0334,0.0333,0.2422,0
Sat Jun 01 2024 20:00:00 GMT+0100 (British Summer Time),0.0334,0.0333,0.2422,0
Sat Jun 01 2024 21:00:00 GMT+0100 (British Summer Time),0.0334,0.0333,0.2422,0
Sat Jun 01 2024 22:00:00 GMT+0100 (British Summer Time),0.0334,0.0333,0.2255,677331.0996044956
Sat Jun 01 2024 23:00:00 GMT+0100 (British Summer Time),0.0334,0.0333,0.2255,0
Sun Jun 02 2024 00:00:00 GMT+0100 (British Summer Time),0.0334,0.0333,0.2255,17.699586899570622
Sun Jun 02 2024 01:00:00 GMT+0100 (British Summer Time),0.0334,0.0341,0.2255,0
Sun Jun 02 2024 02:00:00 GMT+0100 (British Summer Time),0.0334,0.0341,0.2255,2489.6194696899
Sun Jun 02 2024 03:00:00 GMT+0100 (British Summer Time),0.0334,0.0341,0.2256,2492.015017670968
Sun Jun 02 2024 04:00:00 GMT+0100 (British Summer Time),0.0334,0.0341,0.2257,1983.886261291879
Sun Jun 02 2024 05:00:00 GMT+0100 (British Summer Time),0.0334,0.0341,0.2257,0
Sun Jun 02 2024 06:00:00 GMT+0100 (British Summer Time),0.0334,0.0341,0.2257,0
Sun Jun 02 2024 07:00:00 GMT+0100 (British Summer Time),0.0334,0.0341,0.2257,0
Sun Jun 02 2024 08:00:00 GMT+0100 (British Summer Time),0.0334,0.0341,0.2257,0
Sun Jun 02 2024 09:00:00 GMT+0100 (British Summer Time),0.0334,0.0341,0.2259,3496.619775122201
Sun Jun 02 2024 10:00:00 GMT+0100 (British Summer Time),0.0334,0.0341,0.2241,34865.62280142171
Sun Jun 02 2024 11:00:00 GMT+0100 (British Summer Time),0.0334,0.0341,0.224,1515.9830577492269
Sun Jun 02 2024 12:00:00 GMT+0100 (British Summer Time),0.0334,0.0341,0.2236,7502.068884037564
Sun Jun 02 2024 13:00:00 GMT+0100 (British Summer Time),0.0334,0.0341,0.2236,0
Sun Jun 02 2024 14:00:00 GMT+0100 (British Summer Time),0,0.0341,0.2236,0
Sun Jun 02 2024 15:00:00 GMT+0100 (British Summer Time),0,0.0341,0.2236,0
Sun Jun 02 2024 16:00:00 GMT+0100 (British Summer Time),0,0.0341,0.2238,3467.677585998674
Sun Jun 02 2024 17:00:00 GMT+0100 (British Summer Time),0,0.0341,0.2238,0
Sun Jun 02 2024 18:00:00 GMT+0100 (British Summer Time),0,0.0341,0.2238,0
Sun Jun 02 2024 19:00:00 GMT+0100 (British Summer Time),0,0.0341,0.2238,0
Sun Jun 02 2024 20:00:00 GMT+0100 (British Summer Time),0,0.0341,0.2235,5008.0958486555255
Sun Jun 02 2024 21:00:00 GMT+0100 (British Summer Time),0,0.0341,0.2235,0
Sun Jun 02 2024 22:00:00 GMT+0100 (British Summer Time),0,0.0341,0.2235,0
Sun Jun 02 2024 23:00:00 GMT+0100 (British Summer Time),0,0.0341,0.2247,28906.132692264866
Mon Jun 03 2024 00:00:00 GMT+0100 (British Summer Time),0,0.0341,0.2247,0
Mon Jun 03 2024 01:00:00 GMT+0100 (British Summer Time),0,0.0341,0.2269,308751.8150787344
Mon Jun 03 2024 02:00:00 GMT+0100 (British Summer Time),0.0317,0.0336,0.2269,0
