time,underlyingApy1DMA,underlyingApy7DMA,impliedApy,volume
Sun Feb 25 2024 00:00:00 GMT+0000 (Greenwich Mean Time),0.0067,0.0301,0.4323,684170.8521469086
Sun Feb 25 2024 01:00:00 GMT+0000 (Greenwich Mean Time),0.0067,0.0301,0.4402,1098917.9542536205
Sun Feb 25 2024 02:00:00 GMT+0000 (Greenwich Mean Time),0.0067,0.0301,0.4327,1980084.2097978126
Sun Feb 25 2024 03:00:00 GMT+0000 (Greenwich Mean Time),0.0067,0.0301,0.4291,1667864.9236207951
Sun Feb 25 2024 04:00:00 GMT+0000 (Greenwich Mean Time),0.0067,0.0301,0.4354,1408523.1264255303
Sun Feb 25 2024 05:00:00 GMT+0000 (Greenwich Mean Time),0.0067,0.0301,0.4473,1642514.61079181
Sun Feb 25 2024 06:00:00 GMT+0000 (Greenwich Mean Time),0.0067,0.0301,0.4479,684344.4665517146
Sun Feb 25 2024 07:00:00 GMT+0000 (Greenwich Mean Time),0.0067,0.0301,0.4339,3019013.4418052775
Sun Feb 25 2024 08:00:00 GMT+0000 (Greenwich Mean Time),0.0067,0.0301,0.446,1620011.5372562439
Sun Feb 25 2024 09:00:00 GMT+0000 (Greenwich Mean Time),0.0149,0.0269,0.4363,2680492.5898265783
Sun Feb 25 2024 10:00:00 GMT+0000 (Greenwich Mean Time),0.0149,0.0269,0.4427,777315.1089979432
Sun Feb 25 2024 11:00:00 GMT+0000 (Greenwich Mean Time),0.0149,0.0269,0.4464,693417.1875970488
Sun Feb 25 2024 12:00:00 GMT+0000 (Greenwich Mean Time),0.0149,0.0269,0.4549,1076216.4333476983
Sun Feb 25 2024 13:00:00 GMT+0000 (Greenwich Mean Time),0.0149,0.0269,0.4521,1867537.4890284995
Sun Feb 25 2024 14:00:00 GMT+0000 (Greenwich Mean Time),0.0149,0.0269,0.4617,4770122.546866373
Sun Feb 25 2024 15:00:00 GMT+0000 (Greenwich Mean Time),0.0149,0.0269,0.4442,2196642.6189540625
Sun Feb 25 2024 16:00:00 GMT+0000 (Greenwich Mean Time),0.0149,0.0269,0.4295,2094185.7030732618
Sun Feb 25 2024 17:00:00 GMT+0000 (Greenwich Mean Time),0.0149,0.0269,0.4485,4218801.897251145
Sun Feb 25 2024 18:00:00 GMT+0000 (Greenwich Mean Time),0.0149,0.0269,0.4427,1317548.4129774738
Sun Feb 25 2024 19:00:00 GMT+0000 (Greenwich Mean Time),0.0149,0.0269,0.4398,151182.51555464702
Sun Feb 25 2024 20:00:00 GMT+0000 (Greenwich Mean Time),0.0149,0.0269,0.4399,106093.6258573083
Sun Feb 25 2024 21:00:00 GMT+0000 (Greenwich Mean Time),0.0149,0.0269,0.4414,198506.98863662372
Sun Feb 25 2024 22:00:00 GMT+0000 (Greenwich Mean Time),0.0149,0.0269,0.4404,116345.69594015871
Sun Feb 25 2024 23:00:00 GMT+0000 (Greenwich Mean Time),0.0149,0.0269,0.4341,775716.5786212728
Mon Feb 26 2024 00:00:00 GMT+0000 (Greenwich Mean Time),0.0149,0.0269,0.4326,574203.1683318402
Mon Feb 26 2024 01:00:00 GMT+0000 (Greenwich Mean Time),0.0149,0.0269,0.4325,40334.69737530388
Mon Feb 26 2024 02:00:00 GMT+0000 (Greenwich Mean Time),0.0149,0.0269,0.4405,1788846.920493687
Mon Feb 26 2024 03:00:00 GMT+0000 (Greenwich Mean Time),0.0149,0.0269,0.4283,1542420.7678512512
Mon Feb 26 2024 04:00:00 GMT+0000 (Greenwich Mean Time),0.0149,0.0269,0.4228,783729.5050826443
Mon Feb 26 2024 05:00:00 GMT+0000 (Greenwich Mean Time),0.0149,0.0269,0.4219,171432.03579424915
Mon Feb 26 2024 06:00:00 GMT+0000 (Greenwich Mean Time),0.0149,0.0269,0.4267,1510305.6767695379
Mon Feb 26 2024 07:00:00 GMT+0000 (Greenwich Mean Time),0.0149,0.0269,0.4155,2202191.317816411
Mon Feb 26 2024 08:00:00 GMT+0000 (Greenwich Mean Time),0.0149,0.0269,0.4305,3013986.2562265517
Mon Feb 26 2024 09:00:00 GMT+0000 (Greenwich Mean Time),0.0265,0.0254,0.4431,1513487.3520244295
Mon Feb 26 2024 10:00:00 GMT+0000 (Greenwich Mean Time),0.0265,0.0254,0.446,555305.7905406576
Mon Feb 26 2024 11:00:00 GMT+0000 (Greenwich Mean Time),0.0265,0.0254,0.4742,3874803.4689141153
Mon Feb 26 2024 12:00:00 GMT+0000 (Greenwich Mean Time),0.0265,0.0254,0.4513,2817973.4120542505
