time,underlyingApy1DMA,underlyingApy7DMA,impliedApy,volume
Mon Jun 24 2024 04:00:00 GMT+0100 (British Summer Time),0.0143,0.0166,0.1888,0
Mon Jun 24 2024 05:00:00 GMT+0100 (British Summer Time),0.0143,0.0166,0.1888,0
Mon Jun 24 2024 06:00:00 GMT+0100 (British Summer Time),0.0143,0.0166,0.1888,0
Mon Jun 24 2024 07:00:00 GMT+0100 (British Summer Time),0.0143,0.0166,0.1888,0
Mon Jun 24 2024 08:00:00 GMT+0100 (British Summer Time),0.0143,0.0166,0.1888,0
Mon Jun 24 2024 09:00:00 GMT+0100 (British Summer Time),0.0143,0.0166,0.1888,0
Mon Jun 24 2024 10:00:00 GMT+0100 (British Summer Time),0,0.0166,0.1888,0
Mon Jun 24 2024 11:00:00 GMT+0100 (British Summer Time),0.0144,0.0187,0.1888,0
Mon Jun 24 2024 12:00:00 GMT+0100 (British Summer Time),0.0144,0.0187,0.1888,0
Mon Jun 24 2024 13:00:00 GMT+0100 (British Summer Time),0.0144,0.0187,0.1888,0
Mon Jun 24 2024 14:00:00 GMT+0100 (British Summer Time),0.0144,0.0187,0.1888,0
Mon Jun 24 2024 15:00:00 GMT+0100 (British Summer Time),0.0144,0.0187,0.1888,0
Mon Jun 24 2024 16:00:00 GMT+0100 (British Summer Time),0.0144,0.0187,0.1888,0
Mon Jun 24 2024 17:00:00 GMT+0100 (British Summer Time),0.0144,0.0187,0.1888,0
Mon Jun 24 2024 18:00:00 GMT+0100 (British Summer Time),0.0144,0.0187,0.1888,0
Mon Jun 24 2024 19:00:00 GMT+0100 (British Summer Time),0.0144,0.0187,0.1888,0
Mon Jun 24 2024 20:00:00 GMT+0100 (British Summer Time),0.0144,0.0187,0.1888,0
Mon Jun 24 2024 21:00:00 GMT+0100 (British Summer Time),0.0144,0.0187,0.1888,0
Mon Jun 24 2024 22:00:00 GMT+0100 (British Summer Time),0.0144,0.0187,0.1888,0
Mon Jun 24 2024 23:00:00 GMT+0100 (British Summer Time),0.0144,0.0187,0.1888,0
Tue Jun 25 2024 00:00:00 GMT+0100 (British Summer Time),0.0144,0.0187,0.1888,0
Tue Jun 25 2024 01:00:00 GMT+0100 (British Summer Time),0.0144,0.0187,0.1888,0
Tue Jun 25 2024 02:00:00 GMT+0100 (British Summer Time),0.0144,0.0187,0.1892,716.7414906846627
Tue Jun 25 2024 03:00:00 GMT+0100 (British Summer Time),0.0144,0.0187,0.2018,50358.72058594154
Tue Jun 25 2024 04:00:00 GMT+0100 (British Summer Time),0.0144,0.0129,0.2039,3561.7625800239252
Tue Jun 25 2024 05:00:00 GMT+0100 (British Summer Time),0.0144,0.0129,0.1913,23625.803056540044
Tue Jun 25 2024 06:00:00 GMT+0100 (British Summer Time),0.0144,0.0129,0.2051,24097.09779114253
Tue Jun 25 2024 07:00:00 GMT+0100 (British Summer Time),0.0144,0.0129,0.2224,29634.908475222102
Tue Jun 25 2024 08:00:00 GMT+0100 (British Summer Time),0.0144,0.0129,0.2224,0
