time,underlyingApy1DMA,underlyingApy7DMA,impliedApy,volume
Mon Jun 24 2024 04:00:00 GMT+0100 (British Summer Time),0.0376,0.0266,0.1888,0
Mon Jun 24 2024 05:00:00 GMT+0100 (British Summer Time),0.0376,0.0266,0.1888,0
Mon Jun 24 2024 06:00:00 GMT+0100 (British Summer Time),0.0395,0.0264,0.1888,0
Mon Jun 24 2024 07:00:00 GMT+0100 (British Summer Time),0.0395,0.0264,0.1888,0
Mon Jun 24 2024 08:00:00 GMT+0100 (British Summer Time),0.0395,0.0264,0.1888,0
Mon Jun 24 2024 09:00:00 GMT+0100 (British Summer Time),0.0395,0.0264,0.1888,0
Mon Jun 24 2024 10:00:00 GMT+0100 (British Summer Time),0.0395,0.0264,0.1888,0
Mon Jun 24 2024 11:00:00 GMT+0100 (British Summer Time),0.0395,0.0264,0.1888,0
Mon Jun 24 2024 12:00:00 GMT+0100 (British Summer Time),0.0193,0.0264,0.1888,0
Mon Jun 24 2024 13:00:00 GMT+0100 (British Summer Time),0.0193,0.0264,0.1888,0
Mon Jun 24 2024 14:00:00 GMT+0100 (British Summer Time),0.0176,0.0264,0.1888,0
Mon Jun 24 2024 15:00:00 GMT+0100 (British Summer Time),0.0176,0.0264,0.1888,0
Mon Jun 24 2024 16:00:00 GMT+0100 (British Summer Time),0.0176,0.0264,0.1888,0
Mon Jun 24 2024 17:00:00 GMT+0100 (British Summer Time),0.0176,0.0264,0.1888,0
Mon Jun 24 2024 18:00:00 GMT+0100 (British Summer Time),0.0176,0.0264,0.1888,0
Mon Jun 24 2024 19:00:00 GMT+0100 (British Summer Time),0.0323,0.0265,0.1888,0
Mon Jun 24 2024 20:00:00 GMT+0100 (British Summer Time),0.0323,0.0265,0.1888,0
Mon Jun 24 2024 21:00:00 GMT+0100 (British Summer Time),0.0323,0.0265,0.1888,0
Mon Jun 24 2024 22:00:00 GMT+0100 (British Summer Time),0.0238,0.0265,0.1888,0
Mon Jun 24 2024 23:00:00 GMT+0100 (British Summer Time),0.0238,0.0265,0.1888,0
Tue Jun 25 2024 00:00:00 GMT+0100 (British Summer Time),0.022,0.0265,0.1888,0
Tue Jun 25 2024 01:00:00 GMT+0100 (British Summer Time),0.0201,0.0265,0.1888,0
Tue Jun 25 2024 02:00:00 GMT+0100 (British Summer Time),0.0201,0.0265,0.1888,0
Tue Jun 25 2024 03:00:00 GMT+0100 (British Summer Time),0.0182,0.0265,0.1854,10841.259816962985
Tue Jun 25 2024 04:00:00 GMT+0100 (British Summer Time),0.0163,0.0265,0.1854,0
Tue Jun 25 2024 05:00:00 GMT+0100 (British Summer Time),0.0163,0.0265,0.143,418493.5297750217
Tue Jun 25 2024 06:00:00 GMT+0100 (British Summer Time),0.0145,0.0245,0.143,0
Tue Jun 25 2024 07:00:00 GMT+0100 (British Summer Time),0.0145,0.0245,0.1462,75798.180772377
Tue Jun 25 2024 08:00:00 GMT+0100 (British Summer Time),0.0285,0.0266,0.1464,832.263809694855
Tue Jun 25 2024 09:00:00 GMT+0100 (British Summer Time),0.0285,0.0266,0.1478,9095.779108778228
Tue Jun 25 2024 10:00:00 GMT+0100 (British Summer Time),0.0285,0.0266,0.1478,0
Tue Jun 25 2024 11:00:00 GMT+0100 (British Summer Time),0.0285,0.0266,0.1514,78934.92199444957
Tue Jun 25 2024 12:00:00 GMT+0100 (British Summer Time),0.0285,0.0266,0.1461,58807.36186269942
Tue Jun 25 2024 13:00:00 GMT+0100 (British Summer Time),0.0285,0.0266,0.1491,15370.159435431477
Tue Jun 25 2024 14:00:00 GMT+0100 (British Summer Time),0.0285,0.0266,0.1491,0
Tue Jun 25 2024 15:00:00 GMT+0100 (British Summer Time),0.0285,0.0266,0.1399,63696.25538027256
