time,underlyingApy1DMA,underlyingApy7DMA,impliedApy,volume
Tue Jun 18 2024 07:00:00 GMT+0100 (British Summer Time),0.0273,0.0265,0.1754,0
Tue Jun 18 2024 08:00:00 GMT+0100 (British Summer Time),0.0273,0.0265,0.1754,0
Tue Jun 18 2024 09:00:00 GMT+0100 (British Summer Time),0.0273,0.0265,0.1754,0
Tue Jun 18 2024 10:00:00 GMT+0100 (British Summer Time),0.0273,0.0265,0.1754,0
Tue Jun 18 2024 11:00:00 GMT+0100 (British Summer Time),0.0273,0.026,0.1754,0
Tue Jun 18 2024 12:00:00 GMT+0100 (British Summer Time),0.0273,0.0257,0.1754,0
Tue Jun 18 2024 13:00:00 GMT+0100 (British Summer Time),0.0273,0.0257,0.1754,0
Tue Jun 18 2024 14:00:00 GMT+0100 (British Summer Time),0.0273,0.0255,0.1754,0
Tue Jun 18 2024 15:00:00 GMT+0100 (British Summer Time),0.0273,0.0255,0.1685,7379.830213094371
Tue Jun 18 2024 16:00:00 GMT+0100 (British Summer Time),0.0273,0.0252,0.1685,0
Tue Jun 18 2024 17:00:00 GMT+0100 (British Summer Time),0.0273,0.0249,0.1685,0
Tue Jun 18 2024 18:00:00 GMT+0100 (British Summer Time),0.0273,0.0249,0.1491,20500.819425110236
Tue Jun 18 2024 19:00:00 GMT+0100 (British Summer Time),0.0285,0.0269,0.1491,0
Tue Jun 18 2024 20:00:00 GMT+0100 (British Summer Time),0.0285,0.0266,0.1491,0
Tue Jun 18 2024 21:00:00 GMT+0100 (British Summer Time),0.0285,0.0266,0.1491,4.416810710993472
Tue Jun 18 2024 22:00:00 GMT+0100 (British Summer Time),0.0285,0.0263,0.1491,0
Tue Jun 18 2024 23:00:00 GMT+0100 (British Summer Time),0.0285,0.026,0.1491,73.34985336997048
Wed Jun 19 2024 00:00:00 GMT+0100 (British Summer Time),0.0285,0.026,0.1491,710.8579954726557
Wed Jun 19 2024 01:00:00 GMT+0100 (British Summer Time),0.0285,0.026,0.1491,0
Wed Jun 19 2024 02:00:00 GMT+0100 (British Summer Time),0.0285,0.026,0.1491,0
Wed Jun 19 2024 03:00:00 GMT+0100 (British Summer Time),0.0285,0.0255,0.1491,0
Wed Jun 19 2024 04:00:00 GMT+0100 (British Summer Time),0.0285,0.0252,0.1491,0
Wed Jun 19 2024 05:00:00 GMT+0100 (British Summer Time),0.0285,0.0252,0.1491,0
Wed Jun 19 2024 06:00:00 GMT+0100 (British Summer Time),0.015,0.025,0.1491,0
Wed Jun 19 2024 07:00:00 GMT+0100 (British Summer Time),0.015,0.025,0.1491,107.69107764640508
Wed Jun 19 2024 08:00:00 GMT+0100 (British Summer Time),0.0309,0.0271,0.1422,7372.312195979165
Wed Jun 19 2024 09:00:00 GMT+0100 (British Summer Time),0.0309,0.0268,0.1422,0
Wed Jun 19 2024 10:00:00 GMT+0100 (British Summer Time),0.0309,0.0268,0.1421,9.401099134781417
Wed Jun 19 2024 11:00:00 GMT+0100 (British Summer Time),0.0309,0.0268,0.1421,0
Wed Jun 19 2024 12:00:00 GMT+0100 (British Summer Time),0.0309,0.0264,0.1421,0
Wed Jun 19 2024 13:00:00 GMT+0100 (British Summer Time),0.0309,0.0264,0.1421,0
Wed Jun 19 2024 14:00:00 GMT+0100 (British Summer Time),0.0309,0.0261,0.1058,35445.709875323555
Wed Jun 19 2024 15:00:00 GMT+0100 (British Summer Time),0.0309,0.0261,0.1058,0
Wed Jun 19 2024 16:00:00 GMT+0100 (British Summer Time),0.0309,0.0259,0.1058,0
Wed Jun 19 2024 17:00:00 GMT+0100 (British Summer Time),0.0309,0.0256,0.1058,0
Wed Jun 19 2024 18:00:00 GMT+0100 (British Summer Time),0.0309,0.0256,0.1058,0
Wed Jun 19 2024 19:00:00 GMT+0100 (British Summer Time),0.0156,0.0253,0.1058,0
Wed Jun 19 2024 20:00:00 GMT+0100 (British Summer Time),0.0156,0.0251,0.1058,0
Wed Jun 19 2024 21:00:00 GMT+0100 (British Summer Time),0.0301,0.0272,0.1058,0
Wed Jun 19 2024 22:00:00 GMT+0100 (British Summer Time),0.0301,0.0269,0.1058,0
