time,underlyingApy1DMA,underlyingApy7DMA,impliedApy,volume
Sun Apr 28 2024 01:00:00 GMT+0100 (British Summer Time),0.006,0.0094,0.3046,1951387.5545644797
Sun Apr 28 2024 02:00:00 GMT+0100 (British Summer Time),0.006,0.0094,0.3046,23053.11920304558
Sun Apr 28 2024 03:00:00 GMT+0100 (British Summer Time),0.006,0.0094,0.3051,82167.91044505086
Sun Apr 28 2024 04:00:00 GMT+0100 (British Summer Time),0.006,0.0081,0.3088,1254727.5055476432
Sun Apr 28 2024 05:00:00 GMT+0100 (British Summer Time),0.0057,0.0089,0.3072,47134.74394262311
Sun Apr 28 2024 06:00:00 GMT+0100 (British Summer Time),0.0057,0.0089,0.3041,517231.1786928694
Sun Apr 28 2024 07:00:00 GMT+0100 (British Summer Time),0.0057,0.0089,0.2969,1214845.8536858368
Sun Apr 28 2024 08:00:00 GMT+0100 (British Summer Time),0.0057,0.0089,0.2988,274766.7477125027
Sun Apr 28 2024 09:00:00 GMT+0100 (British Summer Time),0.0057,0.0089,0.2979,531664.2965616592
Sun Apr 28 2024 10:00:00 GMT+0100 (British Summer Time),0.0057,0.0089,0.2985,9222.29594133554
Sun Apr 28 2024 11:00:00 GMT+0100 (British Summer Time),0.0057,0.0089,0.2995,307650.9486749823
Sun Apr 28 2024 12:00:00 GMT+0100 (British Summer Time),0.0057,0.0089,0.3015,254292.9100176513
Sun Apr 28 2024 13:00:00 GMT+0100 (British Summer Time),0.0057,0.0089,0.2889,1891653.8316918556
Sun Apr 28 2024 14:00:00 GMT+0100 (British Summer Time),0.0057,0.0089,0.2889,793870.1482305957
Sun Apr 28 2024 15:00:00 GMT+0100 (British Summer Time),0.0057,0.0089,0.2842,294792.56898770947
Sun Apr 28 2024 16:00:00 GMT+0100 (British Summer Time),0.0057,0.0089,0.284,207925.52751472895
Sun Apr 28 2024 17:00:00 GMT+0100 (British Summer Time),0.0057,0.0089,0.2879,530166.5554047371
Sun Apr 28 2024 18:00:00 GMT+0100 (British Summer Time),0.0057,0.0089,0.2935,965417.1872148253
Sun Apr 28 2024 19:00:00 GMT+0100 (British Summer Time),0.0057,0.0089,0.2955,361701.11745793774
Sun Apr 28 2024 20:00:00 GMT+0100 (British Summer Time),0.0057,0.0089,0.2964,824674.9500909552
Sun Apr 28 2024 21:00:00 GMT+0100 (British Summer Time),0.0057,0.0089,0.2963,206971.96162347656
Sun Apr 28 2024 22:00:00 GMT+0100 (British Summer Time),0.0057,0.0089,0.2957,167444.96098376397
Sun Apr 28 2024 23:00:00 GMT+0100 (British Summer Time),0.0057,0.0089,0.2949,368708.992353396
Mon Apr 29 2024 00:00:00 GMT+0100 (British Summer Time),0.0057,0.0089,0.2949,49789.55556343695
Mon Apr 29 2024 01:00:00 GMT+0100 (British Summer Time),0.0057,0.0089,0.2949,91659.7190237225
Mon Apr 29 2024 02:00:00 GMT+0100 (British Summer Time),0.0057,0.0089,0.2909,649921.0044568663
Mon Apr 29 2024 03:00:00 GMT+0100 (British Summer Time),0.0057,0.0089,0.2926,227535.6949553423
Mon Apr 29 2024 04:00:00 GMT+0100 (British Summer Time),0.0057,0.0061,0.2926,238236.42032373432
Mon Apr 29 2024 05:00:00 GMT+0100 (British Summer Time),0.0059,0.007,0.2905,77944.31854981979
Mon Apr 29 2024 06:00:00 GMT+0100 (British Summer Time),0.0059,0.007,0.2874,638060.1381337222
Mon Apr 29 2024 07:00:00 GMT+0100 (British Summer Time),0.0059,0.007,0.2872,77989.10210294099
Mon Apr 29 2024 08:00:00 GMT+0100 (British Summer Time),0.0059,0.007,0.2858,360174.59171584336
Mon Apr 29 2024 09:00:00 GMT+0100 (British Summer Time),0.0059,0.007,0.2849,344527.0173019256
Mon Apr 29 2024 10:00:00 GMT+0100 (British Summer Time),0.0059,0.007,0.285,33568.14350816796
Mon Apr 29 2024 11:00:00 GMT+0100 (British Summer Time),0.0059,0.007,0.2871,511300.36277663405
Mon Apr 29 2024 12:00:00 GMT+0100 (British Summer Time),0.0059,0.007,0.2882,139244.37231151818
Mon Apr 29 2024 13:00:00 GMT+0100 (British Summer Time),0.0059,0.007,0.287,155969.0036842971
Mon Apr 29 2024 14:00:00 GMT+0100 (British Summer Time),0.0059,0.007,0.2872,84680.08165193061
Mon Apr 29 2024 15:00:00 GMT+0100 (British Summer Time),0.0059,0.007,0.2815,755852.2690825711
Mon Apr 29 2024 16:00:00 GMT+0100 (British Summer Time),0.0059,0.007,0.2784,491893.65277945145
Mon Apr 29 2024 17:00:00 GMT+0100 (British Summer Time),0.0059,0.007,0.2667,1974315.0609296616
Mon Apr 29 2024 18:00:00 GMT+0100 (British Summer Time),0.0059,0.007,0.2374,6781589.711603101
Mon Apr 29 2024 19:00:00 GMT+0100 (British Summer Time),0.0059,0.007,0.2232,5394113.22785428
Mon Apr 29 2024 20:00:00 GMT+0100 (British Summer Time),0.0059,0.007,0.2337,3286102.316141248
Mon Apr 29 2024 21:00:00 GMT+0100 (British Summer Time),0.0059,0.007,0.2328,3766052.8594286204
Mon Apr 29 2024 22:00:00 GMT+0100 (British Summer Time),0.0059,0.007,0.2274,742291.1674198917
Mon Apr 29 2024 23:00:00 GMT+0100 (British Summer Time),0.0059,0.007,0.2264,357624.57613588613
Tue Apr 30 2024 00:00:00 GMT+0100 (British Summer Time),0.0059,0.007,0.2253,706005.9577809467
Tue Apr 30 2024 01:00:00 GMT+0100 (British Summer Time),0.0059,0.007,0.2213,483633.7076153848
Tue Apr 30 2024 02:00:00 GMT+0100 (British Summer Time),0.0059,0.007,0.2299,1280863.7622049407
Tue Apr 30 2024 03:00:00 GMT+0100 (British Summer Time),0.0059,0.007,0.2305,1131536.256744599
Tue Apr 30 2024 04:00:00 GMT+0100 (British Summer Time),0.0059,0.005,0.23,282844.9806688046
Tue Apr 30 2024 05:00:00 GMT+0100 (British Summer Time),0.0064,0.0059,0.23,519929.9112053172
Tue Apr 30 2024 06:00:00 GMT+0100 (British Summer Time),0.0064,0.0059,0.2309,286406.8490781822
