time,underlyingApy1DMA,underlyingApy7DMA,impliedApy,volume
Sun Apr 28 2024 01:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.3374,2404.585221117611
Sun Apr 28 2024 02:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.3366,115913.5029714398
Sun Apr 28 2024 03:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.3366,525.2461096885794
Sun Apr 28 2024 04:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.3375,204459.758991723
Sun Apr 28 2024 05:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.3376,20329.733954954965
Sun Apr 28 2024 06:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.3377,22636.310952582113
Sun Apr 28 2024 07:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.3379,42921.089898927574
Sun Apr 28 2024 08:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.3378,36611.05737654634
Sun Apr 28 2024 09:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.3375,40866.70715550416
Sun Apr 28 2024 10:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.3375,3460.0116413608766
Sun Apr 28 2024 11:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.3374,17324.411851145876
Sun Apr 28 2024 12:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.3374,4521.0841528906085
Sun Apr 28 2024 13:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.3373,15866.768878530052
Sun Apr 28 2024 14:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.3373,303.12978902926767
Sun Apr 28 2024 15:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.3373,0
Sun Apr 28 2024 16:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.3373,11118.05407817785
Sun Apr 28 2024 17:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.3373,10211.881195703667
Sun Apr 28 2024 18:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.335,1020326.3459798214
Sun Apr 28 2024 19:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.3349,68440.38578506921
Sun Apr 28 2024 20:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.332,439819.3323203145
Sun Apr 28 2024 21:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.3322,28450.33033367251
Sun Apr 28 2024 22:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.332,24641.407091391768
Sun Apr 28 2024 23:00:00 GMT+0100 (British Summer Time),0.0213,0.0187,0.332,3634.556191075734
Mon Apr 29 2024 00:00:00 GMT+0100 (British Summer Time),0.0216,0.0218,0.3326,83683.60631063783
Mon Apr 29 2024 01:00:00 GMT+0100 (British Summer Time),0.0216,0.0218,0.3307,445229.4816459019
Mon Apr 29 2024 02:00:00 GMT+0100 (British Summer Time),0.0216,0.0218,0.3308,124741.57572595123
Mon Apr 29 2024 03:00:00 GMT+0100 (British Summer Time),0.0216,0.0218,0.3307,11616.989610499322
Mon Apr 29 2024 04:00:00 GMT+0100 (British Summer Time),0.0216,0.0218,0.3307,5020.264884767501
Mon Apr 29 2024 05:00:00 GMT+0100 (British Summer Time),0.0216,0.0218,0.3299,142187.38365896652
Mon Apr 29 2024 06:00:00 GMT+0100 (British Summer Time),0.0216,0.0218,0.3293,96727.3983666925
Mon Apr 29 2024 07:00:00 GMT+0100 (British Summer Time),0.0216,0.0218,0.3285,121441.68719462033
Mon Apr 29 2024 08:00:00 GMT+0100 (British Summer Time),0.0216,0.0218,0.3279,76650.09819989551
Mon Apr 29 2024 09:00:00 GMT+0100 (British Summer Time),0.0216,0.0218,0.3284,60258.19839804736
Mon Apr 29 2024 10:00:00 GMT+0100 (British Summer Time),0.0216,0.0218,0.3276,105256.65658362336
