time,underlyingApy1DMA,underlyingApy7DMA,impliedApy,volume
Sun Apr 28 2024 01:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.4341,4237.318812805026
Sun Apr 28 2024 02:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.4331,35898.82631912527
Sun Apr 28 2024 03:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.4423,218092.08253924202
Sun Apr 28 2024 04:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.4393,71036.78103113406
Sun Apr 28 2024 05:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.4401,17339.370293798063
Sun Apr 28 2024 06:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.4401,0
Sun Apr 28 2024 07:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.4336,232650.92039410523
Sun Apr 28 2024 08:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.4339,6374.903216396437
Sun Apr 28 2024 09:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.4342,28674.296543285007
Sun Apr 28 2024 10:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.4364,173501.90910600947
Sun Apr 28 2024 11:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.4374,24583.938699381644
Sun Apr 28 2024 12:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.4374,6486.999414425234
Sun Apr 28 2024 13:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.4401,63861.777878855726
Sun Apr 28 2024 14:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.4373,82017.33067394423
Sun Apr 28 2024 15:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.4369,145751.70164201644
Sun Apr 28 2024 16:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.4356,31209.83620326819
Sun Apr 28 2024 17:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.4375,71865.38805100924
Sun Apr 28 2024 18:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.4131,1152651.2527491846
Sun Apr 28 2024 19:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.4293,1056870.6412695916
Sun Apr 28 2024 20:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.4386,535953.6959552615
Sun Apr 28 2024 21:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.4377,56988.45659197534
Sun Apr 28 2024 22:00:00 GMT+0100 (British Summer Time),0.0213,0.0221,0.4144,650874.8339168053
Sun Apr 28 2024 23:00:00 GMT+0100 (British Summer Time),0.0213,0.0187,0.4113,72344.00227537932
