time,underlyingApy1DMA,underlyingApy7DMA,impliedApy,volume
Sun Apr 28 2024 01:00:00 GMT+0100 (British Summer Time),0.002,0.0348,0.4267,788.8860895360589
Sun Apr 28 2024 02:00:00 GMT+0100 (British Summer Time),0.002,0.0348,0.427,0
Sun Apr 28 2024 03:00:00 GMT+0100 (British Summer Time),0.002,0.0348,0.427,0
Sun Apr 28 2024 04:00:00 GMT+0100 (British Summer Time),0.002,0.0348,0.427,0
Sun Apr 28 2024 05:00:00 GMT+0100 (British Summer Time),0.002,0.0348,0.4273,827.0947268981605
Sun Apr 28 2024 06:00:00 GMT+0100 (British Summer Time),0.002,0.0348,0.4273,0
Sun Apr 28 2024 07:00:00 GMT+0100 (British Summer Time),0.0047,0.0351,0.4404,31568.81942826733
Sun Apr 28 2024 08:00:00 GMT+0100 (British Summer Time),0.0047,0.0351,0.4404,0
Sun Apr 28 2024 09:00:00 GMT+0100 (British Summer Time),0.0047,0.0351,0.4404,5391.091859607773
Sun Apr 28 2024 10:00:00 GMT+0100 (British Summer Time),0.0047,0.0351,0.437,13793.73001961728
Sun Apr 28 2024 11:00:00 GMT+0100 (British Summer Time),0.0047,0.0351,0.4393,5587.224797868158
Sun Apr 28 2024 12:00:00 GMT+0100 (British Summer Time),0.0047,0.0351,0.4404,2607.7906167137216
Sun Apr 28 2024 13:00:00 GMT+0100 (British Summer Time),0.0047,0.0351,0.4405,17364.86507987902
Sun Apr 28 2024 14:00:00 GMT+0100 (British Summer Time),0.0047,0.0351,0.4404,30.685820417389106
Sun Apr 28 2024 15:00:00 GMT+0100 (British Summer Time),0.0046,0.0351,0.4404,0
Sun Apr 28 2024 16:00:00 GMT+0100 (British Summer Time),0.0047,0.0351,0.4424,10667.325007399486
Sun Apr 28 2024 17:00:00 GMT+0100 (British Summer Time),0.0047,0.0351,0.4412,159916.95242987672
Sun Apr 28 2024 18:00:00 GMT+0100 (British Summer Time),0.0047,0.0351,0.4412,0
Sun Apr 28 2024 19:00:00 GMT+0100 (British Summer Time),0.0047,0.0351,0.4407,1321.3988496073423
Sun Apr 28 2024 20:00:00 GMT+0100 (British Summer Time),0.0047,0.0351,0.438,500879.93297769746
Sun Apr 28 2024 21:00:00 GMT+0100 (British Summer Time),0.0047,0.0351,0.4389,2128.293183029827
Sun Apr 28 2024 22:00:00 GMT+0100 (British Summer Time),0.0047,0.0351,0.4386,43470.37982794063
Sun Apr 28 2024 23:00:00 GMT+0100 (British Summer Time),0.0047,0.0351,0.4387,4860.048666421549
Mon Apr 29 2024 00:00:00 GMT+0100 (British Summer Time),0.0046,0.0351,0.4387,0
Mon Apr 29 2024 01:00:00 GMT+0100 (British Summer Time),0.0047,0.0351,0.4384,490.9888576194531
Mon Apr 29 2024 02:00:00 GMT+0100 (British Summer Time),0.0047,0.0351,0.4383,30922.24772759583
Mon Apr 29 2024 03:00:00 GMT+0100 (British Summer Time),0.0047,0.0351,0.4383,0
Mon Apr 29 2024 04:00:00 GMT+0100 (British Summer Time),0.0047,0.0351,0.4383,48899.197454379304
Mon Apr 29 2024 05:00:00 GMT+0100 (British Summer Time),0.0047,0.0351,0.4382,28613.81311039635
Mon Apr 29 2024 06:00:00 GMT+0100 (British Summer Time),0.0047,0.0351,0.4412,63788.631101375555
Mon Apr 29 2024 07:00:00 GMT+0100 (British Summer Time),0.0023,0.0346,0.4412,0
Mon Apr 29 2024 08:00:00 GMT+0100 (British Summer Time),0.0023,0.0346,0.4412,0
Mon Apr 29 2024 09:00:00 GMT+0100 (British Summer Time),0.0023,0.0346,0.4512,23141.16060352295
Mon Apr 29 2024 10:00:00 GMT+0100 (British Summer Time),0.0023,0.0346,0.4734,51496.209957741776
Mon Apr 29 2024 11:00:00 GMT+0100 (British Summer Time),0.0023,0.0346,0.4734,0
Mon Apr 29 2024 12:00:00 GMT+0100 (British Summer Time),0.0023,0.0346,0.4792,13661.296627763282
Mon Apr 29 2024 13:00:00 GMT+0100 (British Summer Time),0.0023,0.0346,0.453,60833.89701214997
Mon Apr 29 2024 14:00:00 GMT+0100 (British Summer Time),0.0023,0.0346,0.453,0
