time,underlyingApy1DMA,underlyingApy7DMA,impliedApy,volume
Sun Apr 28 2024 01:00:00 GMT+0100 (British Summer Time),0.023,0.0273,0.4488,212830.67475222077
Sun Apr 28 2024 02:00:00 GMT+0100 (British Summer Time),0.0265,0.0278,0.4564,3010714.4696348393
Sun Apr 28 2024 03:00:00 GMT+0100 (British Summer Time),0.0265,0.0278,0.457,458959.09483050497
Sun Apr 28 2024 04:00:00 GMT+0100 (British Summer Time),0.0229,0.0278,0.4478,364576.99990108836
Sun Apr 28 2024 05:00:00 GMT+0100 (British Summer Time),0.0261,0.0282,0.4495,96350.83443812944
Sun Apr 28 2024 06:00:00 GMT+0100 (British Summer Time),0.0227,0.0282,0.4538,227574.36192626192
Sun Apr 28 2024 07:00:00 GMT+0100 (British Summer Time),0.026,0.0287,0.4512,1048354.3047716494
Sun Apr 28 2024 08:00:00 GMT+0100 (British Summer Time),0.026,0.0287,0.4613,864594.3281161265
Sun Apr 28 2024 09:00:00 GMT+0100 (British Summer Time),0.026,0.0264,0.4431,840055.7809201684
Sun Apr 28 2024 10:00:00 GMT+0100 (British Summer Time),0.026,0.0264,0.4422,682407.2186628236
Sun Apr 28 2024 11:00:00 GMT+0100 (British Summer Time),0.026,0.0264,0.4421,404085.54789141275
Sun Apr 28 2024 12:00:00 GMT+0100 (British Summer Time),0.026,0.0264,0.4368,614264.5017937439
Sun Apr 28 2024 13:00:00 GMT+0100 (British Summer Time),0.026,0.0264,0.4407,191367.6988894397
Sun Apr 28 2024 14:00:00 GMT+0100 (British Summer Time),0.026,0.0264,0.4232,655269.0762210182
Sun Apr 28 2024 15:00:00 GMT+0100 (British Summer Time),0.026,0.0255,0.4121,1523850.0776233491
Sun Apr 28 2024 16:00:00 GMT+0100 (British Summer Time),0.026,0.0255,0.4192,363872.0677876795
Sun Apr 28 2024 17:00:00 GMT+0100 (British Summer Time),0.026,0.0255,0.4182,129181.28045894793
Sun Apr 28 2024 18:00:00 GMT+0100 (British Summer Time),0.026,0.0255,0.4012,1323694.3347692918
Sun Apr 28 2024 19:00:00 GMT+0100 (British Summer Time),0.013,0.0251,0.3979,368739.25718321744
Sun Apr 28 2024 20:00:00 GMT+0100 (British Summer Time),0.0262,0.027,0.397,320261.66082179983
Sun Apr 28 2024 21:00:00 GMT+0100 (British Summer Time),0.0262,0.0265,0.4257,1622650.8676900477
Sun Apr 28 2024 22:00:00 GMT+0100 (British Summer Time),0.0229,0.0265,0.4231,168571.35156519894
Sun Apr 28 2024 23:00:00 GMT+0100 (British Summer Time),0.0229,0.0265,0.4138,356471.34328003414
Mon Apr 29 2024 00:00:00 GMT+0100 (British Summer Time),0.0229,0.0265,0.4181,179445.24188754783
Mon Apr 29 2024 01:00:00 GMT+0100 (British Summer Time),0.0229,0.026,0.4132,236846.7347031547
Mon Apr 29 2024 02:00:00 GMT+0100 (British Summer Time),0.0194,0.026,0.3984,1182854.6318214783
Mon Apr 29 2024 03:00:00 GMT+0100 (British Summer Time),0.0194,0.026,0.3978,275550.3731310958
Mon Apr 29 2024 04:00:00 GMT+0100 (British Summer Time),0.0194,0.0255,0.3908,222862.37641817296
Mon Apr 29 2024 05:00:00 GMT+0100 (British Summer Time),0.0163,0.0255,0.3913,38666.33638125376
Mon Apr 29 2024 06:00:00 GMT+0100 (British Summer Time),0.0163,0.0255,0.3902,107774.31998349357
Mon Apr 29 2024 07:00:00 GMT+0100 (British Summer Time),0.013,0.025,0.3895,64403.921244544385
Mon Apr 29 2024 08:00:00 GMT+0100 (British Summer Time),0.0275,0.0271,0.399,386942.7972795844
Mon Apr 29 2024 09:00:00 GMT+0100 (British Summer Time),0.0275,0.0266,0.3998,107560.5589506336
Mon Apr 29 2024 10:00:00 GMT+0100 (British Summer Time),0.0275,0.0266,0.4021,139509.6562773919
Mon Apr 29 2024 11:00:00 GMT+0100 (British Summer Time),0.0275,0.0266,0.3992,356356.05674833595
Mon Apr 29 2024 12:00:00 GMT+0100 (British Summer Time),0.0275,0.0266,0.3876,622589.3471027028
Mon Apr 29 2024 13:00:00 GMT+0100 (British Summer Time),0.0275,0.0266,0.3793,336750.55546149344
Mon Apr 29 2024 14:00:00 GMT+0100 (British Summer Time),0.0275,0.0266,0.3892,391140.2099059578
Mon Apr 29 2024 15:00:00 GMT+0100 (British Summer Time),0.0275,0.0266,0.3861,914043.146451883
Mon Apr 29 2024 16:00:00 GMT+0100 (British Summer Time),0.0275,0.0266,0.3794,1168679.1826890437
Mon Apr 29 2024 17:00:00 GMT+0100 (British Summer Time),0.0275,0.0266,0.3308,1674164.109422902
Mon Apr 29 2024 18:00:00 GMT+0100 (British Summer Time),0.0275,0.0266,0.3,3687775.57891644
Mon Apr 29 2024 19:00:00 GMT+0100 (British Summer Time),0.0275,0.0266,0.3538,3046310.517704229
Mon Apr 29 2024 20:00:00 GMT+0100 (British Summer Time),0.0277,0.0286,0.343,1086079.6944731767
Mon Apr 29 2024 21:00:00 GMT+0100 (British Summer Time),0.0277,0.0286,0.3344,2466949.598960568
Mon Apr 29 2024 22:00:00 GMT+0100 (British Summer Time),0.0277,0.0264,0.3421,548464.7722627276
Mon Apr 29 2024 23:00:00 GMT+0100 (British Summer Time),0.0277,0.0264,0.3331,516003.2803660029
Tue Apr 30 2024 00:00:00 GMT+0100 (British Summer Time),0.0277,0.0259,0.33,1582902.2639271459
Tue Apr 30 2024 01:00:00 GMT+0100 (British Summer Time),0.0277,0.0259,0.3206,282665.64223964413
Tue Apr 30 2024 02:00:00 GMT+0100 (British Summer Time),0.0277,0.0259,0.3209,340635.07241354644
Tue Apr 30 2024 03:00:00 GMT+0100 (British Summer Time),0.0277,0.0259,0.308,1304889.9181367415
Tue Apr 30 2024 04:00:00 GMT+0100 (British Summer Time),0.0277,0.0255,0.3161,530797.2247678923
Tue Apr 30 2024 05:00:00 GMT+0100 (British Summer Time),0.0277,0.0255,0.3257,280781.0459027112
Tue Apr 30 2024 06:00:00 GMT+0100 (British Summer Time),0.0277,0.0255,0.3307,580022.2841329305
Tue Apr 30 2024 07:00:00 GMT+0100 (British Summer Time),0.0277,0.0255,0.3383,315211.3736748534
Tue Apr 30 2024 08:00:00 GMT+0100 (British Summer Time),0.0132,0.0255,0.3471,396928.8137694483
Tue Apr 30 2024 09:00:00 GMT+0100 (British Summer Time),0.0263,0.0274,0.3448,150062.79205882992
Tue Apr 30 2024 10:00:00 GMT+0100 (British Summer Time),0.0263,0.0274,0.3358,451812.1679126713
Tue Apr 30 2024 11:00:00 GMT+0100 (British Summer Time),0.0263,0.0274,0.3307,347209.19933865906
Tue Apr 30 2024 12:00:00 GMT+0100 (British Summer Time),0.0263,0.0274,0.3393,242097.72185512463
Tue Apr 30 2024 13:00:00 GMT+0100 (British Summer Time),0.0263,0.0274,0.3335,230660.06333711528
Tue Apr 30 2024 14:00:00 GMT+0100 (British Summer Time),0.0263,0.0274,0.3271,400879.95959645306
Tue Apr 30 2024 15:00:00 GMT+0100 (British Summer Time),0.0263,0.0274,0.3409,979854.1734471602
Tue Apr 30 2024 16:00:00 GMT+0100 (British Summer Time),0.0263,0.0254,0.3272,534666.3085683262
Tue Apr 30 2024 17:00:00 GMT+0100 (British Summer Time),0.0263,0.0254,0.3442,1211005.4358915433
Tue Apr 30 2024 18:00:00 GMT+0100 (British Summer Time),0.0263,0.0254,0.3296,731381.0292730755
Tue Apr 30 2024 19:00:00 GMT+0100 (British Summer Time),0.0263,0.0254,0.3374,268414.10027130065
Tue Apr 30 2024 20:00:00 GMT+0100 (British Summer Time),0.0129,0.0254,0.3512,422132.6511248031
Tue Apr 30 2024 21:00:00 GMT+0100 (British Summer Time),0.0129,0.0254,0.3636,691519.7723035634
Tue Apr 30 2024 22:00:00 GMT+0100 (British Summer Time),0.027,0.0275,0.3633,91749.4666370294
Tue Apr 30 2024 23:00:00 GMT+0100 (British Summer Time),0.027,0.0275,0.3594,293739.2770203403
Wed May 01 2024 00:00:00 GMT+0100 (British Summer Time),0.027,0.0275,0.3438,854027.7780570735
Wed May 01 2024 01:00:00 GMT+0100 (British Summer Time),0.027,0.0275,0.3446,26394.78665247975
Wed May 01 2024 02:00:00 GMT+0100 (British Summer Time),0.027,0.0275,0.3459,885528.241872242
Wed May 01 2024 03:00:00 GMT+0100 (British Summer Time),0.027,0.0275,0.3457,96945.60387411316
Wed May 01 2024 04:00:00 GMT+0100 (British Summer Time),0.027,0.0275,0.3475,155110.09554599848
Wed May 01 2024 05:00:00 GMT+0100 (British Summer Time),0.027,0.0275,0.3391,264932.24115335866
Wed May 01 2024 06:00:00 GMT+0100 (British Summer Time),0.027,0.0254,0.3183,740810.0211817904
Wed May 01 2024 07:00:00 GMT+0100 (British Summer Time),0.027,0.0254,0.3155,830528.2185481433
Wed May 01 2024 08:00:00 GMT+0100 (British Summer Time),0.027,0.0254,0.3195,237427.0708805315
Wed May 01 2024 09:00:00 GMT+0100 (British Summer Time),0.0277,0.0274,0.3026,821485.152671108
Wed May 01 2024 10:00:00 GMT+0100 (British Summer Time),0.0277,0.0274,0.304,59300.36074891328
Wed May 01 2024 11:00:00 GMT+0100 (British Summer Time),0.0277,0.0274,0.306,253509.22257813736
Wed May 01 2024 12:00:00 GMT+0100 (British Summer Time),0.0277,0.0274,0.3082,1597795.5207385486
Wed May 01 2024 13:00:00 GMT+0100 (British Summer Time),0.0277,0.0274,0.3106,1024953.1466479194
Wed May 01 2024 14:00:00 GMT+0100 (British Summer Time),0.0277,0.0274,0.3106,776030.5125654371
Wed May 01 2024 15:00:00 GMT+0100 (British Summer Time),0.0277,0.0257,0.3309,1485143.9679878317
Wed May 01 2024 16:00:00 GMT+0100 (British Summer Time),0.0277,0.0257,0.3123,1198309.219338296
Wed May 01 2024 17:00:00 GMT+0100 (British Summer Time),0.0277,0.0257,0.3016,542713.0256133224
Wed May 01 2024 18:00:00 GMT+0100 (British Summer Time),0.0277,0.0257,0.3103,3406949.7618073127
Wed May 01 2024 19:00:00 GMT+0100 (British Summer Time),0.0277,0.0257,0.3038,421245.98991845513
Wed May 01 2024 20:00:00 GMT+0100 (British Summer Time),0.0277,0.0257,0.3035,317294.5844080397
Wed May 01 2024 21:00:00 GMT+0100 (British Summer Time),0.0277,0.0257,0.3062,1535970.7257646308
Wed May 01 2024 22:00:00 GMT+0100 (British Summer Time),0.034,0.0286,0.3062,2685937.8365287567
Wed May 01 2024 23:00:00 GMT+0100 (British Summer Time),0.034,0.0271,0.3021,190589.93610102424
Thu May 02 2024 00:00:00 GMT+0100 (British Summer Time),0.034,0.0271,0.3024,27828.697771358962
Thu May 02 2024 01:00:00 GMT+0100 (British Summer Time),0.034,0.0271,0.2971,1375618.13114317
Thu May 02 2024 02:00:00 GMT+0100 (British Summer Time),0.034,0.0267,0.2998,162202.43005125067
Thu May 02 2024 03:00:00 GMT+0100 (British Summer Time),0.034,0.0267,0.3006,360115.10046931345
Thu May 02 2024 04:00:00 GMT+0100 (British Summer Time),0.034,0.0267,0.3007,112814.71777673383
Thu May 02 2024 05:00:00 GMT+0100 (British Summer Time),0.034,0.0262,0.3,529599.3238319373
Thu May 02 2024 06:00:00 GMT+0100 (British Summer Time),0.034,0.0262,0.2956,174931.5224173371
Thu May 02 2024 07:00:00 GMT+0100 (British Summer Time),0.034,0.0262,0.2956,17440.259033950635
Thu May 02 2024 08:00:00 GMT+0100 (British Summer Time),0.034,0.0257,0.2956,785.882277534203
Thu May 02 2024 09:00:00 GMT+0100 (British Summer Time),0.02,0.0257,0.2941,53654.90231565409
