time,underlyingApy1DMA,underlyingApy7DMA,impliedApy,volume
Sun Jan 28 2024 00:00:00 GMT+0000 (Greenwich Mean Time),0.0363,0.0349,0.0369,0
Sun Jan 28 2024 01:00:00 GMT+0000 (Greenwich Mean Time),0.0363,0.0349,0.037,40617.92360208269
Sun Jan 28 2024 02:00:00 GMT+0000 (Greenwich Mean Time),0.0363,0.0349,0.037,5991.827059331767
Sun Jan 28 2024 03:00:00 GMT+0000 (Greenwich Mean Time),0.0363,0.0349,0.037,176326.7680615563
Sun Jan 28 2024 04:00:00 GMT+0000 (Greenwich Mean Time),0.0363,0.0349,0.037,2351.06016690091
Sun Jan 28 2024 05:00:00 GMT+0000 (Greenwich Mean Time),0.0363,0.0349,0.037,1377.9846139802235
Sun Jan 28 2024 06:00:00 GMT+0000 (Greenwich Mean Time),0.0363,0.0349,0.037,173694.05159481068
Sun Jan 28 2024 07:00:00 GMT+0000 (Greenwich Mean Time),0.0363,0.0349,0.0371,263021.4831806445
Sun Jan 28 2024 08:00:00 GMT+0000 (Greenwich Mean Time),0.0363,0.0349,0.0371,1176.6455582664257
Sun Jan 28 2024 09:00:00 GMT+0000 (Greenwich Mean Time),0.0363,0.0349,0.0371,59894.996483452036
Sun Jan 28 2024 10:00:00 GMT+0000 (Greenwich Mean Time),0.0363,0.0349,0.0371,14156.808288752123
Sun Jan 28 2024 11:00:00 GMT+0000 (Greenwich Mean Time),0.0363,0.0349,0.0371,406.73751239850935
Sun Jan 28 2024 12:00:00 GMT+0000 (Greenwich Mean Time),0.0363,0.0349,0.0372,76261.55962545553
Sun Jan 28 2024 13:00:00 GMT+0000 (Greenwich Mean Time),0.0363,0.0349,0.0372,170802.63103459086
Sun Jan 28 2024 14:00:00 GMT+0000 (Greenwich Mean Time),0.0363,0.0349,0.0372,630927.9455539455
Sun Jan 28 2024 15:00:00 GMT+0000 (Greenwich Mean Time),0.0363,0.0349,0.0372,5866.076284921714
Sun Jan 28 2024 16:00:00 GMT+0000 (Greenwich Mean Time),0.0363,0.0349,0.0372,11783.90053355586
Sun Jan 28 2024 17:00:00 GMT+0000 (Greenwich Mean Time),0.0363,0.0349,0.0372,9018.64628430365
Sun Jan 28 2024 18:00:00 GMT+0000 (Greenwich Mean Time),0.0363,0.0349,0.0372,0
Sun Jan 28 2024 19:00:00 GMT+0000 (Greenwich Mean Time),0.0363,0.0349,0.0372,0
Sun Jan 28 2024 20:00:00 GMT+0000 (Greenwich Mean Time),0.0363,0.0349,0.0373,256348.57192380592
Sun Jan 28 2024 21:00:00 GMT+0000 (Greenwich Mean Time),0.0335,0.0351,0.0373,339.45849095058395
Sun Jan 28 2024 22:00:00 GMT+0000 (Greenwich Mean Time),0.0335,0.0351,0.0373,168637.20063285882
Sun Jan 28 2024 23:00:00 GMT+0000 (Greenwich Mean Time),0.0335,0.0351,0.0373,0
Mon Jan 29 2024 00:00:00 GMT+0000 (Greenwich Mean Time),0.0335,0.0351,0.0373,0
Mon Jan 29 2024 01:00:00 GMT+0000 (Greenwich Mean Time),0.0335,0.0351,0.0373,74058.6367297424
Mon Jan 29 2024 02:00:00 GMT+0000 (Greenwich Mean Time),0.0335,0.0351,0.0373,331.7286663388844
Mon Jan 29 2024 03:00:00 GMT+0000 (Greenwich Mean Time),0.0335,0.0351,0.0372,1011229.3879936168
Mon Jan 29 2024 04:00:00 GMT+0000 (Greenwich Mean Time),0.0335,0.0351,0.0372,2697.7201081557278
Mon Jan 29 2024 05:00:00 GMT+0000 (Greenwich Mean Time),0.0335,0.0351,0.0372,701910.176869787
Mon Jan 29 2024 06:00:00 GMT+0000 (Greenwich Mean Time),0.0335,0.0351,0.0372,230904.98509872955
Mon Jan 29 2024 07:00:00 GMT+0000 (Greenwich Mean Time),0.0335,0.0351,0.0372,561409.5719480384
Mon Jan 29 2024 08:00:00 GMT+0000 (Greenwich Mean Time),0.0335,0.0351,0.0372,0
Mon Jan 29 2024 09:00:00 GMT+0000 (Greenwich Mean Time),0.0335,0.0351,0.0373,0
Mon Jan 29 2024 10:00:00 GMT+0000 (Greenwich Mean Time),0.0335,0.0351,0.0372,22.7227786784468
Mon Jan 29 2024 11:00:00 GMT+0000 (Greenwich Mean Time),0.0335,0.0351,0.0373,49215.935314678696
Mon Jan 29 2024 12:00:00 GMT+0000 (Greenwich Mean Time),0.0335,0.0351,0.0373,211128.41886733388
Mon Jan 29 2024 13:00:00 GMT+0000 (Greenwich Mean Time),0.0335,0.0351,0.0373,0
Mon Jan 29 2024 14:00:00 GMT+0000 (Greenwich Mean Time),0.0335,0.0351,0.0372,42747.32434655292
Mon Jan 29 2024 15:00:00 GMT+0000 (Greenwich Mean Time),0.0335,0.0351,0.0372,11769.553810320047
Mon Jan 29 2024 16:00:00 GMT+0000 (Greenwich Mean Time),0.0335,0.0351,0.0372,1.1804481552391468
Mon Jan 29 2024 17:00:00 GMT+0000 (Greenwich Mean Time),0.0335,0.0351,0.0372,2414.147269384533
Mon Jan 29 2024 18:00:00 GMT+0000 (Greenwich Mean Time),0.0335,0.0351,0.0372,240.53838098950823
Mon Jan 29 2024 19:00:00 GMT+0000 (Greenwich Mean Time),0.0335,0.0351,0.0372,0
Mon Jan 29 2024 20:00:00 GMT+0000 (Greenwich Mean Time),0.0335,0.0351,0.0372,5.693966768251295
Mon Jan 29 2024 21:00:00 GMT+0000 (Greenwich Mean Time),0.0324,0.0351,0.0372,280.03209450107477
Mon Jan 29 2024 22:00:00 GMT+0000 (Greenwich Mean Time),0.0324,0.0351,0.0372,590.0125234468057
Mon Jan 29 2024 23:00:00 GMT+0000 (Greenwich Mean Time),0.0324,0.0351,0.0372,32.53895240425824
Tue Jan 30 2024 00:00:00 GMT+0000 (Greenwich Mean Time),0.0324,0.0351,0.0372,903.3775932276994
Tue Jan 30 2024 01:00:00 GMT+0000 (Greenwich Mean Time),0.0324,0.0351,0.0372,43.11388004735209
