time,tvl
2023-02-15 00:00:00,103545.02027
2023-02-16 00:00:00,111358.53928
2023-02-17 00:00:00,109785.77955
2023-02-18 00:00:00,112950.2752
2023-02-19 00:00:00,112485.67517
2023-02-20 00:00:00,111668.41741
2023-02-21 00:00:00,113070.10164
2023-02-22 00:00:00,110238.48366
2023-02-23 00:00:00,109214.72851
2023-02-24 00:00:00,109897.35792
2023-02-25 00:00:00,107006.46056
2023-02-26 00:00:00,106048.79921
2023-02-27 00:00:00,109163.55241
2023-02-28 00:00:00,108691.28104
2023-03-01 00:00:00,106776.83715
2023-03-02 00:00:00,110781.28507
2023-03-03 00:00:00,320726.98753
2023-03-04 00:00:00,305550.83607
2023-03-05 00:00:00,305124.7386
2023-03-06 00:00:00,304528.62181
2023-03-07 00:00:00,305025.24644
2023-03-08 00:00:00,304165.42958
2023-03-09 00:00:00,298670.59891
2023-03-10 00:00:00,281638.97146
2023-03-11 00:00:00,279310.72833
2023-03-12 00:00:00,288423.86659
2023-03-13 00:00:00,311290.2176
2023-03-14 00:00:00,328960.43019
2023-03-15 00:00:00,334540.82591
2023-03-16 00:00:00,325316.92088
2023-03-17 00:00:00,329838.9052
2023-03-18 00:00:00,352028.45078
2023-03-19 00:00:00,347573.50669
2023-03-20 00:00:00,352402.60936
2023-03-21 00:00:00,1479449.35302
2023-03-22 00:00:00,1536895.73907
2023-03-23 00:00:00,1480076.04377
2023-03-24 00:00:00,1546332.24149
2023-03-25 00:00:00,1492748.42582
2023-03-26 00:00:00,1487567.76803
2023-03-27 00:00:00,1506810.55454
2023-03-28 00:00:00,1456277.18825
2023-03-29 00:00:00,1505813.95229
2023-03-30 00:00:00,1521948.52335
2023-03-31 00:00:00,1523162.44956
2023-04-01 00:00:00,1547625.77913
2023-04-02 00:00:00,1547865.91391
2023-04-03 00:00:00,1525751.55884
2023-04-04 00:00:00,1536753.69731
2023-04-05 00:00:00,1590703.07193
2023-04-06 00:00:00,1622042.68129
2023-04-07 00:00:00,1589706.97403
2023-04-08 00:00:00,1584681.5639
2023-04-09 00:00:00,1572436.8459
2023-04-10 00:00:00,1580388.86869
2023-04-11 00:00:00,1623088.82587
2023-04-12 00:00:00,1607712.10666
2023-04-13 00:00:00,1661529.10869
2023-04-14 00:00:00,1745725.5738
2023-04-15 00:00:00,1834532.52352
2023-04-16 00:00:00,1759704.64641
2023-04-17 00:00:00,1751142.77564
2023-04-18 00:00:00,1743242.54324
2023-04-19 00:00:00,1763123.59948
2023-04-20 00:00:00,1635046.54917
2023-04-21 00:00:00,1640580.05582
2023-04-22 00:00:00,1553661.07253
2023-04-23 00:00:00,1561426.02972
2023-04-24 00:00:00,1568697.06076
2023-04-25 00:00:00,1547800.6808
