time,tvl
2023-03-02 00:00:00,1515827.01475
2023-03-03 00:00:00,1938280.22858
2023-03-04 00:00:00,2987845.90948
2023-03-05 00:00:00,3267001.97003
2023-03-06 00:00:00,3440620.4671
2023-03-07 00:00:00,3862338.52882
2023-03-08 00:00:00,4612192.26793
2023-03-09 00:00:00,4672667.75659
2023-03-10 00:00:00,4836799.91765
2023-03-11 00:00:00,4931444.20997
2023-03-12 00:00:00,5093851.22092
2023-03-13 00:00:00,5621261.17274
2023-03-14 00:00:00,5855965.28076
2023-03-15 00:00:00,5918383.32993
2023-03-16 00:00:00,5617421.6738
2023-03-17 00:00:00,5697567.07114
2023-03-18 00:00:00,6349148.73025
2023-03-19 00:00:00,6631245.18967
2023-03-20 00:00:00,7924650.50144
2023-03-21 00:00:00,8171458.47416
2023-03-22 00:00:00,9105672.431
2023-03-23 00:00:00,9494768.31606
2023-03-24 00:00:00,10255295.27098
2023-03-25 00:00:00,10825874.95416
2023-03-26 00:00:00,11253863.82331
2023-03-27 00:00:00,11884024.4323
2023-03-28 00:00:00,11754690.79544
2023-03-29 00:00:00,12860597.38001
2023-03-30 00:00:00,13639096.36521
2023-03-31 00:00:00,14696208.48963
2023-04-01 00:00:00,16291009.20711
2023-04-02 00:00:00,19395622.05449
2023-04-03 00:00:00,20715400.38332
2023-04-04 00:00:00,22000084.53351
2023-04-05 00:00:00,24403871.64202
2023-04-06 00:00:00,24842707.77377
2023-04-07 00:00:00,25419644.06328
2023-04-08 00:00:00,26074178.85708
2023-04-09 00:00:00,26381101.32687
2023-04-10 00:00:00,27242356.77988
2023-04-11 00:00:00,28327433.22908
2023-04-12 00:00:00,28235467.87972
2023-04-13 00:00:00,32908002.94895
2023-04-14 00:00:00,37471801.94666
2023-04-15 00:00:00,38229342.04073
2023-04-16 00:00:00,39266172.39933
2023-04-17 00:00:00,39777070.28424
2023-04-18 00:00:00,40279747.21581
2023-04-19 00:00:00,42428973.99767
2023-04-20 00:00:00,40327690.67692
2023-04-21 00:00:00,40821968.05196
2023-04-22 00:00:00,38862688.85226
2023-04-23 00:00:00,39090891.24399
2023-04-24 00:00:00,39356943.62995
2023-04-25 00:00:00,39161054.48497
2023-04-26 00:00:00,40306352.25197
2023-04-27 00:00:00,42456446.05578
2023-04-28 00:00:00,43055817.14161
2023-04-29 00:00:00,42915992.8596
2023-04-30 00:00:00,43274440.15408
2023-05-01 00:00:00,42937693.04279
2023-05-02 00:00:00,41507671.76408
2023-05-03 00:00:00,41944906.87297
2023-05-04 00:00:00,42351188.12039
2023-05-05 00:00:00,40281646.39263
2023-05-06 00:00:00,42625090.40369
