time,tvl
2020-12-19 23:00:00,1484680.72849
2020-12-20 23:00:00,2697598.31238
2020-12-21 23:00:00,3410253.51673
2020-12-22 23:00:00,4563625.91954
2020-12-23 23:00:00,4661610.56222
2020-12-24 23:00:00,5347131.75568
2020-12-25 23:00:00,7325073.36246
2020-12-26 23:00:00,7408641.78488
2020-12-27 23:00:00,8347237.65185
2020-12-28 23:00:00,11344171.90247
2020-12-29 23:00:00,11765090.7736
2020-12-30 23:00:00,12119912.52031
2020-12-31 23:00:00,12582167.78503
2021-01-01 23:00:00,12543454.04058
2021-01-02 23:00:00,12514881.97905
2021-01-03 23:00:00,14195762.01033
2021-01-04 23:00:00,16274684.16131
2021-01-05 23:00:00,18325628.49595
2021-01-06 23:00:00,20965573.74739
2021-01-07 23:00:00,22570112.84021
2021-01-08 23:00:00,25529569.34146
2021-01-09 23:00:00,26299896.12438
2021-01-10 23:00:00,33624539.75085
2021-01-11 23:00:00,28869701.74878
2021-01-12 23:00:00,30663261.6134
2021-01-13 23:00:00,50094240.95444
2021-01-14 23:00:00,73598480.99317
2021-01-15 23:00:00,81861176.08144
2021-01-16 23:00:00,85283818.30064
2021-01-17 23:00:00,86160071.78733
2021-01-18 23:00:00,87391374.57902
2021-01-19 23:00:00,99335242.45683
2021-01-20 23:00:00,100287613.82475
2021-01-21 23:00:00,96701078.6819
2021-01-22 23:00:00,92488787.17936
2021-01-23 23:00:00,110569488.76507
2021-01-24 23:00:00,121085410.26798
2021-01-25 23:00:00,127510734.0933
2021-01-26 23:00:00,127250330.17263
2021-01-27 23:00:00,126687251.18967
2021-01-28 23:00:00,130256710.6862
2021-01-29 23:00:00,137228376.25097
2021-01-30 23:00:00,135996393.48543
2021-01-31 23:00:00,142145275.28993
2021-02-01 23:00:00,142743932.61414
2021-02-02 23:00:00,167649885.67911
2021-02-03 23:00:00,192995719.61086
2021-02-04 23:00:00,207027159.7508
2021-02-05 23:00:00,211317161.2248
2021-02-06 23:00:00,222659990.38239
2021-02-07 23:00:00,223083142.25739
2021-02-08 23:00:00,226682734.51524
2021-02-09 23:00:00,244636373.57562
2021-02-10 23:00:00,258690801.88511
2021-02-11 23:00:00,257373193.4634
2021-02-12 23:00:00,255301490.07437
2021-02-13 23:00:00,261404596.6881
2021-02-14 23:00:00,300220386.89155
2021-02-15 23:00:00,289892552.51457
2021-02-16 23:00:00,294701079.79073
2021-02-17 23:00:00,298817631.43702
2021-02-18 23:00:00,340560743.33887
2021-02-19 23:00:00,347618380.50974
2021-02-20 23:00:00,363633943.79133
2021-02-21 23:00:00,357021502.41112
2021-02-22 23:00:00,333163674.62846
2021-02-23 23:00:00,267003426.95109
2021-02-24 23:00:00,303534847.4143
2021-02-25 23:00:00,294421081.34321
2021-02-26 23:00:00,270362309.31745
2021-02-27 23:00:00,269803675.94705
2021-02-28 23:00:00,250111049.09438
2021-03-01 23:00:00,279680304.44922
2021-03-02 23:00:00,284790615.18317
2021-03-03 23:00:00,294543162.56718
2021-03-04 23:00:00,287090601.58229
2021-03-05 23:00:00,272111645.80388
2021-03-06 23:00:00,288340247.01202
2021-03-07 23:00:00,308683748.13269
2021-03-08 23:00:00,316855760.40215
2021-03-09 23:00:00,337615557.61982
2021-03-10 23:00:00,338318383.02947
2021-03-11 23:00:00,329516422.59727
2021-03-12 23:00:00,332363356.11233
2021-03-13 23:00:00,343424416.16998
2021-03-14 23:00:00,350346676.09228
2021-03-15 23:00:00,332987874.87922
2021-03-16 23:00:00,336938520.50597
2021-03-17 23:00:00,460583631.99974
2021-03-18 23:00:00,509773361.03816
2021-03-19 23:00:00,574607276.44893
2021-03-20 23:00:00,587935872.81264
2021-03-21 23:00:00,602769063.31514
2021-03-22 23:00:00,618289929.76785
2021-03-23 23:00:00,569500275.56391
2021-03-24 23:00:00,606935658.61922
2021-03-25 23:00:00,583873492.21216
2021-03-26 23:00:00,625796928.8208
2021-03-27 23:00:00,630767135.14293
2021-03-28 22:00:00,649286652.85157
2021-03-29 22:00:00,704078283.92541
2021-03-30 22:00:00,741152297.25945
2021-03-31 22:00:00,743763681.78334
2021-04-01 22:00:00,779177993.82587
2021-04-02 22:00:00,799026221.47279
2021-04-03 22:00:00,821105326.6526
2021-04-04 22:00:00,807264483.10685
2021-04-05 22:00:00,804754966.30809
2021-04-06 22:00:00,810757400.12057
2021-04-07 22:00:00,805140938.90687
2021-04-08 22:00:00,819712012.92515
2021-04-09 22:00:00,934439179.55259
2021-04-10 22:00:00,965035169.20141
2021-04-11 22:00:00,951022763.86355
2021-04-12 22:00:00,981448867.52496
2021-04-13 22:00:00,1073726481.55531
2021-04-14 22:00:00,1080081949.83648
2021-04-15 22:00:00,1131586581.34596
2021-04-16 22:00:00,1154120907.69433
2021-04-17 22:00:00,1161711743.02889
2021-04-18 22:00:00,991105854.87046
2021-04-19 22:00:00,1189430787.63157
2021-04-20 22:00:00,1089818460.73951
2021-04-21 22:00:00,1160402395.11774
2021-04-22 22:00:00,1228013431.01364
2021-04-23 22:00:00,1101462978.11175
2021-04-24 22:00:00,1187254629.90234
2021-04-25 22:00:00,1271627756.88826
2021-04-26 22:00:00,1385400252.57391
2021-04-27 22:00:00,1455239310.42501
2021-04-28 22:00:00,1430439245.39018
2021-04-29 22:00:00,1475154399.61546
2021-04-30 22:00:00,1511692566.65294
2021-05-01 22:00:00,1511145432.08708
2021-05-02 22:00:00,1567952725.47382
2021-05-03 22:00:00,1716457044.34331
2021-05-04 22:00:00,1700927523.78047
2021-05-05 22:00:00,1764741635.46686
2021-05-06 22:00:00,1782883841.96668
2021-05-07 22:00:00,1867000732.26007
2021-05-08 22:00:00,1981645031.59673
2021-05-09 22:00:00,2145406106.99224
2021-05-10 22:00:00,2216323676.00483
2021-05-11 22:00:00,2125008558.22934
2021-05-12 22:00:00,2261368556.18002
2021-05-14 00:00:00,2194510145.97134
2021-05-15 00:00:00,2009113421.2699
2021-05-16 00:00:00,2044538182.5343
2021-05-17 00:00:00,1889629618.43547
2021-05-18 00:00:00,1973541990.69248
2021-05-19 00:00:00,1366850255.20592
2021-05-20 00:00:00,1503975800.59458
2021-05-21 00:00:00,1197332029.09377
2021-05-22 00:00:00,1268520009.20698
2021-05-23 00:00:00,1089389749.18668
2021-05-24 00:00:00,1436918532.71875
2021-05-25 00:00:00,1457761756.18903
2021-05-26 00:00:00,1572288635.29704
2021-05-27 00:00:00,1541603698.74981
2021-05-28 00:00:00,1369256784.54861
2021-05-29 00:00:00,1284551120.0972
2021-05-30 00:00:00,1371812777.20113
2021-05-31 00:00:00,1568761944.16675
2021-06-01 00:00:00,1536235064.36919
2021-06-02 00:00:00,1614326124.43433
2021-06-03 00:00:00,1740486738.48347
2021-06-04 00:00:00,1621178893.88311
2021-06-05 00:00:00,1545877559.20355
2021-06-06 00:00:00,1607248302.41842
2021-06-07 00:00:00,1528425925.63201
2021-06-08 00:00:00,1509199946.7405
2021-06-09 00:00:00,1597842348.23919
2021-06-10 00:00:00,1552872592.65598
2021-06-11 00:00:00,1491923061.80791
2021-06-12 00:00:00,1532641243.96154
2021-06-13 00:00:00,1645056229.257
2021-06-14 00:00:00,1699800875.93645
2021-06-15 00:00:00,1727769757.3577
2021-06-16 00:00:00,1643680666.80163
2021-06-17 00:00:00,1655355907.86153
2021-06-18 00:00:00,1575760556.05817
2021-06-19 00:00:00,1553281987.09056
2021-06-20 00:00:00,1607527078.38583
2021-06-21 00:00:00,1354610799.51412
2021-06-22 00:00:00,1350497871.90055
2021-06-23 00:00:00,1441034258.8228
2021-06-24 00:00:00,1470998790.65732
2021-06-25 00:00:00,1372761056.86716
2021-06-26 00:00:00,1362958264.4319
2021-06-27 00:00:00,1470769605.38418
