time,tvl
2023-04-14 00:00:00,519802.92
2023-04-15 00:00:00,542331.48
2023-04-16 00:00:00,540290.7
2023-04-17 00:00:00,547086.42
2023-04-18 00:00:00,535463.52
2023-04-19 00:00:00,623579.19857
2023-04-20 00:00:00,698306.49578
2023-04-21 00:00:00,888113.50092
2023-04-22 00:00:00,845666.88298
2023-04-23 00:00:00,857646.38361
2023-04-24 00:00:00,851101.73077
2023-04-25 00:00:00,841517.67607
2023-04-26 00:00:00,2347827.67792
2023-04-27 00:00:00,2948321.43026
2023-04-28 00:00:00,3593358.0079
2023-04-29 00:00:00,3921902.2648
2023-04-30 00:00:00,6216784.66324
2023-05-01 00:00:00,6303367.35703
2023-05-02 00:00:00,6475941.4483
2023-05-03 00:00:00,6889533.2864
2023-05-04 00:00:00,9863443.33438
2023-05-05 00:00:00,11598361.72192
2023-05-06 00:00:00,13085019.68289
2023-05-07 00:00:00,12561346.9339
2023-05-08 00:00:00,12675790.49605
2023-05-09 00:00:00,12826722.41633
2023-05-10 00:00:00,13182604.94119
2023-05-11 00:00:00,13961037.54645
2023-05-12 00:00:00,14131588.07135
2023-05-13 00:00:00,14548928.83641
2023-05-14 00:00:00,15057786.23234
2023-05-15 00:00:00,15756934.66794
2023-05-16 00:00:00,16911554.07527
2023-05-17 00:00:00,17503546.13001
2023-05-18 00:00:00,18082065.2652
2023-05-19 00:00:00,20872636.28725
2023-05-20 00:00:00,22257312.80271
2023-05-21 00:00:00,23410414.394
2023-05-22 00:00:00,23976529.9409
2023-05-23 00:00:00,24828225.46258
2023-05-24 00:00:00,26886321.32646
2023-05-25 00:00:00,31191599.83386
2023-05-26 00:00:00,31757698.25127
2023-05-27 00:00:00,32427296.74237
2023-05-28 00:00:00,32905227.36894
2023-05-29 00:00:00,34410986.36638
2023-05-30 00:00:00,34657967.98513
2023-05-31 00:00:00,35055203.56527
2023-06-01 00:00:00,34952768.44319
2023-06-02 00:00:00,35576460.15018
2023-06-03 00:00:00,36921109.96668
2023-06-04 00:00:00,36926282.00929
2023-06-05 00:00:00,36989233.48242
2023-06-06 00:00:00,35850106.20624
2023-06-07 00:00:00,37642829.83127
2023-06-08 00:00:00,36713303.62891
2023-06-09 00:00:00,38014799.18917
2023-06-10 00:00:00,38751441.27621
2023-06-11 00:00:00,37454450.42004
2023-06-12 00:00:00,37931355.96199
2023-06-13 00:00:00,38128380.47434
2023-06-14 00:00:00,38939950.34757
2023-06-15 00:00:00,38731315.98843
2023-06-16 00:00:00,40311091.58279
2023-06-17 00:00:00,43816428.9499
2023-06-18 00:00:00,44471676.59481
2023-06-19 00:00:00,44742082.96463
2023-06-20 00:00:00,46101273.54746
2023-06-21 00:00:00,48015266.29038
2023-06-22 00:00:00,52639027.29054
2023-06-23 00:00:00,51996898.58983
2023-06-24 00:00:00,52720010.65296
2023-06-25 00:00:00,52754229.81897
2023-06-26 00:00:00,53499895.92643
2023-06-27 00:00:00,52802513.68234
2023-06-28 00:00:00,53299171.72778
2023-06-29 00:00:00,53511790.94246
2023-06-30 00:00:00,54515013.0661
2023-07-01 00:00:00,58148574.3349
2023-07-02 00:00:00,59465452.66474
2023-07-03 00:00:00,61033169.45423
2023-07-04 00:00:00,64404192.11382
2023-07-05 00:00:00,64074489.12902
2023-07-06 00:00:00,63569539.23276
2023-07-07 00:00:00,63371877.7977
2023-07-08 00:00:00,64796040.1833
2023-07-09 00:00:00,65403639.31233
2023-07-10 00:00:00,66341769.60045
2023-07-11 00:00:00,68964211.0058
2023-07-12 00:00:00,69876941.3802
2023-07-13 00:00:00,69871463.83749
2023-07-14 00:00:00,76175016.40244
2023-07-15 00:00:00,73609873.70556
2023-07-16 00:00:00,74071034.83866
2023-07-17 00:00:00,73929620.38515
2023-07-18 00:00:00,73769180.58876
2023-07-19 00:00:00,75299866.65737
2023-07-20 00:00:00,75493683.31698
2023-07-21 00:00:00,77110468.13522
2023-07-22 00:00:00,77672716.71944
2023-07-23 00:00:00,76755291.29192
2023-07-24 00:00:00,78136608.43362
2023-07-25 00:00:00,76644191.719
2023-07-26 00:00:00,77173763.25566
2023-07-27 00:00:00,78149321.1117
2023-07-28 00:00:00,79944175.73777
2023-07-29 00:00:00,81292276.20599
2023-07-30 00:00:00,82203539.38753
2023-07-31 00:00:00,82380862.81526
2023-08-01 00:00:00,82012546.44629
2023-08-02 00:00:00,82292267.43873
2023-08-03 00:00:00,81362648.49632
2023-08-04 00:00:00,81470886.82508
2023-08-05 00:00:00,81220383.80841
2023-08-06 00:00:00,81574487.51815
2023-08-07 00:00:00,81328268.95369
2023-08-08 00:00:00,82152782.01698
2023-08-09 00:00:00,83458970.96815
2023-08-10 00:00:00,83397789.68265
2023-08-11 00:00:00,83550593.23701
2023-08-12 00:00:00,83730187.06196
2023-08-13 00:00:00,83879614.43235
2023-08-14 00:00:00,83841695.28864
2023-08-15 00:00:00,84343788.74644
2023-08-16 00:00:00,83650720.56115
2023-08-17 00:00:00,82032295.06095
2023-08-18 00:00:00,77625778.74953
2023-08-19 00:00:00,76637798.9895
2023-08-20 00:00:00,77023407.71717
2023-08-21 00:00:00,77457716.56887
2023-08-22 00:00:00,76857709.83963
2023-08-23 00:00:00,75418374.71864
2023-08-24 00:00:00,78918967.06333
2023-08-25 00:00:00,77782114.52064
2023-08-26 00:00:00,77509597.15964
2023-08-27 00:00:00,77367095.22893
2023-08-28 00:00:00,78049506.95491
2023-08-29 00:00:00,78107238.99484
2023-08-30 00:00:00,81748668.43457
2023-08-31 00:00:00,80749873.50931
2023-09-01 00:00:00,78253243.50957
2023-09-02 00:00:00,77594982.8113
2023-09-03 00:00:00,77825818.45998
2023-09-04 00:00:00,77807225.49615
2023-09-05 00:00:00,77500140.40258
2023-09-06 00:00:00,77962583.26097
2023-09-07 00:00:00,78070261.88782
2023-09-08 00:00:00,78784738.76576
2023-09-09 00:00:00,78182329.28806
2023-09-10 00:00:00,78199527.1804
2023-09-11 00:00:00,77607831.29822
2023-09-12 00:00:00,74428906.5402
2023-09-13 00:00:00,76588012.26629
2023-09-14 00:00:00,77167054.13263
2023-09-15 00:00:00,78166663.76063
2023-09-16 00:00:00,79309681.99293
2023-09-17 00:00:00,78395109.52084
2023-09-18 00:00:00,77910953.81737
2023-09-19 00:00:00,78636933.04658
2023-09-20 00:00:00,79125871.0785
2023-09-21 00:00:00,78243996.25303
2023-09-22 00:00:00,76511485.93554
2023-09-23 00:00:00,77162254.95146
2023-09-24 00:00:00,77100786.81039
2023-09-25 00:00:00,76178383.15054
2023-09-26 00:00:00,76892200.92753
2023-09-27 00:00:00,77115528.08612
2023-09-28 00:00:00,77666967.00485
2023-09-29 00:00:00,80519855.69375
2023-09-30 00:00:00,81122639.91551
2023-10-01 00:00:00,81476366.53686
2023-10-02 00:00:00,84201698.54509
2023-10-03 00:00:00,80987776.00682
2023-10-04 00:00:00,80176367.48058
2023-10-05 00:00:00,80227504.69903
2023-10-06 00:00:00,78769410.75436
2023-10-07 00:00:00,80264801.89464
2023-10-08 00:00:00,79716629.99185
2023-10-09 00:00:00,79495033.05744
2023-10-10 00:00:00,77249183.33323
2023-10-11 00:00:00,76541912.42702
2023-10-12 00:00:00,76434047.80458
2023-10-13 00:00:00,75273190.46963
2023-10-14 00:00:00,75828146.13938
2023-10-15 00:00:00,75938302.48055
2023-10-16 00:00:00,76059596.24161
2023-10-17 00:00:00,78029265.18434
2023-10-18 00:00:00,76430887.09361
2023-10-19 00:00:00,76435678.95655
2023-10-20 00:00:00,76521616.56522
2023-10-21 00:00:00,78462237.03186
2023-10-22 00:00:00,79901851.51564
2023-10-23 00:00:00,81224119.00366
2023-10-24 00:00:00,87054459.50507
2023-10-25 00:00:00,87222762.42541
2023-10-26 00:00:00,88212971.52760999
2023-10-27 00:00:00,93925151.8554
2023-10-28 00:00:00,93557254.60593
2023-10-29 00:00:00,93510760.97911
2023-10-30 00:00:00,94614810.25330001
2023-10-31 00:00:00,96791439.875
2023-11-01 00:00:00,96171104.45526001
2023-11-02 00:00:00,97687132.76095
2023-11-03 00:00:00,95198529.23589
2023-11-04 00:00:00,97774335.36770001
2023-11-05 00:00:00,100635428.86076
2023-11-06 00:00:00,100609102.20693
2023-11-07 00:00:00,101056788.75784001
2023-11-08 00:00:00,100711333.72766
2023-11-09 00:00:00,100984259.24448
2023-11-10 00:00:00,112996860.54055999
2023-11-11 00:00:00,111433221.94739999
2023-11-12 00:00:00,109965184.30425
2023-11-13 00:00:00,110331992.03349
2023-11-14 00:00:00,110096234.75954
2023-11-15 00:00:00,107217133.38239999
2023-11-16 00:00:00,111039717.385
2023-11-17 00:00:00,105987040.56147
2023-11-18 00:00:00,105888267.28997001
2023-11-19 00:00:00,106390287.08153999
2023-11-20 00:00:00,109097471.85789
2023-11-21 00:00:00,109984159.92153
2023-11-22 00:00:00,105477965.14243001
2023-11-23 00:00:00,112426743.46422
2023-11-24 00:00:00,112807137.12918
2023-11-25 00:00:00,113956402.70209001
2023-11-26 00:00:00,114124057.69271
2023-11-27 00:00:00,113621603.40936999
2023-11-28 00:00:00,111801540.83923
2023-11-29 00:00:00,112962996.63999
2023-11-30 00:00:00,111773795.37143
2023-12-01 00:00:00,113100830.67863
2023-12-02 00:00:00,115061692.03929001
2023-12-03 00:00:00,119485325.34229
2023-12-04 00:00:00,121425839.17646001
2023-12-05 00:00:00,124078499.95854999
2023-12-06 00:00:00,127106727.50912
2023-12-07 00:00:00,124021827.21829
2023-12-08 00:00:00,131258870.63034
2023-12-09 00:00:00,131888885.40554
2023-12-10 00:00:00,131355183.22721
2023-12-11 00:00:00,132068112.74852
2023-12-12 00:00:00,126606781.08014001
2023-12-13 00:00:00,125580576.16207
2023-12-14 00:00:00,130153535.19804
2023-12-15 00:00:00,134933966.52663
2023-12-16 00:00:00,123524967.97541
2023-12-17 00:00:00,125618044.2913
2023-12-18 00:00:00,131996758.90864001
2023-12-19 00:00:00,169702202.04237
2023-12-20 00:00:00,184319905.24973002
2023-12-21 00:00:00,195863250.70753
2023-12-22 00:00:00,209913845.05571002
2023-12-23 00:00:00,226577127.92846
